cluster_name,skos,manual_mapped_cid,cell_ontology_id
ASDC,exactMatch,CL:0017009,CL:0000451
BFU-E,exactMatch,CL:0000549,CL:0000038
Basophilic Erythroblast,relatedMatch,CL:0000038,CL:0000549
CD14 Mono,exactMatch,CL:0001054,CL:0001054
CD16 Mono,exactMatch,CL:0002397,CL:0002397
CD4 Central Memory,exactMatch,CL:0000904,CL:0000904
CD4 Effector Memory,exactMatch,CL:0000905,CL:0000905
CD4 Naive,exactMatch,CL:0000895,CL:0000895
CD4 Regulatory,exactMatch,CL:0000792,CL:0000792
CD8 Central Memory,exactMatch,CL:0000907,CL:0000907
CD8 Effector Memory 1,relatedMatch,CL:0000913,CL:0000913
CD8 Effector Memory 2,relatedMatch,CL:0000913,CL:0000913
CD8 Naive,exactMatch,CL:0000900,CL:0000900
CD8 Tissue Resident Memory,relatedMatch,CL:0000909,CL:0000909
CFU-E,exactMatch,CL:0002394,CL:0000038
CLP,exactMatch,CL:0002399,CL:0000051
Cycling Progenitor,relatedMatch,CL:0000038,CL:0000049
Early GMP,exactMatch,CL:0000051,CL:0000557
Early ProMono,NA,NA,CL:0000559
EoBasoMast Precursor,relatedMatch,CL:0000557,CL:0002028
GMP-Cycle,relatedMatch,CL:0000559,CL:0000557
GMP-Mono,exactMatch,CL:0002191,CL:0000557
GMP-Neut,relatedMatch,CL:0000557,CL:0000557
HSC,exactMatch,CL:0000557,CL:0000037
Immature B,relatedMatch,CL:0000557,CL:0000816
LMPP,exactMatch,CL:0000037,CL:0002032
Large Pre-B,exactMatch,CL:0000816,CL:0000957
Late ProMono,exactMatch,CL:0000957,CL:0000559
MEP,relatedMatch,CL:0000559,CL:0000050
MLP,relatedMatch,CL:0001060,CL:0000051
MLP-II,exactMatch,CL:0000785,CL:0000051
MPP-MkEry,exactMatch,CL:0000556,CL:0000837
MPP-MyLy,exactMatch,CL:0000553,CL:0000837
Mature B,exactMatch,CL:0000050,CL:0000785
Megakaryocyte,relatedMatch,CL:0000051,CL:0000556
Megakaryocyte Precursor,relatedMatch,CL:0000051,CL:0000553
NK,exactMatch,CL:0000050,CL:0000623
NK CD56high,relatedMatch,CL:0000837,CL:0000938
NK Proliferating,exactMatch,CL:0000623,CL:0000623
Orthochromatic Erythroblast,exactMatch,CL:0000938,CL:0000552
Plasma Cell,relatedMatch,CL:0000623,CL:0000786
Polychromatic Erythroblast,exactMatch,CL:0000552,CL:0000550
Pre-ProB,exactMatch,CL:0001058,CL:0000826
Pre-cDC,exactMatch,CL:0000786,CL:0002010
Pre-pDC,exactMatch,CL:0000550,CL:0001058
Pre-pDC Cycling,exactMatch,CL:0002010,CL:0001058
Pro-B Cycling,relatedMatch,CL:0001058,CL:0002048
Pro-B VDJ,relatedMatch,CL:0001058,CL:0002048
Pro-Erythroblast,exactMatch,CL:0002045,CL:0000038
Small Pre-B,maybe,CL:0002048,CL:0000954
Stromal,exactMatch,CL:0000826,CL:0010001
T Proliferating,relatedMatch,CL:0000765,CL:0000084
cDC1,exactMatch,CL:0000954,CL:0000990
cDC2,exactMatch,CL:0010001,CL:0000990
pDC,relatedMatch,CL:0000084,CL:0001058
