dataset_version_id,cluster_name,skos,manual_mapped_cid,cell_ontology_id
335b556c-fca1-44ea-acaa-7a8086a60caa,Neuroblast,exactMatch,CL:0000031,CL:0000031
335b556c-fca1-44ea-acaa-7a8086a60caa,Crypt_fibroblast_PI16,exactMatch,CL:0000057,CL:0000057
335b556c-fca1-44ea-acaa-7a8086a60caa,Oesophagus_fibroblast,exactMatch,CL:0000057,CL:0000057
335b556c-fca1-44ea-acaa-7a8086a60caa,Rectum_fibroblast,exactMatch,CL:0000057,CL:0000057
335b556c-fca1-44ea-acaa-7a8086a60caa,Villus_fibroblast_F3,exactMatch,CL:0000057,CL:0000057
335b556c-fca1-44ea-acaa-7a8086a60caa,Cycling,exactMatch,CL:0000066,CL:0000066
335b556c-fca1-44ea-acaa-7a8086a60caa,Epithelial_cycling_G2M,exactMatch,CL:0000066,CL:0000066
335b556c-fca1-44ea-acaa-7a8086a60caa,Epithelial_cycling_S,exactMatch,CL:0000066,CL:0000066
335b556c-fca1-44ea-acaa-7a8086a60caa,Gastric_fetal_epithelial,exactMatch,CL:0000066,CL:0000066
335b556c-fca1-44ea-acaa-7a8086a60caa,Mesothelium,exactMatch,CL:0008041,CL:0000077
335b556c-fca1-44ea-acaa-7a8086a60caa,Mast,exactMatch,CL:0000097,CL:0000097
335b556c-fca1-44ea-acaa-7a8086a60caa,Branch_A_interneuron,exactMatch,CL:0000099,CL:0000099
335b556c-fca1-44ea-acaa-7a8086a60caa,EC_cycling,exactMatch,CL:0000131,CL:0000115
335b556c-fca1-44ea-acaa-7a8086a60caa,Melanocyte,exactMatch,CL:0000148,CL:0000148
335b556c-fca1-44ea-acaa-7a8086a60caa,Chief,exactMatch,CL:0000155,CL:0000155
335b556c-fca1-44ea-acaa-7a8086a60caa,Pareital,exactMatch,CL:0000162,CL:0000162
335b556c-fca1-44ea-acaa-7a8086a60caa,Enteroendocrine,exactMatch,CL:0000164,CL:0000164
335b556c-fca1-44ea-acaa-7a8086a60caa,Enteroendocrine_MX,exactMatch,CL:0000164,CL:0000164
335b556c-fca1-44ea-acaa-7a8086a60caa,Enteroendocrine_progenitor,exactMatch,CL:0000164,CL:0000164
335b556c-fca1-44ea-acaa-7a8086a60caa,Myoepithelial,exactMatch,CL:0000185,CL:0000185
335b556c-fca1-44ea-acaa-7a8086a60caa,Myofibroblast,exactMatch,CL:0000186,CL:0000186
335b556c-fca1-44ea-acaa-7a8086a60caa,Erythrocytes,exactMatch,CL:0000187,CL:0000232
335b556c-fca1-44ea-acaa-7a8086a60caa,Macrophage,exactMatch,CL:0000192,CL:0000235
335b556c-fca1-44ea-acaa-7a8086a60caa,Macrophage_CD5L,exactMatch,CL:0000222,CL:0000235
335b556c-fca1-44ea-acaa-7a8086a60caa,Macrophage_LYVE1,exactMatch,CL:0000232,CL:0000235
335b556c-fca1-44ea-acaa-7a8086a60caa,Macrophage_MMP9,exactMatch,CL:0000235,CL:0000235
335b556c-fca1-44ea-acaa-7a8086a60caa,Keratinocyte_fetal,exactMatch,CL:0000312,CL:0000312
335b556c-fca1-44ea-acaa-7a8086a60caa,Keratinocyte_inflammatory,exactMatch,CL:0000312,CL:0000312
335b556c-fca1-44ea-acaa-7a8086a60caa,Keratinocyte_outer,exactMatch,CL:0000312,CL:0000312
335b556c-fca1-44ea-acaa-7a8086a60caa,Keratinocyte_stratified,exactMatch,CL:0000312,CL:0000312
335b556c-fca1-44ea-acaa-7a8086a60caa,Vascular_smooth_muscle,exactMatch,CL:0000359,CL:0000359
335b556c-fca1-44ea-acaa-7a8086a60caa,Follicular_DC,exactMatch,CL:0000442,CL:0000442
335b556c-fca1-44ea-acaa-7a8086a60caa,DC_langerhans,exactMatch,CL:0000453,CL:0000453
335b556c-fca1-44ea-acaa-7a8086a60caa,Enteroendocrine_G,exactMatch,CL:0000508,CL:0000508
335b556c-fca1-44ea-acaa-7a8086a60caa,Paneth,exactMatch,CL:0000510,CL:0000510
335b556c-fca1-44ea-acaa-7a8086a60caa,Monocyte,exactMatch,CL:0000576,CL:0000576
335b556c-fca1-44ea-acaa-7a8086a60caa,Enterochromaffin,exactMatch,CL:0000577,CL:0000577
335b556c-fca1-44ea-acaa-7a8086a60caa,Enterocyte,exactMatch,CL:0000584,CL:0000584
335b556c-fca1-44ea-acaa-7a8086a60caa,Basal,exactMatch,CL:0000646,CL:0000646
335b556c-fca1-44ea-acaa-7a8086a60caa,Immune_recruiting_pericyte,exactMatch,CL:0000669,CL:0000669
335b556c-fca1-44ea-acaa-7a8086a60caa,Pericyte,exactMatch,CL:0000669,CL:0000669
335b556c-fca1-44ea-acaa-7a8086a60caa,Microfold,exactMatch,CL:0000682,CL:0000682
335b556c-fca1-44ea-acaa-7a8086a60caa,B_memory,exactMatch,CL:0000787,CL:0000787
335b556c-fca1-44ea-acaa-7a8086a60caa,B_naive,exactMatch,CL:0000788,CL:0000788
335b556c-fca1-44ea-acaa-7a8086a60caa,gdT,exactMatch,CL:0000798,CL:0000798
335b556c-fca1-44ea-acaa-7a8086a60caa,gdT_naive,exactMatch,CL:0000798,CL:0000798
335b556c-fca1-44ea-acaa-7a8086a60caa,Treg,exactMatch,CL:0000815,CL:0000815
335b556c-fca1-44ea-acaa-7a8086a60caa,Treg_IL10,exactMatch,CL:0000815,CL:0000815
335b556c-fca1-44ea-acaa-7a8086a60caa,B_preB,exactMatch,CL:0000817,CL:0000817
335b556c-fca1-44ea-acaa-7a8086a60caa,B_proB,exactMatch,CL:0000826,CL:0000826
335b556c-fca1-44ea-acaa-7a8086a60caa,Mono/neutrophil_MPO,exactMatch,CL:0000834,CL:0000834
335b556c-fca1-44ea-acaa-7a8086a60caa,B_GC_I,exactMatch,CL:0000844,CL:0000844
335b556c-fca1-44ea-acaa-7a8086a60caa,B_GC_II,exactMatch,CL:0000844,CL:0000844
335b556c-fca1-44ea-acaa-7a8086a60caa,Lamina_propria_fibroblast_ADAMDEC1,exactMatch,CL:0000865,CL:0000865
335b556c-fca1-44ea-acaa-7a8086a60caa,Tnaive/cm_CD4,exactMatch,CL:0000895,CL:0000895
335b556c-fca1-44ea-acaa-7a8086a60caa,Trm_CD4,exactMatch,CL:0000897,CL:0000897
335b556c-fca1-44ea-acaa-7a8086a60caa,Trm_Th17,exactMatch,CL:0000899,CL:0000899
335b556c-fca1-44ea-acaa-7a8086a60caa,Tnaive/cm_CD8,exactMatch,CL:0000900,CL:0000900
335b556c-fca1-44ea-acaa-7a8086a60caa,Trm_CD8,exactMatch,CL:0000909,CL:0000909
335b556c-fca1-44ea-acaa-7a8086a60caa,Trm/em_CD8,exactMatch,CL:0000913,CL:0000913
335b556c-fca1-44ea-acaa-7a8086a60caa,NK_CD56bright,exactMatch,CL:0000938,CL:0000938
335b556c-fca1-44ea-acaa-7a8086a60caa,NK_CD16,exactMatch,CL:0000939,CL:0000939
335b556c-fca1-44ea-acaa-7a8086a60caa,MAIT,exactMatch,CL:0020002,CL:0000940
335b556c-fca1-44ea-acaa-7a8086a60caa,B_plasmablast,exactMatch,CL:0000980,CL:0000980
335b556c-fca1-44ea-acaa-7a8086a60caa,B_plasma_IgG,exactMatch,CL:0000985,CL:0000985
335b556c-fca1-44ea-acaa-7a8086a60caa,B_plasma_IgM,exactMatch,CL:0000986,CL:0000986
335b556c-fca1-44ea-acaa-7a8086a60caa,B_plasma_IgA1,exactMatch,CL:0000987,CL:0000987
335b556c-fca1-44ea-acaa-7a8086a60caa,B_plasma_IgA2,exactMatch,CL:0000987,CL:0000987
335b556c-fca1-44ea-acaa-7a8086a60caa,DC_cDC1,exactMatch,CL:0000990,CL:0000990
335b556c-fca1-44ea-acaa-7a8086a60caa,DC_cDC2,exactMatch,CL:0000990,CL:0000990
335b556c-fca1-44ea-acaa-7a8086a60caa,DC_migratory,exactMatch,CL:0001056,CL:0001056
335b556c-fca1-44ea-acaa-7a8086a60caa,DC_pDC,exactMatch,CL:0001058,CL:0001058
335b556c-fca1-44ea-acaa-7a8086a60caa,ILC3,exactMatch,CL:0001071,CL:0001071
335b556c-fca1-44ea-acaa-7a8086a60caa,Tfh,exactMatch,CL:0002038,CL:0002038
335b556c-fca1-44ea-acaa-7a8086a60caa,Tfh_naive,exactMatch,CL:0002038,CL:0002038
335b556c-fca1-44ea-acaa-7a8086a60caa,EC_lymphatic,exactMatch,CL:0002138,CL:0002138
335b556c-fca1-44ea-acaa-7a8086a60caa,EC_capillary,exactMatch,CL:0002144,CL:0002144
335b556c-fca1-44ea-acaa-7a8086a60caa,Surface_foveolar,exactMatch,CL:0002179,CL:0002179
335b556c-fca1-44ea-acaa-7a8086a60caa,Mucous_gland_neck,exactMatch,CL:0002181,CL:0002181
335b556c-fca1-44ea-acaa-7a8086a60caa,Epithelial_stem,exactMatch,CL:0002250,CL:0002250
335b556c-fca1-44ea-acaa-7a8086a60caa,Enteroendocrine_X,exactMatch,CL:0002284,CL:0002284
335b556c-fca1-44ea-acaa-7a8086a60caa,EC_venous,exactMatch,CL:0002543,CL:0002543
335b556c-fca1-44ea-acaa-7a8086a60caa,Oral_mucosa_fibroblast,exactMatch,CL:0002552,CL:0002552
335b556c-fca1-44ea-acaa-7a8086a60caa,Mucous,exactMatch,CL:0002623,CL:0002623
335b556c-fca1-44ea-acaa-7a8086a60caa,Seromucous,exactMatch,CL:0002623,CL:0002623
335b556c-fca1-44ea-acaa-7a8086a60caa,Serous,exactMatch,CL:0002623,CL:0002623
335b556c-fca1-44ea-acaa-7a8086a60caa,Gland_basal,exactMatch,CL:0002657,CL:0002657
335b556c-fca1-44ea-acaa-7a8086a60caa,Gland_duct,exactMatch,CL:0002657,CL:0002657
335b556c-fca1-44ea-acaa-7a8086a60caa,Gland_fetal,exactMatch,CL:0002657,CL:0002657
335b556c-fca1-44ea-acaa-7a8086a60caa,Gland_mucous,exactMatch,CL:0002657,CL:0002657
335b556c-fca1-44ea-acaa-7a8086a60caa,Ionocytes,exactMatch,CL:0005006,CL:0005006
335b556c-fca1-44ea-acaa-7a8086a60caa,Enteric_neural_crest_cycling,exactMatch,CL:0007011,CL:0007011
335b556c-fca1-44ea-acaa-7a8086a60caa,TA,exactMatch,CL:4047017,CL:0009010
335b556c-fca1-44ea-acaa-7a8086a60caa,Tuft,exactMatch,CL:0009080,CL:0009080
335b556c-fca1-44ea-acaa-7a8086a60caa,Fibroblast_reticular,exactMatch,CL:4052004,CL:0009101
335b556c-fca1-44ea-acaa-7a8086a60caa,Goblet,exactMatch,CL:0019031,CL:0019031
335b556c-fca1-44ea-acaa-7a8086a60caa,Goblet_cycling,exactMatch,CL:0019031,CL:0019031
335b556c-fca1-44ea-acaa-7a8086a60caa,Goblet_progenitor,exactMatch,CL:0019031,CL:0019031
335b556c-fca1-44ea-acaa-7a8086a60caa,Colonocyte,exactMatch,CL:1000347,CL:1000347
335b556c-fca1-44ea-acaa-7a8086a60caa,Mature_colonocyte,exactMatch,CL:1000347,CL:1000347
335b556c-fca1-44ea-acaa-7a8086a60caa,EC_arterial_1,exactMatch,CL:1000413,CL:1000413
335b556c-fca1-44ea-acaa-7a8086a60caa,EC_arterial_2,exactMatch,CL:1000413,CL:1000413
335b556c-fca1-44ea-acaa-7a8086a60caa,Duct,exactMatch,CL:1001596,CL:1001596
335b556c-fca1-44ea-acaa-7a8086a60caa,BEST4_enterocyte_colonocyte,exactMatch,CL:4030026,CL:4030026
335b556c-fca1-44ea-acaa-7a8086a60caa,DCS_MUC17,exactMatch,CL:4030026,CL:4030026
335b556c-fca1-44ea-acaa-7a8086a60caa,DCS_MUC17_cycling,exactMatch,CL:4030026,CL:4030026
335b556c-fca1-44ea-acaa-7a8086a60caa,T/NK_cycling,exactMatch,CL:4033069,CL:4033069
335b556c-fca1-44ea-acaa-7a8086a60caa,Basal_cycling,exactMatch,CL:4033082,CL:4033082
335b556c-fca1-44ea-acaa-7a8086a60caa,Glial_1,exactMatch,CL:4040002,CL:4040002
335b556c-fca1-44ea-acaa-7a8086a60caa,Glial_2,exactMatch,CL:4040002,CL:4040002
335b556c-fca1-44ea-acaa-7a8086a60caa,Glial_3,exactMatch,CL:4040002,CL:4040002
