cluster_name,skos,manual:mapped:cid,cell_ontology_id
Adaptive / Maladaptive / Repairing Fibroblast,relatedMatch,CL:0000766,CL:1000692
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,exactMatch,CL:0000236,CL:0002306
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,exactMatch,CL:0000990,CL:1001106
Afferent / Efferent Arteriole Endothelial Cell,exactMatch,CL:4033078,CL:0000115
Ascending Thin Limb Cell,exactMatch,CL:4033071,CL:1001107
Ascending Vasa Recta Endothelial Cell,exactMatch,CL:0001058,CL:0000115
B Cell,relatedMatch,CL:0000115,CL:0000236
Classical Dendritic Cell,relatedMatch,CL:0000115,CL:0000990
Connecting Tubule Cell,relatedMatch,CL:0000115,CL:1000768
Connecting Tubule Intercalated Cell Type A,exactMatch,CL:1000412,CL:1001432
Connecting Tubule Principal Cell,exactMatch,CL:0002138,CL:1000768
Cortical Collecting Duct Intercalated Cell Type A,exactMatch,CL:4030015,CL:1001432
Cortical Collecting Duct Principal Cell,exactMatch,CL:1000714,CL:1001431
Cortical Thick Ascending Limb Cell,relatedMatch,CL:0002306,CL:1001106
Cycling Connecting Tubule Cell,relatedMatch,CL:0002306,CL:1000768
Cycling Distal Convoluted Tubule Cell,relatedMatch,CL:0002306,CL:1000849
Cycling Endothelial Cell,relatedMatch,CL:0000115,CL:0000115
Cycling Mononuclear Phagocyte,exactMatch,CL:4033078,CL:0000113
Cycling Myofibroblast,relatedMatch,CL:1000691,CL:1000692
Cycling Natural Killer Cell / Natural Killer T Cell,exactMatch,CL:1001005,CL:0000542
Cycling Proximal Tubule Epithelial Cell,exactMatch,CL:0000648,CL:0002306
Degenerative Ascending Thin Limb Cell,exactMatch,CL:4030015,CL:1001107
Degenerative Connecting Tubule Cell,exactMatch,CL:4030020,CL:1000768
Degenerative Cortical Intercalated Cell Type A,exactMatch,CL:4030018,CL:1001432
Degenerative Cortical Thick Ascending Limb Cell,exactMatch,CL:1000714,CL:1001106
Degenerative Descending Thin Limb Cell Type 3,exactMatch,CL:1000768,CL:1001111
