clusterName,gene
Papillary Tip Epithelial Cell,SNX31
Papillary Tip Epithelial Cell,CYP4B1
Degenerative Inner Medullary Collecting Duct Cell,PTGS1
Degenerative Inner Medullary Collecting Duct Cell,KCNK3
Degenerative Inner Medullary Collecting Duct Cell,PXYLP1
Inner Medullary Collecting Duct Cell,HDAC2-AS2
Inner Medullary Collecting Duct Cell,HS3ST5
Inner Medullary Collecting Duct Cell,LINC03007
Descending Thin Limb Cell Type 3,ENSG00000249776
Descending Thin Limb Cell Type 3,LIX1
Descending Thin Limb Cell Type 3,MIR3681HG
Ascending Thin Limb Cell,COLEC10
Ascending Thin Limb Cell,FCGBP
Degenerative Ascending Thin Limb Cell,SH3GL3
Degenerative Ascending Thin Limb Cell,CRYAB
Cycling Proximal Tubule Epithelial Cell,MELK
Cycling Proximal Tubule Epithelial Cell,ZNF83
Descending Thin Limb Cell Type 2,LINC03017
Descending Thin Limb Cell Type 2,KLRG2
Descending Thin Limb Cell Type 1,ADGRL3
Descending Thin Limb Cell Type 1,PROM1
Degenerative Descending Thin Limb Cell Type 3,FHL2
Degenerative Descending Thin Limb Cell Type 3,ENSG00000133475
Degenerative Connecting Tubule Cell,PIGR
Degenerative Connecting Tubule Cell,ADAMTS16
Degenerative Connecting Tubule Cell,CALB1
Connecting Tubule Cell,LINC01099
Connecting Tubule Cell,TMEM52B
Connecting Tubule Cell,TEX41
Distal Convoluted Tubule Cell Type 2,NELL1
Distal Convoluted Tubule Cell Type 2,SLC12A3
Cortical Thick Ascending Limb Cell,CLDN16
Cortical Thick Ascending Limb Cell,USP2
Cortical Thick Ascending Limb Cell,NRK
Degenerative Medullary Thick Ascending Limb Cell,UMOD
Degenerative Medullary Thick Ascending Limb Cell,SLC12A1
Degenerative Medullary Thick Ascending Limb Cell,CASR
Medullary Thick Ascending Limb Cell,ENSG00000282278
Medullary Thick Ascending Limb Cell,NELL1
Degenerative Outer Medullary Collecting Duct Principal Cell,AOC1
Degenerative Outer Medullary Collecting Duct Principal Cell,SCNN1G
Degenerative Outer Medullary Collecting Duct Principal Cell,ABCB1
Transitional Principal-Intercalated Cell,PTGER1
Transitional Principal-Intercalated Cell,GADD45G
Transitional Principal-Intercalated Cell,ERLN
Connecting Tubule Principal Cell,STC1
Connecting Tubule Principal Cell,CALB1
Degenerative Distal Convoluted Tubule Cell,FABP3
Degenerative Distal Convoluted Tubule Cell,ENSG00000263146
Degenerative Distal Convoluted Tubule Cell,SFRP1
Macula Densa Cell,PPFIA2
Macula Densa Cell,NOS1
