clusterName,NSForest_markers,f_score,onTarget,precision,recall
Papillary Tip Epithelial Cell,"['SNX31', 'CYP4B1']",0.7894736842105263,1.0,1.0,0.4285714285714285
Degenerative Inner Medullary Collecting Duct Cell,"['PTGS1', 'KCNK3', 'PXYLP1']",0.6012658227848101,0.6296993494033813,0.7037037037037037,0.38
Inner Medullary Collecting Duct Cell,"['HDAC2-AS2', 'HS3ST5', 'LINC03007']",0.6818181818181818,0.7001917362213135,0.8076923076923077,0.42
Descending Thin Limb Cell Type 3,"['ENSG00000249776', 'LIX1', 'MIR3681HG']",0.6140350877192983,1.0,0.875,0.28
Ascending Thin Limb Cell,"['COLEC10', 'FCGBP']",0.6159420289855072,0.7728468179702759,0.7727272727272727,0.34
Degenerative Ascending Thin Limb Cell,"['SH3GL3', 'CRYAB']",0.6159420289855072,0.250054121017456,0.7727272727272727,0.34
Cycling Proximal Tubule Epithelial Cell,"['MELK', 'ZNF83']",0.4347826086956521,0.1171207427978515,0.4705882352941176,0.3333333333333333
Descending Thin Limb Cell Type 2,"['LINC03017', 'KLRG2']",0.6626506024096386,0.7052695155143738,0.7333333333333333,0.4782608695652174
Descending Thin Limb Cell Type 1,"['ADGRL3', 'PROM1']",0.6796116504854369,0.3034691214561462,0.875,0.358974358974359
Degenerative Descending Thin Limb Cell Type 3,"['FHL2', 'ENSG00000133475']",0.7865168539325843,1.0,0.875,0.56
Degenerative Connecting Tubule Cell,"['PIGR', 'ADAMTS16', 'CALB1']",0.5,0.2858224511146545,0.9,0.18
Connecting Tubule Cell,"['LINC01099', 'TMEM52B', 'TEX41']",0.4477611940298507,0.1189110502600669,0.5714285714285714,0.24
Distal Convoluted Tubule Cell Type 2,"['NELL1', 'SLC12A3']",0.5371900826446281,0.3065932691097259,0.5416666666666666,0.52
Cortical Thick Ascending Limb Cell,"['CLDN16', 'USP2', 'NRK']",0.6015037593984962,1.0,0.7619047619047619,0.3265306122448979
Degenerative Medullary Thick Ascending Limb Cell,"['UMOD', 'SLC12A1', 'CASR']",0.3947368421052631,0.1489686071872711,0.4054054054054054,0.3571428571428571
Medullary Thick Ascending Limb Cell,"['ENSG00000282278', 'NELL1']",0.7258064516129032,0.615511953830719,0.8571428571428571,0.45
Degenerative Outer Medullary Collecting Duct Principal Cell,"['AOC1', 'SCNN1G', 'ABCB1']",0.4642857142857143,0.2272290736436844,0.5652173913043478,0.2708333333333333
Transitional Principal-Intercalated Cell,"['PTGER1', 'GADD45G', 'ERLN']",0.7142857142857143,0.3111190497875213,0.9473684210526316,0.36
