clusterName,NSForest_markers,f_score
Papillary Tip Epithelial Cell,"['SNX31', 'CYP4B1']",0.7894736842105263
Degenerative Inner Medullary Collecting Duct Cell,"['PTGS1', 'KCNK3', 'PXYLP1']",0.6012658227848101
Inner Medullary Collecting Duct Cell,"['HDAC2-AS2', 'HS3ST5', 'LINC03007']",0.6818181818181818
Descending Thin Limb Cell Type 3,"['ENSG00000249776', 'LIX1', 'MIR3681HG']",0.6140350877192983
Ascending Thin Limb Cell,"['COLEC10', 'FCGBP']",0.6159420289855072
Degenerative Ascending Thin Limb Cell,"['SH3GL3', 'CRYAB']",0.6159420289855072
Cycling Proximal Tubule Epithelial Cell,"['MELK', 'ZNF83']",0.4347826086956521
Descending Thin Limb Cell Type 2,"['LINC03017', 'KLRG2']",0.6626506024096386
Descending Thin Limb Cell Type 1,"['ADGRL3', 'PROM1']",0.6796116504854369
Degenerative Descending Thin Limb Cell Type 3,"['FHL2', 'ENSG00000133475']",0.7865168539325843
Degenerative Connecting Tubule Cell,"['PIGR', 'ADAMTS16', 'CALB1']",0.5
Connecting Tubule Cell,"['LINC01099', 'TMEM52B', 'TEX41']",0.4477611940298507
Distal Convoluted Tubule Cell Type 2,"['NELL1', 'SLC12A3']",0.5371900826446281
Cortical Thick Ascending Limb Cell,"['CLDN16', 'USP2', 'NRK']",0.6015037593984962
Degenerative Medullary Thick Ascending Limb Cell,"['UMOD', 'SLC12A1', 'CASR']",0.3947368421052631
Medullary Thick Ascending Limb Cell,"['ENSG00000282278', 'NELL1']",0.7258064516129032
Degenerative Outer Medullary Collecting Duct Principal Cell,"['AOC1', 'SCNN1G', 'ABCB1']",0.4642857142857143
Transitional Principal-Intercalated Cell,"['PTGER1', 'GADD45G', 'ERLN']",0.7142857142857143
Connecting Tubule Principal Cell,"['STC1', 'CALB1']",0.5072463768115942
Degenerative Distal Convoluted Tubule Cell,"['FABP3', 'ENSG00000263146', 'SFRP1']",0.7792207792207793
Macula Densa Cell,"['PPFIA2', 'NOS1']",0.704225352112676
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,"['FGF13', 'ITGB6', 'BBOX1', 'RAP1GAP2']",0.6363636363636364
Cycling Distal Convoluted Tubule Cell,"['LINC01036', 'ZNF461']",0.7142857142857143
Distal Convoluted Tubule Cell Type 1,"['ADAMTS17', 'CACNB4']",0.635593220338983
Cortical Collecting Duct Principal Cell,"['CDK18', 'PWRN1', 'RALYL']",0.5666666666666667
Cycling Connecting Tubule Cell,['RALYL'],0.3333333333333333
Outer Medullary Collecting Duct Principal Cell,"['ENSG00000254695', 'CPAMD8', 'KIZ']",0.6818181818181818
Outer Medullary Collecting Duct Intercalated Cell Type A,"['ENSG00000253675', 'ENSG00000258881']",0.7758620689655172
