dataset_version_id,cluster_name,skos,manual_mapped_cid,cell_ontology_id
4b5895d7-6d92-471a-b13a-5c59a000ddc4,AntiB,exactMatch,CL:0000786,CL:0000786
4b5895d7-6d92-471a-b13a-5c59a000ddc4,aStellate,relatedMatch,CL:0000632,CL:0000632
4b5895d7-6d92-471a-b13a-5c59a000ddc4,C-Hepato,exactMatch,CL:0019029,CL:0019029
4b5895d7-6d92-471a-b13a-5c59a000ddc4,C-Hepato2,relatedMatch,CL:0019029,CL:0019029
4b5895d7-6d92-471a-b13a-5c59a000ddc4,CD4T,exactMatch,CL:0000624,CL:0000624
4b5895d7-6d92-471a-b13a-5c59a000ddc4,Chol,exactMatch,CL:0002538,CL:0002538
4b5895d7-6d92-471a-b13a-5c59a000ddc4,Chol--Stellate-Doublet,NA,NA,unknown
4b5895d7-6d92-471a-b13a-5c59a000ddc4,Chol-Doublet,NA,NA,unknown
4b5895d7-6d92-471a-b13a-5c59a000ddc4,CholMucus,relatedMatch,CL:0002538,CL:0002538
4b5895d7-6d92-471a-b13a-5c59a000ddc4,cvEndo,exactMatch,CL:4033061,CL:0002543
4b5895d7-6d92-471a-b13a-5c59a000ddc4,cvLSEC,exactMatch,CL:0019022,CL:0019022
4b5895d7-6d92-471a-b13a-5c59a000ddc4,cvLSEC--Mac,NA,NA,unknown
4b5895d7-6d92-471a-b13a-5c59a000ddc4,cvLSEC-Doublet,NA,NA,unknown
4b5895d7-6d92-471a-b13a-5c59a000ddc4,Fibroblast,exactMatch,CL:0000057,CL:0000057
4b5895d7-6d92-471a-b13a-5c59a000ddc4,Hepato-Doublet,NA,NA,unknown
4b5895d7-6d92-471a-b13a-5c59a000ddc4,I-Hepato,exactMatch,CL:0019028,CL:0019028
4b5895d7-6d92-471a-b13a-5c59a000ddc4,Kupffer,exactMatch,CL:0000091,CL:0000091
4b5895d7-6d92-471a-b13a-5c59a000ddc4,Kupffer-Doublet,NA,NA,unknown
4b5895d7-6d92-471a-b13a-5c59a000ddc4,lrNK,exactMatch,CL:4047101,CL:2000054
4b5895d7-6d92-471a-b13a-5c59a000ddc4,Monocyte,exactMatch,CL:0000576,CL:0000576
4b5895d7-6d92-471a-b13a-5c59a000ddc4,P-Hepato,exactMatch,CL:0019026,CL:0019026
4b5895d7-6d92-471a-b13a-5c59a000ddc4,P-Hepato2,relatedMatch,CL:0019026,CL:0019026
4b5895d7-6d92-471a-b13a-5c59a000ddc4,ppLSEC,exactMatch,CL:0019021,CL:0019021
4b5895d7-6d92-471a-b13a-5c59a000ddc4,Prolif,NA,NA,unknown
4b5895d7-6d92-471a-b13a-5c59a000ddc4,Stellate,exactMatch,CL:0000632,CL:0000632
4b5895d7-6d92-471a-b13a-5c59a000ddc4,Stellate-Doublet,NA,NA,unknown
4b5895d7-6d92-471a-b13a-5c59a000ddc4,Tcell-Doublet,NA,NA,unknown
4b5895d7-6d92-471a-b13a-5c59a000ddc4,VSMC,exactMatch,CL:0000359,CL:0000359
