gene,Astro_1,Astro_2,Astro_3,Astro_4,Astro_5,Chandelier_1,Endo_1,Endo_2,L2/3 IT_1,L2/3 IT_2,L2/3 IT_3,L2/3 IT_4,L2/3 IT_5,L2/3 IT_6,L4 IT_1,L4 IT_3,L4 IT_5,L5 ET_1,L5 ET_2,L5 ET_3,L5 IT_1,L5 IT_2,L5 IT_3,L5 IT_4,L5 IT_6,L5/6 NP_1,L5/6 NP_2,L5/6 NP_3,L5/6 NP_4,L5/6 NP_5,L5/6 NP_6,L6 CT_1,L6 CT_2,L6 CT_3,L6 IT Car3_1,L6 IT Car3_2,L6 IT_1,L6 IT_2,L6b_1,L6b_2,L6b_3,L6b_4,L6b_5,L6b_6,Lamp5 Lhx6_1,Lamp5_1,Lamp5_2,Lamp5_3,Lamp5_4,Lamp5_5,Lamp5_6,Lamp5_7,Micro/PVM_1,OPC_1,Oligo_1,Oligo_2,Oligo_3,Oligo_4,Pax6_1,Pax6_2,Pax6_3,Pax6_4,Pvalb_1,Pvalb_2,Pvalb_3,Pvalb_4,Pvalb_5,Pvalb_6,Pvalb_7,Pvalb_8,Pvalb_9,Sncg_1,Sncg_2,Sncg_3,Sncg_4,Sncg_5,Sncg_6,Sncg_7,Sncg_8,Sst Chodl_1,Sst_1,Sst_10,Sst_11,Sst_12,Sst_13,Sst_14,Sst_15,Sst_16,Sst_17,Sst_18,Sst_19,Sst_2,Sst_21,Sst_22,Sst_23,Sst_24,Sst_25,Sst_26,Sst_27,Sst_28,Sst_29,Sst_3,Sst_30,Sst_31,Sst_32,Sst_33,Sst_35,Sst_36,Sst_37,Sst_4,Sst_5,Sst_6,Sst_7,Sst_8,Sst_9,VLMC_1,VLMC_2,Vip_1,Vip_10,Vip_11,Vip_12,Vip_13,Vip_14,Vip_15,Vip_16,Vip_17,Vip_18,Vip_19,Vip_2,Vip_20,Vip_21,Vip_22,Vip_23,Vip_24,Vip_25,Vip_26,Vip_27,Vip_28,Vip_29,Vip_3,Vip_4,Vip_5,Vip_6,Vip_7,Vip_8,Vip_9
ENSG00000000419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7368769259288394,0.743976522725204,0.754099988937378,0.7459821141999343,0.7373920794191031,0.7428184706589271,0.0,0.0,0.7316045366484544,0.7385302991702639,0.7364780902862549,0.0,0.0,0.7340990017200338,0.7328866374903712,0.0,0.735133003777471,0.7295152853275167,0.7366502149351712,0.7361009721098275,0.7241379310344828,0.0,0.7285359867687883,0.7348859967856571,0.7279324552108501,0.7327391591565362,0.7351270392023284,0.7381930334814664,0.7363492160007872,0.7385827122063472,0.7274263661483239,0.7324839476881356,0.0,0.730473897785976,0.7334484281211063,0.7317361733009076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7289050636620357,0.0,0.0,0.7293891820414313,0.0,0.0,0.0,0.0,0.7314215170926062,0.7305806423055714,0.7318444445215423,0.0,0.7312307185140149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.727375997346023,0.0,0.0,0.0,0.0,0.0,0.7444868585159039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7433875511432516,0.0,0.7321713505120113,0.7322386141481071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7296072688596001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000000457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9862068965517241,0.9862922203951868,0.9888480749623528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000000971,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000001084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8418366054008747,0.841643817671414,0.0,0.0,0.0,0.8344827586206897,0.0,0.8402797555101329,0.8378114424902817,0.0,0.0,0.8382144307268077,0.8384587563317397,0.0,0.0,0.0,0.8500543857442922,0.8458897434431931,0.0,0.0,0.8493993080895522,0.8409719097203222,0.0,0.0,0.8411795459944627,0.0,0.0,0.0,0.8376651402177482,0.8409909807402512,0.8427198159283605,0.0,0.8382842976471473,0.844200796916567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.841948782164475,0.8587038800634187,0.8539104971392402,0.8631628188593634,0.8487271230796288,0.8503977730356413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8439486861228943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8400770421685844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000001460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865678034979721,0.0,0.9863349285619012,0.0,0.0,0.0,0.0,0.0,0.9862068965517241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000001461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5936442934233567,0.6004706312870157,0.5988600212952186,0.5996030030579402,0.593103448275862,0.0,0.5955411310853629,0.0,0.5962489341867381,0.5937099432123119,0.620677743286922,0.6163409862025031,0.5956948132350527,0.6206874888518761,0.602897637054838,0.594983838755509,0.6185515399636894,0.6052103609874331,0.0,0.6127032711588103,0.5945737867519774,0.6004026898022355,0.6230379121056918,0.6266365819963916,0.6042656993043833,0.6096427383093999,0.5971888390080682,0.6184723854064942,0.5939258834411358,0.6084251037959395,0.603555848269627,0.6032020478413023,0.6042013583512141,0.6355365272226005,0.6002711004224317,0.0,0.0,0.0,0.0,0.0,0.6739302322782319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6131962282904263,0.0,0.6080993002858656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5997888071783658,0.0,0.6296617923111751,0.6551665088226055,0.0,0.6775815507461285,0.6541365602920796,0.6485077335916717,0.6062884297864191,0.0,0.5932517680628546,0.0,0.0,0.0,0.0,0.0,0.6675655364990234,0.0,0.0,0.6849349593294078,0.0,0.6719249301943285,0.0,0.6871360861021897,0.6135474496874316,0.0,0.0,0.0,0.6846638387647168,0.6404702363343074,0.6914628160410914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5987395866163846,0.0,0.0,0.0,0.6404153943061829,0.6944232056880819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6219600788478193,0.6450505285427488,0.0,0.0,0.0,0.0,0.6325131753395343,0.0,0.0,0.0,0.0,0.0,0.6235055002672919,0.0,0.5934229131402641,0.0,0.0,0.0,0.0,0.6526814382651757,0.0,0.0
ENSG00000001497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9724137931034482,0.0,0.0,0.0,0.0,0.0,0.9741292760289949,0.9739276170730591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977269694722932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979294739509451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000001561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9038568217178871,0.0,0.9092598672570853,0.0,0.0,0.0,0.0,0.903723981462676,0.903448275862069,0.9119057675887798,0.9089437591618506,0.0,0.9083850178225287,0.0,0.0,0.0,0.9108036337227657,0.0,0.0,0.0,0.0,0.9070175035246487,0.9045387194074433,0.0,0.911852634364161,0.0,0.9090966894708831,0.0,0.9068299684031257,0.0,0.0,0.0,0.9157922637873682,0.903586377768681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000001626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000001629,0.0,0.0,0.0,0.05527809817215492,0.0,0.06270695719225654,0.05517241379310345,0.0,0.06461182462758032,0.057549898377780254,0.08293511908629846,0.09174879542712508,0.05705196364172574,0.06407291108164294,0.063839040542471,0.05629887663084885,0.0644459999840835,0.0746633739307009,0.08344082092416698,0.06131868321320106,0.05848177383685934,0.06600300977969992,0.05857361349566229,0.06293212010942656,0.06729723996129529,0.06636173684021522,0.06792989229333812,0.08060851138213586,0.06083863891404251,0.07744918486167644,0.06731973886489868,0.08531239032745361,0.08876004013521918,0.06935055584743105,0.05789674232745993,0.06548130717770807,0.05636769122090833,0.06506272924357447,0.06451121527573157,0.06059215479883654,0.0702978882296332,0.06458857141692063,0.05665214390590273,0.06302821225133436,0.10135863526114101,0.09157450034700591,0.09065184428774077,0.06265120054113454,0.0832084532441764,0.07571946176989325,0.07838675235879833,0.06706016145903489,0.0,0.06257761757949303,0.18589196287352464,0.21345181300722318,0.19164133030792763,0.21181450383416536,0.14955066689129534,0.07924058930627231,0.0832046286813144,0.12053407800608668,0.09543989978987595,0.08587432318720324,0.07519358437636803,0.06214865733837259,0.10251568925791774,0.08801060380606816,0.07733317531388381,0.06898651945179907,0.07099063766413721,0.05848278834902007,0.06992646126911559,0.06275290168564895,0.07313437585172983,0.08653648475120808,0.07592531730388773,0.15077037523532735,0.06103715978819749,0.08332535850590674,0.0838104876978644,0.07091709580914728,0.07255875283274157,0.08265827195397739,0.07167490720748901,0.09713030560263272,0.08364420677053518,0.08087542796957081,0.08105625982942252,0.07517939271598027,0.08200548805039505,0.08886624739087862,0.08202291850385995,0.07561845162819172,0.06990594247291829,0.07441188508066637,0.07552967441493068,0.07114438599553602,0.06708485258036646,0.08213137059376158,0.08653347204471457,0.05520129244903038,0.0631995127118867,0.06436064531063211,0.07269638160179401,0.0632310649444317,0.09201183771264965,0.08067728157701164,0.0631073051485522,0.09942141278036709,0.07895223683324354,0.05990526511751372,0.08052184581756591,0.06518965137415919,0.06412526739054712,0.0,0.0,0.059895097387248075,0.06087576561960681,0.0578615246147945,0.08276267339443338,0.057249846129581845,0.05907117457225405,0.057904075343033365,0.06776269304341283,0.0994457639496902,0.05750285304825881,0.059074325808163346,0.05796504185117524,0.05916699458812845,0.11938776147776636,0.06827704372077152,0.08381779933797902,0.05699244162132,0.057929477609437084,0.07039336459390048,0.10699100617704721,0.068129877386422,0.06755589575603091,0.05902361170998935,0.058410160294894514,0.05941132718119128,0.061778898074709133,0.07463640508980586,0.0673276317530665,0.06876202205131794
