cluster,count
L2/3 IT_6,207759
L5 IT_2,86137
L6 IT_2,62845
Oligo_4,49396
Pvalb_6,48491
L4 IT_1,42542
L2/3 IT_2,37812
L4 IT_3,31827
L2/3 IT_1,28042
L6 IT Car3_2,25714
L6 CT_3,25547
L5 IT_6,24416
Astro_1,21527
L4 IT_5,18918
L4 IT_6,16163
L5/6 NP_1,16127
OPC_1,15670
L6b_2,15241
Lamp5 Lhx6_1,15120
Lamp5_4,13416
L5 IT_3,12848
L6 CT_2,12217
Micro/PVM_1,12217
Vip_1,11670
L5 IT_4,11373
Sst_11,10559
Sst_8,9593
Sst_22,9423
Chandelier_1,8705
Sst_25,7312
Pvalb_4,7180
L5 ET_2,6561
L4 IT_2,6235
Vip_11,5892
Pvalb_7,5707
L2/3 IT_3,5652
Pvalb_5,5396
L2/3 IT_4,5149
Sst_1,4957
Pvalb_1,4947
Lamp5_5,4853
Vip_25,4778
Sst_30,4334
L4 IT_4,4137
Vip_4,4123
Vip_23,3717
L2/3 IT_5,3635
L6 IT_1,3609
Sst_33,3553
Vip_19,3549
Vip_5,3529
Sncg_5,3398
L6b_6,3376
Vip_3,3298
Sncg_1,3120
Sst_28,2921
Pax6_2,2906
Vip_2,2864
Lamp5_1,2849
L6b_4,2830
Sst_2,2768
Sst_7,2716
Vip_9,2524
Sst_9,2520
Sst_10,2466
Astro_5,2423
Sst_12,2288
Sst_13,2226
Sst_14,2204
L5 IT_5,2194
Sst_15,2178
Vip_18,2119
Sst_16,2118
Sncg_3,2069
Lamp5_2,2023
Pvalb_2,1992
Pvalb_3,1941
Lamp5_3,1925
Oligo_2,1891
Vip_20,1881
Astro_2,1878
Sst_17,1860
Sst_18,1852
Sst_19,1831
Sst_20,1759
Sst_21,1749
Sncg_2,1748
L6b_1,1693
Sncg_4,1644
L5 ET_1,1614
L5/6 NP_3,1612
Vip_6,1599
Sst_23,1563
Sst_24,1555
L5/6 NP_5,1547
Vip_7,1524
L6 CT_1,1503
Sst_26,1485
Vip_8,1481
Vip_10,1443
Sst_29,1409
Sst_27,1409
Pax6_1,1406
Sst_31,1291
Vip_12,1286
Vip_13,1226
Vip_14,1220
Sst Chodl_1,1218
Vip_15,1214
Sst_32,1206
Astro_4,1198
Vip_16,1196
Vip_17,1190
Sncg_6,1074
Pvalb_8,1046
L5 IT_1,1032
Sst_34,1017
Vip_21,1000
Pax6_3,987
Vip_22,969
Lamp5_6,962
L6 IT Car3_1,902
Pax6_4,896
Sst_35,895
Sncg_7,894
Pvalb_9,891
Endo_2,800
Vip_24,742
L6b_3,721
Sst_36,712
L5/6 NP_4,651
Sst_37,639
VLMC_2,626
Vip_26,601
Astro_3,537
Lamp5_7,518
L5/6 NP_6,509
Vip_27,489
Sst_3,460
Sst_4,452
L6b_5,451
Sst_5,390
Oligo_3,346
L5 ET_3,335
Sncg_8,303
L5 ET_4,301
Sst_6,293
Vip_28,189
Oligo_1,183
VLMC_1,139
L5/6 NP_2,133
Endo_1,109
Vip_29,71
