cluster,count
L2/3 IT_6,105133
L5 IT_2,45327
L6 IT_2,36385
Pvalb_6,25774
Oligo_4,21563
L6 CT_3,16710
L4 IT_5,13150
L2/3 IT_1,13133
Astro_1,10554
L4 IT_1,9733
L6b_2,9343
L5/6 NP_1,9300
Lamp5 Lhx6_1,8432
L5 IT_6,8413
L6 IT Car3_2,8408
OPC_1,7229
Lamp5_4,7097
Sst_11,5808
Micro/PVM_1,5773
L5 ET_2,5675
L2/3 IT_3,5650
Sst_22,5548
Chandelier_1,5160
L2/3 IT_4,5103
Vip_1,4877
L5 IT_3,4474
Pvalb_4,4103
Sst_8,3608
Pvalb_5,3212
Vip_11,2811
L2/3 IT_5,2797
Lamp5_5,2721
Sst_30,2689
Sst_1,2672
Pvalb_1,2655
Vip_25,2520
Vip_4,2279
L6b_6,2151
Vip_23,1826
Sst_25,1805
Sncg_5,1778
Vip_3,1765
Sst_33,1760
Vip_19,1742
Lamp5_1,1738
Vip_5,1634
Pax6_2,1582
L5 ET_1,1581
Sst_28,1580
Sncg_1,1523
L6b_4,1444
Lamp5_2,1439
Sst_2,1393
Sst_10,1302
Vip_2,1289
Sst_7,1263
Vip_18,1230
L5/6 NP_3,1227
Sst_17,1221
Sst_9,1192
Sst_13,1186
Astro_5,1142
Pvalb_2,1133
Sst_21,1105
Sst_16,1086
Sst_19,1042
Vip_9,1037
Oligo_2,1025
Sst_24,1021
Vip_6,998
Astro_2,994
Sncg_2,983
Sst_12,982
Vip_8,975
Pax6_1,972
Sncg_4,956
Sncg_3,942
Lamp5_3,937
Vip_20,923
Sst_26,905
Sst_27,892
L6 CT_1,841
Pvalb_3,819
Vip_10,792
Sst_18,772
Sst Chodl_1,761
Vip_7,760
Vip_16,730
Sst_29,726
Vip_15,723
Vip_17,716
Vip_14,706
Sst_23,666
L5/6 NP_5,649
Pax6_3,644
Astro_4,610
Vip_13,600
Sncg_6,591
Pvalb_8,575
Lamp5_6,556
Sst_31,554
Sncg_7,549
Vip_21,530
Sst_35,517
Pax6_4,512
L5/6 NP_6,507
Vip_12,485
Endo_2,465
Sst_36,454
Sst_37,454
Sst_32,426
Sst_4,394
L6 IT_1,379
Vip_26,344
Sst_15,319
Vip_24,304
Lamp5_7,285
VLMC_2,284
Sst_5,260
Vip_27,257
Astro_3,256
L5 IT_1,243
L6b_5,191
Pvalb_9,179
Oligo_3,179
Vip_28,175
Pvalb_7,167
Sncg_8,139
L6 IT Car3_1,127
L5/6 NP_2,113
L6b_1,100
L6b_3,96
VLMC_1,87
Oligo_1,81
L2/3 IT_2,69
Endo_1,58
L5 IT_4,54
Vip_29,46
Sst_14,35
L6 CT_2,29
L5/6 NP_4,28
Vip_22,25
L4 IT_3,10
Sst_3,7
Sst_6,7
L5 ET_3,7
