cluster,n_cells,percentage
Astro_1,10554,2.04
Astro_2,994,0.19
Astro_3,256,0.05
Astro_4,610,0.12
Astro_5,1142,0.22
Chandelier_1,5160,1.0
Endo_1,58,0.01
Endo_2,465,0.09
L2/3 IT_1,13133,2.54
L2/3 IT_2,69,0.01
L2/3 IT_3,5650,1.09
L2/3 IT_4,5103,0.99
L2/3 IT_5,2797,0.54
L2/3 IT_6,105133,20.35
L4 IT_1,9733,1.88
L4 IT_3,10,0.0
L4 IT_5,13150,2.55
L5 ET_1,1581,0.31
L5 ET_2,5675,1.1
L5 ET_3,7,0.0
L5 IT_1,243,0.05
L5 IT_2,45327,8.78
L5 IT_3,4474,0.87
L5 IT_4,54,0.01
L5 IT_6,8413,1.63
L5/6 NP_1,9300,1.8
L5/6 NP_2,113,0.02
L5/6 NP_3,1227,0.24
L5/6 NP_4,28,0.01
L5/6 NP_5,649,0.13
L5/6 NP_6,507,0.1
L6 CT_1,841,0.16
L6 CT_2,29,0.01
L6 CT_3,16710,3.23
L6 IT Car3_1,127,0.02
L6 IT Car3_2,8408,1.63
L6 IT_1,379,0.07
L6 IT_2,36385,7.04
L6b_1,100,0.02
L6b_2,9343,1.81
L6b_3,96,0.02
L6b_4,1444,0.28
L6b_5,191,0.04
L6b_6,2151,0.42
Lamp5 Lhx6_1,8432,1.63
Lamp5_1,1738,0.34
Lamp5_2,1439,0.28
Lamp5_3,937,0.18
Lamp5_4,7097,1.37
Lamp5_5,2721,0.53
Lamp5_6,556,0.11
Lamp5_7,285,0.06
Micro/PVM_1,5773,1.12
OPC_1,7229,1.4
Oligo_1,81,0.02
Oligo_2,1025,0.2
Oligo_3,179,0.03
Oligo_4,21563,4.17
Pax6_1,972,0.19
Pax6_2,1582,0.31
Pax6_3,644,0.12
Pax6_4,512,0.1
Pvalb_1,2655,0.51
Pvalb_2,1133,0.22
Pvalb_3,819,0.16
Pvalb_4,4103,0.79
Pvalb_5,3212,0.62
Pvalb_6,25774,4.99
Pvalb_7,167,0.03
Pvalb_8,575,0.11
Pvalb_9,179,0.03
Sncg_1,1523,0.29
Sncg_2,983,0.19
Sncg_3,942,0.18
Sncg_4,956,0.19
Sncg_5,1778,0.34
Sncg_6,591,0.11
Sncg_7,549,0.11
Sncg_8,139,0.03
Sst Chodl_1,761,0.15
Sst_1,2672,0.52
Sst_10,1302,0.25
Sst_11,5808,1.12
Sst_12,982,0.19
Sst_13,1186,0.23
Sst_14,35,0.01
Sst_15,319,0.06
Sst_16,1086,0.21
Sst_17,1221,0.24
Sst_18,772,0.15
Sst_19,1042,0.2
Sst_2,1393,0.27
Sst_21,1105,0.21
Sst_22,5548,1.07
Sst_23,666,0.13
Sst_24,1021,0.2
Sst_25,1805,0.35
Sst_26,905,0.18
Sst_27,892,0.17
Sst_28,1580,0.31
Sst_29,726,0.14
Sst_3,7,0.0
Sst_30,2689,0.52
Sst_31,554,0.11
Sst_32,426,0.08
Sst_33,1760,0.34
Sst_35,517,0.1
Sst_36,454,0.09
Sst_37,454,0.09
Sst_4,394,0.08
Sst_5,260,0.05
Sst_6,7,0.0
Sst_7,1263,0.24
Sst_8,3608,0.7
Sst_9,1192,0.23
VLMC_1,87,0.02
VLMC_2,284,0.05
Vip_1,4877,0.94
Vip_10,792,0.15
Vip_11,2811,0.54
Vip_12,485,0.09
Vip_13,600,0.12
Vip_14,706,0.14
Vip_15,723,0.14
Vip_16,730,0.14
Vip_17,716,0.14
Vip_18,1230,0.24
Vip_19,1742,0.34
Vip_2,1289,0.25
Vip_20,923,0.18
Vip_21,530,0.1
Vip_22,25,0.0
Vip_23,1826,0.35
Vip_24,304,0.06
Vip_25,2520,0.49
Vip_26,344,0.07
Vip_27,257,0.05
Vip_28,175,0.03
Vip_29,46,0.01
Vip_3,1765,0.34
Vip_4,2279,0.44
Vip_5,1634,0.32
Vip_6,998,0.19
Vip_7,760,0.15
Vip_8,975,0.19
Vip_9,1037,0.2
