clusterName,gene
Micro/PVM_1,ENSG00000077420
Oligo_1,ENSG00000167123
Oligo_1,ENSG00000147488
Oligo_1,ENSG00000154493
Oligo_1,ENSG00000150760
Oligo_3,ENSG00000161671
Oligo_3,ENSG00000253807
Oligo_3,ENSG00000168314
Oligo_4,ENSG00000123560
Oligo_2,ENSG00000172197
Oligo_2,ENSG00000257585
Oligo_2,ENSG00000117266
Astro_1,ENSG00000080573
Astro_1,ENSG00000234377
VLMC_2,ENSG00000173638
VLMC_2,ENSG00000111181
VLMC_1,ENSG00000149591
VLMC_1,ENSG00000107796
Endo_1,ENSG00000127920
Endo_1,ENSG00000163815
Endo_1,ENSG00000131097
Endo_2,ENSG00000180229
OPC_1,ENSG00000134853
OPC_1,ENSG00000132692
Astro_5,ENSG00000041982
Astro_5,ENSG00000240583
Astro_2,ENSG00000165164
Astro_2,ENSG00000174776
Astro_4,ENSG00000119938
Astro_4,ENSG00000125968
Astro_4,ENSG00000106571
Astro_4,ENSG00000164089
Astro_3,ENSG00000135744
Astro_3,ENSG00000026025
Astro_3,ENSG00000171885
Astro_3,ENSG00000130203
Astro_3,ENSG00000135821
Lamp5 Lhx6_1,ENSG00000178538
Lamp5 Lhx6_1,ENSG00000170962
Lamp5_2,ENSG00000112319
Lamp5_2,ENSG00000167081
Lamp5_4,ENSG00000169071
Lamp5_4,ENSG00000138741
Lamp5_1,ENSG00000173157
Lamp5_1,ENSG00000138741
Lamp5_7,ENSG00000125869
Lamp5_7,ENSG00000054803
Lamp5_7,ENSG00000157404
Pax6_1,ENSG00000163453
Pax6_1,ENSG00000047648
Pax6_1,ENSG00000164946
Pax6_3,ENSG00000112139
Pax6_3,ENSG00000167081
Pax6_3,ENSG00000196562
Sncg_7,ENSG00000166736
Sncg_7,ENSG00000170743
Sncg_7,ENSG00000140563
Sncg_4,ENSG00000267712
Sncg_4,ENSG00000011465
Sncg_1,ENSG00000163377
Sncg_1,ENSG00000107731
Sncg_1,ENSG00000157890
Sncg_2,ENSG00000150907
Sncg_2,ENSG00000154975
Sncg_2,ENSG00000186314
Sncg_2,ENSG00000189108
Sncg_3,ENSG00000163377
Sncg_3,ENSG00000110975
Sncg_3,ENSG00000134215
Sncg_6,ENSG00000075223
Sncg_6,ENSG00000178031
Sncg_6,ENSG00000144229
Sncg_6,ENSG00000069188
Sncg_8,ENSG00000138653
Sncg_8,ENSG00000163285
Sncg_8,ENSG00000147246
Sncg_5,ENSG00000204262
Sncg_5,ENSG00000075223
Sncg_5,ENSG00000236790
Lamp5_3,ENSG00000104267
Lamp5_3,ENSG00000213578
Lamp5_3,ENSG00000157404
Lamp5_6,ENSG00000173376
Lamp5_6,ENSG00000138741
Lamp5_6,ENSG00000157404
Lamp5_5,ENSG00000173376
Lamp5_5,ENSG00000125869
Pax6_4,ENSG00000079689
Pax6_4,ENSG00000038295
Pax6_4,ENSG00000112319
Pax6_2,ENSG00000163513
Pax6_2,ENSG00000189056
Vip_26,ENSG00000227115
Vip_26,ENSG00000075223
Vip_26,ENSG00000172987
Vip_26,ENSG00000166863
Vip_5,ENSG00000122591
Vip_5,ENSG00000157890
Vip_5,ENSG00000145703
Vip_28,ENSG00000139292
Vip_28,ENSG00000182240
Vip_28,ENSG00000152953
Vip_28,ENSG00000011465
Vip_16,ENSG00000138653
Vip_16,ENSG00000147246
Vip_16,ENSG00000105894
Vip_16,ENSG00000075223
Vip_19,ENSG00000146477
Vip_19,ENSG00000147246
Vip_19,ENSG00000144366
Vip_21,ENSG00000169071
Vip_21,ENSG00000114200
Vip_21,ENSG00000168743
Vip_17,ENSG00000181195
Vip_17,ENSG00000116117
Vip_27,ENSG00000162733
Vip_27,ENSG00000126733
Vip_27,ENSG00000175344
Vip_27,ENSG00000138829
Vip_7,ENSG00000122420
Vip_7,ENSG00000118523
Vip_7,ENSG00000172987
Vip_8,ENSG00000075884
Vip_8,ENSG00000126733
Vip_1,ENSG00000102755
Vip_1,ENSG00000117009
Vip_23,ENSG00000112280
Vip_23,ENSG00000113389
Vip_23,ENSG00000189184
Vip_12,ENSG00000151012
Vip_12,ENSG00000137252
Vip_12,ENSG00000151491
Vip_12,ENSG00000157404
Vip_9,ENSG00000151012
Vip_9,ENSG00000082438
Vip_9,ENSG00000178342
Vip_2,ENSG00000115461
Vip_2,ENSG00000166863
Vip_2,ENSG00000138764
Vip_4,ENSG00000038427
Vip_4,ENSG00000236790
Vip_4,ENSG00000183036
Vip_18,ENSG00000138653
Vip_18,ENSG00000147571
Vip_18,ENSG00000146469
Vip_3,ENSG00000150722
Vip_3,ENSG00000172987
Vip_3,ENSG00000137672
Vip_22,ENSG00000167210
Vip_22,ENSG00000120833
Vip_22,ENSG00000166863
Vip_22,ENSG00000120903
Vip_20,ENSG00000153976
Vip_20,ENSG00000106018
Vip_20,ENSG00000150722
Vip_20,ENSG00000166863
Vip_13,ENSG00000147488
Vip_13,ENSG00000146530
Vip_13,ENSG00000087494
Vip_13,ENSG00000234965
Vip_14,ENSG00000147488
Vip_14,ENSG00000146530
Vip_14,ENSG00000183960
Vip_14,ENSG00000154975
Vip_11,ENSG00000154175
Vip_11,ENSG00000146477
Vip_11,ENSG00000145703
Vip_10,ENSG00000154175
Vip_10,ENSG00000116117
Vip_10,ENSG00000178342
Vip_10,ENSG00000162631
Vip_6,ENSG00000145703
Vip_6,ENSG00000116117
Vip_6,ENSG00000162631
Vip_6,ENSG00000005059
Vip_24,ENSG00000150551
Vip_24,ENSG00000168913
Vip_24,ENSG00000150722
Vip_24,ENSG00000162975
Vip_15,ENSG00000197321
Vip_15,ENSG00000146469
Vip_25,ENSG00000145703
Vip_25,ENSG00000054803
Vip_29,ENSG00000086991
Vip_29,ENSG00000145703
Vip_29,ENSG00000006128
Vip_29,ENSG00000167306
Sst Chodl_1,ENSG00000122585
Sst_35,ENSG00000123612
Sst_35,ENSG00000064655
Sst_35,ENSG00000006128
Sst_17,ENSG00000007062
Sst_17,ENSG00000064655
Sst_17,ENSG00000006128
Sst_21,ENSG00000138829
Sst_21,ENSG00000178031
Sst_30,ENSG00000181195
Sst_30,ENSG00000134250
Sst_30,ENSG00000147246
Sst_26,ENSG00000138829
Sst_26,ENSG00000047648
Sst_26,ENSG00000178031
Sst_12,ENSG00000080200
Sst_12,ENSG00000142156
Sst_12,ENSG00000140090
Sst_5,ENSG00000122585
Sst_5,ENSG00000151388
Sst_5,ENSG00000152953
Sst_32,ENSG00000164120
Sst_32,ENSG00000181195
Sst_32,ENSG00000064655
Sst_32,ENSG00000152953
Sst_32,ENSG00000134250
Sst_25,ENSG00000181195
Sst_25,ENSG00000152953
Sst_25,ENSG00000112319
Sst_33,ENSG00000104327
Sst_33,ENSG00000153162
Sst_33,ENSG00000147246
Sst_4,ENSG00000168079
Sst_4,ENSG00000146374
Sst_4,ENSG00000154864
Sst_4,ENSG00000003096
Sst_10,ENSG00000196549
Sst_10,ENSG00000109255
Sst_10,ENSG00000172987
Sst_14,ENSG00000162733
