clusterName,gene
Micro/PVM_1,APBB1IP
Oligo_1,CERCAM
Oligo_1,ST18
Oligo_1,C10orf90
Oligo_1,DOCK1
Oligo_3,EMC10
Oligo_3,ENSG00000253807
Oligo_3,MOBP
Oligo_4,PLP1
Oligo_2,MBOAT1
Oligo_2,LINC00609
Oligo_2,CDK18
Astro_1,COL5A3
Astro_1,OBI1-AS1
VLMC_2,SLC19A1
VLMC_2,SLC6A12
VLMC_1,TAGLN
VLMC_1,ACTA2
Endo_1,GNG11
Endo_1,CLEC3B
Endo_1,HIGD1B
Endo_2,ENSG00000180229
OPC_1,PDGFRA
OPC_1,BCAN
Astro_5,TNC
Astro_5,AQP1
Astro_2,CFAP47
Astro_2,WDR49
Astro_4,PPP1R3C
Astro_4,ID1
Astro_4,GLI3
Astro_4,ETNPPL
Astro_3,AGT
Astro_3,VIM
Astro_3,AQP4
Astro_3,APOE
Astro_3,GLUL
Lamp5 Lhx6_1,CA8
Lamp5 Lhx6_1,PDGFD
Lamp5_2,EYA4
Lamp5_2,PBX3
Lamp5_4,ROR2
Lamp5_4,TRPC3
Lamp5_1,ADAMTS20
Lamp5_1,TRPC3
Lamp5_7,LAMP5
Lamp5_7,CBLN4
Lamp5_7,KIT
Pax6_1,IGFBP7
Pax6_1,ARHGAP6
Pax6_1,FREM1
Pax6_3,MDGA1
Pax6_3,PBX3
Pax6_3,SULF2
Sncg_7,HTR3A
Sncg_7,SYT9
Sncg_7,MCTP2
Sncg_4,LINC01539
Sncg_4,DCN
Sncg_1,TAFA4
Sncg_1,UNC5B
Sncg_1,MEGF11
Sncg_2,FOXO1
Sncg_2,CA10
Sncg_2,PRELID2
Sncg_2,IL1RAPL2
Sncg_3,TAFA4
Sncg_3,SYT10
Sncg_3,VAV3
Sncg_6,SEMA3C
Sncg_6,ADAMTSL1
Sncg_6,THSD7B
Sncg_6,SDK2
Sncg_8,NDST4
Sncg_8,GABRG1
Sncg_8,HTR2C
Sncg_5,COL5A2
Sncg_5,SEMA3C
Sncg_5,LINC00299
Lamp5_3,CA2
Lamp5_3,CPLX3
Lamp5_3,KIT
Lamp5_6,NDNF
Lamp5_6,TRPC3
Lamp5_6,KIT
Lamp5_5,NDNF
Lamp5_5,LAMP5
Pax6_4,SCGN
Pax6_4,TLL1
Pax6_4,EYA4
Pax6_2,TGFBR2
Pax6_2,RELN
Vip_26,LINC01630
Vip_26,SEMA3C
Vip_26,HPSE2
Vip_26,TAC3
Vip_5,HYCC1
Vip_5,MEGF11
Vip_5,IQGAP2
Vip_28,LGR5
Vip_28,BACE2
Vip_28,STK32B
Vip_28,DCN
Vip_16,NDST4
Vip_16,HTR2C
Vip_16,PTN
Vip_16,SEMA3C
Vip_19,SLC22A3
Vip_19,HTR2C
Vip_19,GULP1
Vip_21,ROR2
Vip_21,BCHE
Vip_21,NPNT
Vip_17,PENK
Vip_17,PARD3B
Vip_27,DDR2
Vip_27,DACH2
Vip_27,CHRNA7
Vip_27,FBN2
Vip_7,PTGFR
Vip_7,CCN2
Vip_7,HPSE2
Vip_8,ARHGAP15
Vip_8,DACH2
Vip_1,FLT1
Vip_1,KMO
Vip_23,COL9A1
Vip_23,NPR3
Vip_23,PCDH18
Vip_12,SLC7A11
Vip_12,HCRTR2
Vip_12,EPS8
Vip_12,KIT
Vip_9,SLC7A11
Vip_9,COBLL1
Vip_9,KCNG2
Vip_2,IGFBP5
Vip_2,TAC3
Vip_2,CCNG2
Vip_4,VCAN
Vip_4,LINC00299
Vip_4,PCP4
Vip_18,NDST4
Vip_18,CRH
Vip_18,VIP
Vip_3,PPP1R1C
Vip_3,HPSE2
Vip_3,TRPC6
Vip_22,LOXHD1
Vip_22,SOCS2
Vip_22,TAC3
Vip_22,CHRNA2
Vip_20,HS3ST3A1
Vip_20,VIPR2
Vip_20,PPP1R1C
Vip_20,TAC3
Vip_13,ST18
Vip_13,VWDE
Vip_13,PTHLH
Vip_13,SHISA8
Vip_14,ST18
Vip_14,VWDE
Vip_14,KCNH8
Vip_14,CA10
Vip_11,ABI3BP
Vip_11,SLC22A3
Vip_11,IQGAP2
Vip_10,ABI3BP
Vip_10,PARD3B
Vip_10,KCNG2
Vip_10,NTNG1
Vip_6,IQGAP2
Vip_6,PARD3B
Vip_6,NTNG1
Vip_6,MCUB
Vip_24,LYPD1
Vip_24,ENHO
Vip_24,PPP1R1C
Vip_24,KCNF1
Vip_15,SVIL
Vip_15,VIP
Vip_25,IQGAP2
Vip_25,CBLN4
Vip_29,NOX4
Vip_29,IQGAP2
Vip_29,TAC1
Vip_29,MYO5B
Sst Chodl_1,NPY
Sst_35,ACVR1C
Sst_35,EYA2
Sst_35,TAC1
Sst_17,PROM1
Sst_17,EYA2
Sst_17,TAC1
Sst_21,FBN2
Sst_21,ADAMTSL1
Sst_30,PENK
Sst_30,NOTCH2
Sst_30,HTR2C
Sst_26,FBN2
Sst_26,ARHGAP6
Sst_26,ADAMTSL1
Sst_12,CRYBG3
Sst_12,COL6A1
Sst_12,SLC24A4
Sst_5,NPY
Sst_5,ADAMTS12
Sst_5,STK32B
Sst_32,HPGD
Sst_32,PENK
Sst_32,EYA2
Sst_32,STK32B
Sst_32,NOTCH2
Sst_25,PENK
Sst_25,STK32B
Sst_25,EYA4
Sst_33,CALB1
Sst_33,BMP6
Sst_33,HTR2C
Sst_4,SCARA5
Sst_4,RSPO3
Sst_4,PIEZO2
Sst_4,KLHL13
Sst_10,MME
Sst_10,NMU
Sst_10,HPSE2
Sst_14,DDR2
Sst_14,DPP4
Sst_14,PIEZO2
Sst_14,MYRFL
Sst_14,NOS1
Sst_7,PIEZO2
Sst_7,HPSE2
Sst_7,EYS
Sst_6,MMAA
Sst_6,PRDM1
