clusterName,NSForest_markers,f_score
Micro/PVM_1,['ENSG00000077420'],0.967712546918844
Oligo_1,"['ENSG00000167123', 'ENSG00000147488', 'ENSG00000154493', 'ENSG00000150760']",0.0051721423913287
Oligo_3,"['ENSG00000161671', 'ENSG00000253807', 'ENSG00000168314']",0.2127659574468085
Oligo_4,['ENSG00000123560'],0.9346574838147744
Oligo_2,"['ENSG00000172197', 'ENSG00000257585', 'ENSG00000117266']",0.5283788021323299
Astro_1,"['ENSG00000080573', 'ENSG00000234377']",0.8747870174126252
VLMC_2,"['ENSG00000173638', 'ENSG00000111181']",0.8314732142857143
VLMC_1,"['ENSG00000149591', 'ENSG00000107796']",0.8303886925795053
Endo_1,"['ENSG00000127920', 'ENSG00000163815', 'ENSG00000131097']",0.6325301204819277
Endo_2,['ENSG00000180229'],0.8549834671705243
OPC_1,"['ENSG00000134853', 'ENSG00000132692']",0.8386556144403678
Astro_5,"['ENSG00000041982', 'ENSG00000240583']",0.6806475349521707
Astro_2,"['ENSG00000165164', 'ENSG00000174776']",0.4929577464788732
Astro_4,"['ENSG00000119938', 'ENSG00000125968', 'ENSG00000106571', 'ENSG00000164089']",0.3128031037827352
Astro_3,"['ENSG00000135744', 'ENSG00000026025', 'ENSG00000171885', 'ENSG00000130203', 'ENSG00000135821']",0.2777777777777778
Lamp5 Lhx6_1,"['ENSG00000178538', 'ENSG00000170962']",0.8239196360879454
Lamp5_2,"['ENSG00000112319', 'ENSG00000167081']",0.5677743246473823
Lamp5_4,"['ENSG00000169071', 'ENSG00000138741']",0.6221061379555978
Lamp5_1,"['ENSG00000173157', 'ENSG00000138741']",0.4880228816589202
Lamp5_7,"['ENSG00000125869', 'ENSG00000054803', 'ENSG00000157404']",0.1940491591203104
Pax6_1,"['ENSG00000163453', 'ENSG00000047648', 'ENSG00000164946']",0.7249596122778675
Pax6_3,"['ENSG00000112139', 'ENSG00000167081', 'ENSG00000196562']",0.5311614730878187
Sncg_7,"['ENSG00000166736', 'ENSG00000170743', 'ENSG00000140563']",0.5911111111111111
