software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,CrossArea_cluster,Micro/PVM_1,5773,0.967712546918844,0.9804319734170204,0.9199722847739475,510665,106,462,5311,1,['APBB1IP'],"['ENSG00000077420', 'ENSG00000169313', 'ENSG00000042980', 'ENSG00000182578', 'ENSG00000059377', 'ENSG00000165025', 'ENSG00000168329', 'ENSG00000082074', 'ENSG00000081237', 'ENSG00000107099']",1.0
4.1,CrossArea_cluster,Oligo_1,81,0.0051721423913287,0.004145264485897,0.5679012345679012,505412,11051,35,46,4,"['CERCAM', 'ST18', 'C10orf90', 'DOCK1']","['ENSG00000167123', 'ENSG00000123560', 'ENSG00000147488', 'ENSG00000154493', 'ENSG00000164124', 'ENSG00000150760', 'ENSG00000176771', 'ENSG00000104324', 'ENSG00000198786', 'ENSG00000114541']",0.1865626871585846
4.1,CrossArea_cluster,Oligo_3,179,0.2127659574468085,0.7142857142857143,0.0558659217877094,516361,4,169,10,3,"['EMC10', 'ENSG00000253807', 'MOBP']","['ENSG00000197430', 'ENSG00000161671', 'ENSG00000010278', 'ENSG00000123560', 'ENSG00000253807', 'ENSG00000168314', 'ENSG00000147459', 'ENSG00000164161', 'ENSG00000146592', 'ENSG00000105894']",0.2569137215614319
4.1,CrossArea_cluster,Oligo_4,21563,0.9346574838147744,0.9272638189835642,0.9654500765199648,493348,1633,745,20818,1,['PLP1'],"['ENSG00000141338', 'ENSG00000167123', 'ENSG00000123560', 'ENSG00000204655', 'ENSG00000168314', 'ENSG00000174607', 'ENSG00000136960', 'ENSG00000013297', 'ENSG00000147488', 'ENSG00000054690']",0.251732587814331
4.1,CrossArea_cluster,Oligo_2,1025,0.5283788021323299,0.6229205175600739,0.328780487804878,515315,204,688,337,3,"['MBOAT1', 'LINC00609', 'CDK18']","['ENSG00000172197', 'ENSG00000132854', 'ENSG00000164303', 'ENSG00000173988', 'ENSG00000257585', 'ENSG00000117266', 'ENSG00000182871', 'ENSG00000120278', 'ENSG00000140479', 'ENSG00000078269']",0.1865172833204269
4.1,CrossArea_cluster,Astro_1,10554,0.8747870174126252,0.896412221867348,0.7978017813151412,505017,973,2134,8420,2,"['COL5A3', 'OBI1-AS1']","['ENSG00000106571', 'ENSG00000251372', 'ENSG00000080573', 'ENSG00000164188', 'ENSG00000068078', 'ENSG00000234377', 'ENSG00000018625', 'ENSG00000079215', 'ENSG00000138639', 'ENSG00000164199']",0.2171781808137893
4.1,CrossArea_cluster,VLMC_2,284,0.8314732142857143,0.9738562091503268,0.5246478873239436,516256,4,135,149,2,"['SLC19A1', 'SLC6A12']","['ENSG00000173638', 'ENSG00000010379', 'ENSG00000111181', 'ENSG00000158270', 'ENSG00000111404', 'ENSG00000160801', 'ENSG00000249669', 'ENSG00000074181', 'ENSG00000123243', 'ENSG00000164330']",0.5501062273979187
4.1,CrossArea_cluster,VLMC_1,87,0.8303886925795053,0.9591836734693876,0.5402298850574713,516455,2,40,47,2,"['TAGLN', 'ACTA2']","['ENSG00000149591', 'ENSG00000107796', 'ENSG00000112837', 'ENSG00000076706', 'ENSG00000101335', 'ENSG00000148671', 'ENSG00000196924', 'ENSG00000249669', 'ENSG00000157110', 'ENSG00000026025']",1.0
4.1,CrossArea_cluster,Endo_1,58,0.6325301204819277,0.7777777777777778,0.3620689655172414,516480,6,37,21,3,"['GNG11', 'CLEC3B', 'HIGD1B']","['ENSG00000127920', 'ENSG00000163815', 'ENSG00000131097', 'ENSG00000158270', 'ENSG00000111181', 'ENSG00000160801', 'ENSG00000185633', 'ENSG00000249669', 'ENSG00000074181', 'ENSG00000018625']",0.5279303789138794
4.1,CrossArea_cluster,Endo_2,465,0.8549834671705243,0.8765133171912833,0.7784946236559139,516028,51,103,362,1,['ENSG00000180229'],"['ENSG00000184113', 'ENSG00000110799', 'ENSG00000118777', 'ENSG00000180229', 'ENSG00000138795', 'ENSG00000047617', 'ENSG00000102755', 'ENSG00000148488', 'ENSG00000085276', 'ENSG00000206190']",0.4847241044044494
4.1,CrossArea_cluster,OPC_1,7229,0.8386556144403678,0.9975754310344828,0.5122423571724997,509306,9,3526,3703,2,"['PDGFRA', 'BCAN']","['ENSG00000101311', 'ENSG00000196132', 'ENSG00000169302', 'ENSG00000134853', 'ENSG00000132692', 'ENSG00000198732', 'ENSG00000038427', 'ENSG00000157890', 'ENSG00000154975', 'ENSG00000175928']",0.1377008110284805
4.1,CrossArea_cluster,Astro_5,1142,0.6806475349521707,0.9390862944162436,0.3239929947460595,515378,24,772,370,2,"['TNC', 'AQP1']","['ENSG00000041982', 'ENSG00000240583', 'ENSG00000026508', 'ENSG00000167772', 'ENSG00000163638', 'ENSG00000174776', 'ENSG00000131095', 'ENSG00000171885', 'ENSG00000135063', 'ENSG00000204389']",1.0
4.1,CrossArea_cluster,Astro_2,994,0.4929577464788732,0.6704225352112676,0.2394366197183098,515433,117,756,238,2,"['CFAP47', 'WDR49']","['ENSG00000167992', 'ENSG00000165164', 'ENSG00000249306', 'ENSG00000174776', 'ENSG00000119139', 'ENSG00000165449', 'ENSG00000131095', 'ENSG00000117318', 'ENSG00000123836', 'ENSG00000049540']",0.5581893920898438
4.1,CrossArea_cluster,Astro_4,610,0.3128031037827352,0.3553719008264462,0.2114754098360655,515700,234,481,129,4,"['PPP1R3C', 'ID1', 'GLI3', 'ETNPPL']","['ENSG00000004799', 'ENSG00000119938', 'ENSG00000125968', 'ENSG00000106571', 'ENSG00000164089', 'ENSG00000131095', 'ENSG00000170345', 'ENSG00000172201', 'ENSG00000171223', 'ENSG00000257585']",0.2666434645652771
4.1,CrossArea_cluster,Astro_3,256,0.2777777777777778,0.3820224719101123,0.1328125,516233,55,222,34,5,"['AGT', 'VIM', 'AQP4', 'APOE', 'GLUL']","['ENSG00000117525', 'ENSG00000135744', 'ENSG00000026025', 'ENSG00000171885', 'ENSG00000130203', 'ENSG00000135821', 'ENSG00000101439', 'ENSG00000087250', 'ENSG00000164199', 'ENSG00000231538']",0.2116641551256179
4.1,CrossArea_cluster,Lamp5 Lhx6_1,8432,0.8239196360879454,0.968798751950078,0.5155360531309298,507972,140,4085,4347,2,"['CA8', 'PDGFD']","['ENSG00000229415', 'ENSG00000104332', 'ENSG00000154080', 'ENSG00000178538', 'ENSG00000170962', 'ENSG00000125869', 'ENSG00000112319', 'ENSG00000089250', 'ENSG00000137252', 'ENSG00000162631']",0.2130560278892517
4.1,CrossArea_cluster,Lamp5_2,1439,0.5677743246473823,0.6924198250728864,0.330090340514246,514894,211,964,475,2,"['EYA4', 'PBX3']","['ENSG00000112139', 'ENSG00000169071', 'ENSG00000147459', 'ENSG00000112319', 'ENSG00000167081', 'ENSG00000183287', 'ENSG00000157404', 'ENSG00000066468', 'ENSG00000138829', 'ENSG00000134138']",0.0853836461901664
4.1,CrossArea_cluster,Lamp5_4,7097,0.6221061379555978,0.6920537090028616,0.4430040862336198,508048,1399,3953,3144,2,"['ROR2', 'TRPC3']","['ENSG00000169071', 'ENSG00000213578', 'ENSG00000112319', 'ENSG00000138741', 'ENSG00000157404', 'ENSG00000183580', 'ENSG00000057294', 'ENSG00000164946', 'ENSG00000186314', 'ENSG00000196083']",0.1313453316688537
4.1,CrossArea_cluster,Lamp5_1,1738,0.4880228816589202,0.5663900414937759,0.3141542002301496,514388,418,1192,546,2,"['ADAMTS20', 'TRPC3']","['ENSG00000173157', 'ENSG00000133392', 'ENSG00000138741', 'ENSG00000054803', 'ENSG00000157404', 'ENSG00000236790', 'ENSG00000164946', 'ENSG00000189056', 'ENSG00000140015', 'ENSG00000106536']",0.161437302827835
4.1,CrossArea_cluster,Lamp5_7,285,0.1940491591203104,0.2459016393442623,0.1052631578947368,516167,92,255,30,3,"['LAMP5', 'CBLN4', 'KIT']","['ENSG00000133392', 'ENSG00000125869', 'ENSG00000212907', 'ENSG00000054803', 'ENSG00000157404', 'ENSG00000115756', 'ENSG00000116649', 'ENSG00000135919', 'ENSG00000164946', 'ENSG00000189056']",0.06386748701334
4.1,CrossArea_cluster,Pax6_1,972,0.7249596122778675,0.9547872340425532,0.3693415637860082,515555,17,613,359,3,"['IGFBP7', 'ARHGAP6', 'FREM1']","['ENSG00000107099', 'ENSG00000163453', 'ENSG00000151491', 'ENSG00000047648', 'ENSG00000164946', 'ENSG00000250067', 'ENSG00000182836', 'ENSG00000166250', 'ENSG00000196782', 'ENSG00000172572']",0.0477151498198509
4.1,CrossArea_cluster,Pax6_3,644,0.5311614730878187,0.78125,0.2329192546583851,515858,42,494,150,3,"['MDGA1', 'PBX3', 'SULF2']","['ENSG00000112139', 'ENSG00000167081', 'ENSG00000163110', 'ENSG00000196562', 'ENSG00000116117', 'ENSG00000175344', 'ENSG00000138829', 'ENSG00000069188', 'ENSG00000182836', 'ENSG00000151812']",0.0930242761969566
4.1,CrossArea_cluster,Sncg_7,549,0.5911111111111111,0.9236111111111112,0.2422586520947176,515984,11,416,133,3,"['HTR3A', 'SYT9', 'MCTP2']","['ENSG00000166736', 'ENSG00000047617', 'ENSG00000183578', 'ENSG00000170743', 'ENSG00000140563', 'ENSG00000145451', 'ENSG00000187123', 'ENSG00000146376', 'ENSG00000081803', 'ENSG00000150556']",0.1117578074336052
