clusterName,NSForest_markers,f_score
Micro/PVM_1,['APBB1IP'],0.967712546918844
Oligo_1,"['CERCAM', 'ST18', 'C10orf90', 'DOCK1']",0.0051721423913287
Oligo_3,"['EMC10', 'ENSG00000253807', 'MOBP']",0.2127659574468085
Oligo_4,['PLP1'],0.9346574838147744
Oligo_2,"['MBOAT1', 'LINC00609', 'CDK18']",0.5283788021323299
Astro_1,"['COL5A3', 'OBI1-AS1']",0.8747870174126252
VLMC_2,"['SLC19A1', 'SLC6A12']",0.8314732142857143
VLMC_1,"['TAGLN', 'ACTA2']",0.8303886925795053
Endo_1,"['GNG11', 'CLEC3B', 'HIGD1B']",0.6325301204819277
Endo_2,['ENSG00000180229'],0.8549834671705243
OPC_1,"['PDGFRA', 'BCAN']",0.8386556144403678
Astro_5,"['TNC', 'AQP1']",0.6806475349521707
Astro_2,"['CFAP47', 'WDR49']",0.4929577464788732
Astro_4,"['PPP1R3C', 'ID1', 'GLI3', 'ETNPPL']",0.3128031037827352
Astro_3,"['AGT', 'VIM', 'AQP4', 'APOE', 'GLUL']",0.2777777777777778
Lamp5 Lhx6_1,"['CA8', 'PDGFD']",0.8239196360879454
Lamp5_2,"['EYA4', 'PBX3']",0.5677743246473823
Lamp5_4,"['ROR2', 'TRPC3']",0.6221061379555978
Lamp5_1,"['ADAMTS20', 'TRPC3']",0.4880228816589202
Lamp5_7,"['LAMP5', 'CBLN4', 'KIT']",0.1940491591203104
Pax6_1,"['IGFBP7', 'ARHGAP6', 'FREM1']",0.7249596122778675
Pax6_3,"['MDGA1', 'PBX3', 'SULF2']",0.5311614730878187
Sncg_7,"['HTR3A', 'SYT9', 'MCTP2']",0.5911111111111111
Sncg_4,"['LINC01539', 'DCN']",0.5579652996845426
Sncg_1,"['TAFA4', 'UNC5B', 'MEGF11']",0.5824175824175825
Sncg_2,"['FOXO1', 'CA10', 'PRELID2', 'IL1RAPL2']",0.6452955870108243
Sncg_3,"['TAFA4', 'SYT10', 'VAV3']",0.4134720700985761
Sncg_6,"['SEMA3C', 'ADAMTSL1', 'THSD7B', 'SDK2']",0.3545816733067729
Sncg_8,"['NDST4', 'GABRG1', 'HTR2C']",0.2964959568733153
Sncg_5,"['COL5A2', 'SEMA3C', 'LINC00299']",0.5353176366059529
Lamp5_3,"['CA2', 'CPLX3', 'KIT']",0.4486692015209125
Lamp5_6,"['NDNF', 'TRPC3', 'KIT']",0.5242890995260664
Lamp5_5,"['NDNF', 'LAMP5']",0.7042564953012714
Pax6_4,"['SCGN', 'TLL1', 'EYA4']",0.7066761363636364
Pax6_2,"['TGFBR2', 'RELN']",0.8137432188065099
Vip_26,"['LINC01630', 'SEMA3C', 'HPSE2', 'TAC3']",0.4574468085106383
Vip_5,"['HYCC1', 'MEGF11', 'IQGAP2']",0.513152220784821
Vip_28,"['LGR5', 'BACE2', 'STK32B', 'DCN']",0.2834008097165992
Vip_16,"['NDST4', 'HTR2C', 'PTN', 'SEMA3C']",0.4110012360939431
Vip_19,"['SLC22A3', 'HTR2C', 'GULP1']",0.5608519269776876
Vip_21,"['ROR2', 'BCHE', 'NPNT']",0.6330275229357798
Vip_17,"['PENK', 'PARD3B']",0.5178100263852242
Vip_27,"['DDR2', 'DACH2', 'CHRNA7', 'FBN2']",0.4269293924466338
Vip_7,"['PTGFR', 'CCN2', 'HPSE2']",0.40828173374613
Vip_8,"['ARHGAP15', 'DACH2']",0.363919937613725
Vip_1,"['FLT1', 'KMO']",0.557075439436427
Vip_23,"['COL9A1', 'NPR3', 'PCDH18']",0.4997836434443963
Vip_12,"['SLC7A11', 'HCRTR2', 'EPS8', 'KIT']",0.4353562005277044
Vip_9,"['SLC7A11', 'COBLL1', 'KCNG2']",0.5999235766144441
Vip_2,"['IGFBP5', 'TAC3', 'CCNG2']",0.3842662632375189
