gene,Astro_1,Astro_2,Astro_3,Astro_4,Astro_5,Chandelier_1,Endo_1,Endo_2,L2/3 IT_1,L2/3 IT_2,L2/3 IT_3,L2/3 IT_4,L2/3 IT_5,L2/3 IT_6,L4 IT_1,L4 IT_3,L4 IT_5,L5 ET_1,L5 ET_2,L5 ET_3,L5 IT_1,L5 IT_2,L5 IT_3,L5 IT_4,L5 IT_6,L5/6 NP_1,L5/6 NP_2,L5/6 NP_3,L5/6 NP_4,L5/6 NP_5,L5/6 NP_6,L6 CT_1,L6 CT_2,L6 CT_3,L6 IT Car3_1,L6 IT Car3_2,L6 IT_1,L6 IT_2,L6b_1,L6b_2,L6b_3,L6b_4,L6b_5,L6b_6,Lamp5 Lhx6_1,Lamp5_1,Lamp5_2,Lamp5_3,Lamp5_4,Lamp5_5,Lamp5_6,Lamp5_7,Micro/PVM_1,OPC_1,Oligo_1,Oligo_2,Oligo_3,Oligo_4,Pax6_1,Pax6_2,Pax6_3,Pax6_4,Pvalb_1,Pvalb_2,Pvalb_3,Pvalb_4,Pvalb_5,Pvalb_6,Pvalb_7,Pvalb_8,Pvalb_9,Sncg_1,Sncg_2,Sncg_3,Sncg_4,Sncg_5,Sncg_6,Sncg_7,Sncg_8,Sst Chodl_1,Sst_1,Sst_10,Sst_11,Sst_12,Sst_13,Sst_14,Sst_15,Sst_16,Sst_17,Sst_18,Sst_19,Sst_2,Sst_21,Sst_22,Sst_23,Sst_24,Sst_25,Sst_26,Sst_27,Sst_28,Sst_29,Sst_3,Sst_30,Sst_31,Sst_32,Sst_33,Sst_35,Sst_36,Sst_37,Sst_4,Sst_5,Sst_6,Sst_7,Sst_8,Sst_9,VLMC_1,VLMC_2,Vip_1,Vip_10,Vip_11,Vip_12,Vip_13,Vip_14,Vip_15,Vip_16,Vip_17,Vip_18,Vip_19,Vip_2,Vip_20,Vip_21,Vip_22,Vip_23,Vip_24,Vip_25,Vip_26,Vip_27,Vip_28,Vip_29,Vip_3,Vip_4,Vip_5,Vip_6,Vip_7,Vip_8,Vip_9
DPM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.584555,3.7013967,3.8548474,3.7316546,3.593763,3.6830049,0.0,0.0,3.4530902,3.6134005,3.5770903,0.0,0.0,3.5245056,3.4939208,0.0,3.5489216,3.3405218,3.5803742,3.5694492,1.6218568,0.0,3.2463682,3.5432634,3.1640165,3.4899366,3.5487905,3.6076932,3.5745418,3.6142612,3.0719957,3.482677,0.0,3.398744,3.508405,3.4582002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.286689,0.0,0.0,3.330731,0.0,0.0,0.0,0.0,3.445418,3.4045467,3.462111,0.0,3.43673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.057336,0.0,0.0,0.0,0.0,0.0,3.7092113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6921563,0.0,3.4731731,3.4753137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.346704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCYL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.032695,3.0706854,3.7744405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFH,0.0,0.0,0.0,0.0,0.0,0.0,5.2169523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.371748,3.3631494,0.0,0.0,0.0,1.6076864,0.0,3.2826746,3.0269227,0.0,0.0,3.0988543,3.1257305,0.0,0.0,0.0,3.6452193,3.514205,0.0,0.0,3.6258078,3.329346,0.0,0.0,3.3405743,0.0,0.0,0.0,2.985187,3.3304887,3.4058273,0.0,3.1079571,3.4590049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37635,3.8857894,3.7519746,4.0124106,3.6049395,3.6549292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4503603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2670836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STPG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0863447,0.0,3.0337484,0.0,0.0,0.0,0.0,0.0,2.977428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIPAL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3118613,3.682693,3.6221502,3.652035,3.1652112,0.0,3.4616709,0.0,3.4998336,3.31992,4.146208,4.0610237,3.4706154,4.146391,3.7564137,3.425471,4.1053815,3.8176212,0.0,3.9865892,3.3954613,3.6805515,4.189067,4.2515097,3.7942572,3.920084,3.5456634,4.1038275,3.3412182,3.8932352,3.7752728,3.765359,3.7926023,4.404576,3.6761515,0.0,0.0,0.0,0.0,0.0,5.06313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9971094,0.0,3.8858266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6590476,0.0,4.3037505,4.7386723,0.0,5.1273355,4.7214746,4.625672,3.8434687,0.0,3.2347796,0.0,0.0,0.0,0.0,0.0,4.9505835,0.0,0.0,5.2583714,0.0,5.0277157,0.0,5.2970724,4.00437,0.0,0.0,0.0,5.253533,4.48941,5.3730536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6169581,0.0,0.0,0.0,4.488474,5.425107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1697063,4.5669193,0.0,0.0,0.0,0.0,4.352789,0.0,0.0,0.0,0.0,0.0,4.1972775,0.0,3.2758684,0.0,0.0,0.0,0.0,4.6967926,0.0,0.0
LAS1L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3084798,0.0,0.0,0.0,0.0,0.0,3.007095,2.9577105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6035132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.955949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENPP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1235783,0.0,3.625381,0.0,0.0,0.0,0.0,3.1032522,3.0104644,3.7618372,3.606263,0.0,3.5661526,0.0,0.0,0.0,3.7070773,0.0,0.0,0.0,0.0,3.457069,3.203967,0.0,3.7593772,0.0,3.6160378,0.0,3.4400067,0.0,0.0,0.0,3.9354599,3.0719802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFTR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6505364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKIB1,0.0,0.0,0.0,4.7188854,0.0,5.288246,4.672904,0.0,5.323371,5.114715,5.518814,5.5829577,5.0706506,5.314244,5.3100276,4.96511,5.32067,5.445085,5.52278,5.255269,5.167016,5.344412,5.1707363,5.292955,5.3628836,5.34962,5.3710957,5.499473,5.242942,5.471306,5.363189,5.5367723,5.56183,5.3883286,5.1387577,5.336712,4.9780564,5.330393,5.3217487,5.2360563,5.3992777,5.323002,5.020962,5.294903,5.6490407,5.5817385,5.575237,5.2870216,5.520981,5.4553432,5.4797935,5.3596015,0.0,5.285359,6.25943,6.4809756,6.3047223,6.4675126,5.9852095,5.4874296,5.520951,5.7796783,5.608477,5.5409284,5.4503098,5.2753935,5.6568646,5.556445,5.4702454,5.384019,5.406952,5.1670594,5.395055,5.2892275,5.4295235,5.545789,5.457259,5.9940944,5.2481537,5.52189,5.5255914,5.406148,5.423579,5.5165906,5.414263,5.6201353,5.524333,5.5017614,5.503292,5.4501715,5.511256,5.5625873,5.511401,5.4543924,5.3948183,5.4425497,5.453547,5.4086103,5.3599486,5.512294,5.545767,4.6925535,5.2982435,5.319228,5.4250135,5.298837,5.584783,5.500067,5.296466,5.63588,5.4848676,5.2162375,5.4987164,5.3323336,5.315167,0.0,0.0,5.215934,5.2439437,5.1364975,5.517434,5.0895486,5.1898413,5.139191,5.368967,5.6360464,5.111104,5.189952,5.1423993,5.1930623,5.771784,5.37542,5.525646,5.0641537,5.140583,5.4003487,5.687081,5.373603,5.366293,5.1880903,5.16377,5.2009296,5.2665663,5.444816,5.3632946,5.381324
