CrossArea_cluster,mean_silhouette,std_silhouette,median_silhouette,count
Astro_1,-0.5686375332836355,0.14699717189859549,-0.5874611271782929,10554
Astro_2,0.12064867560378863,0.22927899879971703,0.16951182172411658,994
Astro_3,0.12391313792403767,0.21736332402905076,0.18370786153677493,256
Astro_4,-0.08924310367965478,0.2789048017962005,-0.05723040906049932,610
Astro_5,0.3454788066442817,0.26774933232181003,0.4256977796390157,1142
Chandelier_1,-0.13175967363269925,0.275321495804062,-0.13270309202174,5160
Endo_1,0.7062452778588844,0.1156136091924127,0.7478443251096897,58
Endo_2,0.4145527637788805,0.31532323964195563,0.520263104248362,465
L2/3 IT_1,-0.10170082475108302,0.18636944795764585,-0.1069600244002584,13133
L2/3 IT_2,-0.5123359249273592,0.148643647234977,-0.5113161875338753,69
L2/3 IT_3,0.07040348218172209,0.2466954448457677,0.12123513791073666,5650
L2/3 IT_4,-0.17255958067183036,0.24629945710738296,-0.15984688421242785,5103
L2/3 IT_5,-0.5429002853117312,0.14957386616150745,-0.5354638367536122,2797
L2/3 IT_6,-0.5295811999690254,0.20643306351473698,-0.5626796258852864,105133
L4 IT_1,0.12914824689882654,0.343771649843103,0.22721224639691537,9733
L4 IT_3,-0.37656377260383145,0.2898660828091599,-0.33033052664439294,10
L4 IT_5,-0.40572322183530873,0.1615374848223423,-0.41204915432052025,13150
L5 ET_1,0.42753200105779987,0.2633980920286084,0.52956670616427,1581
L5 ET_2,-0.22850809912220024,0.27973905900118634,-0.22592935449814602,5675
L5 ET_3,0.8292804089724902,0.03520802922229652,0.8338076624205034,7
L5 IT_1,0.3725161591316382,0.2355393630337298,0.46872067946943613,243
L5 IT_2,-0.45480885258389137,0.22428767219472714,-0.47643646880359614,45327
L5 IT_3,-0.20431229349188168,0.18736126462823793,-0.2261721698403632,4474
L5 IT_4,-0.37053842737095083,0.22084275298276762,-0.41298746075744364,54
L5 IT_6,-0.15232751398192915,0.25436933125981387,-0.17232157164417808,8413
L5/6 NP_1,-0.5521500622172267,0.1240873248684661,-0.574728967438112,9300
L5/6 NP_2,0.5768771490647185,0.24347819687898994,0.6811783769909717,113
L5/6 NP_3,0.03373347411249387,0.2590680698575554,0.11359343845042795,1227
L5/6 NP_4,0.46333680418090945,0.25575960185190544,0.5761758021823591,28
L5/6 NP_5,0.3014799077212736,0.2680293460813172,0.4074152205993141,649
L5/6 NP_6,0.6105366496194518,0.17979578908416852,0.662091439094918,507
L6 CT_1,0.20105287351386536,0.2003163258679414,0.2653286570733327,841
L6 CT_2,-0.4853743082848248,0.18396274982893945,-0.5138443975749013,29
L6 CT_3,-0.4358550467485562,0.2269726919963572,-0.48507522203141673,16710
L6 IT Car3_1,0.6940201586758025,0.12691108935715542,0.757650403226858,127
L6 IT Car3_2,0.29864211571083543,0.24595678252463238,0.38336782117675205,8408
L6 IT_1,0.3473067685244838,0.24568749800225018,0.43574277020248936,379
L6 IT_2,-0.34020615439584906,0.24476039147951506,-0.33852150465235537,36385
L6b_1,0.41015419382337504,0.18541069401365756,0.45557194346361707,100
L6b_2,-0.4984769693084167,0.11612819430586292,-0.5169916704037717,9343
L6b_3,0.7814904825845006,0.09196405525610966,0.8169456904106525,96
L6b_4,-0.01235920468907677,0.3620902861792837,0.0701667969947062,1444
L6b_5,0.48189018171260223,0.16050857757159406,0.533704490849041,191
L6b_6,-0.23282112960732596,0.32070604215010035,-0.05821382344870034,2151
Lamp5 Lhx6_1,-0.004584007635135395,0.36390791869651373,0.08924762943937213,8432
Lamp5_1,0.41962029399119866,0.23853517529421026,0.490585530480211,1738
Lamp5_2,0.06363339937642212,0.2779331264082029,0.12793669199311658,1439
Lamp5_3,0.044297366123665895,0.2636019333728956,0.09864419684917874,937
Lamp5_4,-0.3978839291984086,0.18581674117590663,-0.4171370410341047,7097
Lamp5_5,-0.06206220884593021,0.18246864257799114,-0.041922369656488295,2721
Lamp5_6,0.34361799467101317,0.2077194722353879,0.39758549639218366,556
Lamp5_7,0.1811783323804579,0.2870783946716557,0.26494054297836267,285
Micro/PVM_1,-0.2016638336437982,0.27654648028961126,-0.06461434745881177,5773
OPC_1,-0.2310362668294176,0.2319222030497482,-0.25463712253235804,7229
Oligo_1,0.713431987851676,0.1327564798553477,0.7557186471922044,81
Oligo_2,0.023589495756099924,0.305895143031044,0.12519347507245893,1025
Oligo_3,0.5627371554315042,0.1931683976700878,0.616703346203041,179
Oligo_4,-0.5562852488202154,0.14122318347986557,-0.554551061763079,21563
Pax6_1,0.5533058416633954,0.30018915022808335,0.6770667411888458,972
Pax6_2,0.4765912118533711,0.1761264812541032,0.5189655721442885,1582
Pax6_3,-0.42295392903714524,0.23833621009448702,-0.304631472988497,644
Pax6_4,0.7179089980000478,0.20022763478539116,0.7889694660907127,512
Pvalb_1,0.489636902216927,0.24680884014837223,0.5839945479197282,2655
Pvalb_2,0.6295434590424953,0.12752181182669753,0.6761458603521374,1133
Pvalb_3,0.21712195741253762,0.21843319735204844,0.2702201399564902,819
Pvalb_4,-0.6250671798348895,0.1304582421283556,-0.6233792968966684,4103
Pvalb_5,0.17800304627104832,0.27104023814193035,0.26428886113182226,3212
Pvalb_6,-0.5716377417728719,0.1612923133135265,-0.5897815303255598,25774
Pvalb_7,0.15074945714429736,0.2648509233580006,0.21172225932675742,167
Pvalb_8,0.10039747045558024,0.3079475071807608,0.1832509075563155,575
Pvalb_9,-0.2757249478847054,0.22105902215121664,-0.2842082971471068,179
Sncg_1,0.24968198590820403,0.2160798750141016,0.2865724234564926,1523
Sncg_2,-0.12994987905178915,0.31481079189361955,-0.0757640109637884,983
Sncg_3,0.014797500935147458,0.3081254225158067,0.11387332475718476,942
Sncg_4,-0.12785682183103567,0.22629985765706911,-0.1441462769262643,956
Sncg_5,-0.31259801209801696,0.19141510386887764,-0.35635050119958184,1778
Sncg_6,-0.0961211812185288,0.27078811833003674,-0.08599254869586553,591
Sncg_7,-0.004734579873173467,0.3286604148342805,0.12568620262256988,549
Sncg_8,0.3816666541533306,0.20962317489839216,0.4485395573384989,139
Sst Chodl_1,0.6904593581065893,0.33540289397269657,0.7692530643659459,761
Sst_1,-0.2292789853671656,0.19152632960987542,-0.21835595257864743,2672
Sst_10,-0.10075181912240111,0.19895469658335319,-0.05714009574211668,1302
Sst_11,-0.2616232774172668,0.2333647167558261,-0.25840540898511544,5808
Sst_12,-0.38043174625635945,0.1719638411171719,-0.3874957234835654,982
Sst_13,0.059052510477720505,0.2994410567655727,0.0991771249567695,1186
Sst_14,-0.22263269291851348,0.13606742407212913,-0.21537906307624158,35
Sst_15,0.044363137254088914,0.2607825532330566,0.08511150364500208,319
Sst_16,-0.3145003435662766,0.21735711696141763,-0.27893195172337165,1086
Sst_17,0.06446368430147063,0.23210183507553475,0.07361916392492335,1221
Sst_18,0.06869807240470151,0.28577445655235,0.15161630313701724,772
Sst_19,0.5784485190311711,0.29540570326424637,0.6522475378970967,1042
Sst_2,0.2566644387644429,0.3179828383825374,0.39457058443038834,1393
Sst_21,-0.04928278712829876,0.20237149508443736,-0.04157427095644627,1105
