CrossArea_cluster,mean,std,median,count,q1,q3,f_score
L5 ET_3,0.8292804089724902,0.03520802922229652,0.8338076624205034,7,0.8077143639513326,0.8543165514337057,0.6666666666666666
L6b_3,0.7814904825845006,0.09196405525610966,0.8169456904106525,96,0.778695093392387,0.8376784447924983,0.4268292682926829
Pax6_4,0.7179089980000478,0.20022763478539116,0.7889694660907127,512,0.7449851635869156,0.8041389303258035,0.7066761363636364
Sst Chodl_1,0.6904593581065893,0.33540289397269657,0.7692530643659459,761,0.7499500380989909,0.7817604054605827,0.8907045271899277
L6 IT Car3_1,0.6940201586758025,0.12691108935715545,0.757650403226858,127,0.6282573410552781,0.7816194662281113,0.3246753246753247
Oligo_1,0.713431987851676,0.1327564798553477,0.7557186471922044,81,0.6745955461029899,0.7946066369345309,0.0051721423913287
Endo_1,0.7062452778588844,0.11561360919241272,0.7478443251096897,58,0.6942176466305332,0.7749118127357595,0.6325301204819277
L5/6 NP_2,0.5768771490647185,0.24347819687898994,0.6811783769909717,113,0.5576582421064735,0.7092331930057251,0.2702702702702703
Pax6_1,0.5533058416633954,0.30018915022808335,0.6770667411888458,972,0.5742880845490117,0.7109910555891474,0.7249596122778675
Pvalb_2,0.6295434590424953,0.12752181182669753,0.6761458603521374,1133,0.5836757870541895,0.7134922413442906,0.6758803483528967
Vip_12,0.60715031627768,0.20356472423709285,0.6721343495617538,485,0.5742627277727369,0.72259011778326,0.4353562005277044
L5/6 NP_6,0.6105366496194518,0.1797957890841685,0.662091439094918,507,0.5846692755334335,0.7010441711330001,0.487993803253292
Sst_19,0.5784485190311711,0.29540570326424637,0.6522475378970967,1042,0.6082334054678418,0.681510570992833,0.6499556344276841
VLMC_1,0.43381213094357696,0.34389476088526855,0.6199996278359887,87,0.30260771150704857,0.6707812211382622,0.8303886925795053
Oligo_3,0.5627371554315042,0.1931683976700878,0.616703346203041,179,0.5232423940754694,0.6745059890087316,0.2127659574468085
Pvalb_1,0.489636902216927,0.24680884014837223,0.5839945479197282,2655,0.44195957719184586,0.6448403449972588,0.5956747186037689
VLMC_2,0.47653061405130304,0.2858960993828341,0.5762560637120109,284,0.4379988636212413,0.6582013723358225,0.8314732142857143
L5/6 NP_4,0.46333680418090945,0.25575960185190544,0.5761758021823591,28,0.4611633348436851,0.6296462960101576,0.2272727272727272
Sst_36,0.4295372741981912,0.26000461444161277,0.5463915048595397,454,0.3684174739645263,0.5898031369653738,0.4845360824742268
L6b_5,0.4818901817126022,0.16050857757159406,0.533704490849041,191,0.38111985361405903,0.5951581083400934,0.2562574493444577
L5 ET_1,0.4275320010577998,0.26339809202860837,0.52956670616427,1581,0.4266760236856847,0.5722864768996052,0.6555407209612817
Endo_2,0.4145527637788805,0.31532323964195563,0.520263104248362,465,0.3964601476514817,0.6166832485828274,0.8549834671705243
Pax6_2,0.4765912118533711,0.1761264812541032,0.5189655721442885,1582,0.41355115898548755,0.5929844427400199,0.8137432188065099
Vip_15,0.4058446119689795,0.2775381305553141,0.5155016375232752,723,0.3030244264304208,0.6061175954737259,0.4989561586638831
Vip_21,0.45050634007040297,0.20638851047213133,0.5120298056483847,530,0.4155896149181707,0.5752097800322243,0.6330275229357798
Lamp5_1,0.4196202939911986,0.23853517529421026,0.4905855304802109,1738,0.3049523959642003,0.6009312292335581,0.4880228816589202
L5 IT_1,0.3725161591316382,0.2355393630337298,0.4687206794694361,243,0.277374746701694,0.5443001383779428,0.2902374670184696
L6b_1,0.41015419382337504,0.18541069401365756,0.45557194346361707,100,0.31837831983180775,0.5456157981985167,0.2165354330708661
Sncg_8,0.38166665415333056,0.20962317489839216,0.4485395573384989,139,0.2592612469306532,0.5467923758246086,0.2964959568733153
L6 IT_1,0.3473067685244838,0.24568749800225015,0.4357427702024893,379,0.24439529055998224,0.5219826179284823,0.3395472703062583
Sst_3,0.3910887526674916,0.14808733604235857,0.4334040746791575,7,0.3465367840186798,0.4814680963922451,0.5263157894736842
Astro_5,0.34547880664428166,0.26774933232181003,0.42569777963901567,1142,0.2613918991560308,0.5440467744447544,0.6806475349521707
Vip_23,0.35335607390232915,0.2604613346745644,0.4229956108803517,1826,0.23806953425898947,0.5438300960700712,0.4997836434443963
L5/6 NP_5,0.3014799077212736,0.2680293460813172,0.4074152205993141,649,0.1596097567586839,0.4978238585866503,0.3420074349442379
Lamp5_6,0.34361799467101317,0.2077194722353879,0.3975854963921836,556,0.24278006208074937,0.5091489558368497,0.5242890995260664
Sst_2,0.2566644387644429,0.31798283838253744,0.3945705844303883,1393,0.1009614657634891,0.5026674398905165,0.4348302300109529
L6 IT Car3_2,0.29864211571083543,0.24595678252463238,0.38336782117675205,8408,0.22229598049930263,0.46439705086675254,0.862540305621758
Vip_27,0.2865658703952281,0.25422577526526274,0.3536138680104433,257,0.1465052156219677,0.4907283656537507,0.4269293924466338
Sst_6,0.29751966799224466,0.12112266738464052,0.3328184208049803,7,0.2694018046690547,0.3757171942151108,0.6666666666666666
Vip_19,0.22515859736112234,0.28525342253738517,0.327221788088287,1742,0.08337471872978985,0.4451234101904757,0.5608519269776876
Vip_7,0.22927090047913967,0.28165379266644713,0.3143638465752117,760,0.09240051653138902,0.45146792141786923,0.40828173374613
Sncg_1,0.24968198590820403,0.2160798750141016,0.2865724234564926,1523,0.1429374986558385,0.41684669971633614,0.5824175824175825
Vip_4,0.1795903395712903,0.2971554028122428,0.2786969728637897,2279,-0.01760338800931045,0.4310127888167553,0.6047144152311876
Pvalb_3,0.2171219574125376,0.21843319735204839,0.2702201399564902,819,0.08015334392946394,0.4025859474004577,0.449013848090642
Sst_33,0.2142910834223545,0.22273758466848473,0.26976453002182904,1760,0.07961086785561686,0.38599529952545253,0.3222150259067357
L6 CT_1,0.20105287351386536,0.2003163258679414,0.2653286570733327,841,0.1308721353921886,0.3511165206945117,0.4736842105263157
Lamp5_7,0.18117833238045788,0.28707839467165563,0.2649405429783626,285,0.0765082584805593,0.3749552654834558,0.1940491591203104
Pvalb_5,0.17800304627104832,0.27104023814193035,0.2642888611318222,3212,0.03483388012052488,0.3984982105284587,0.4755798394290811
Sst_5,0.19022585590135607,0.239849220515911,0.2637085356150421,260,0.056909915800574196,0.3748369566804396,0.2898550724637681
Sst_28,0.15146310891343112,0.3299765655818026,0.25983386507867134,1580,-0.05453867128910875,0.4173077047235755,0.5599415204678363
Vip_10,0.1264832747585014,0.3217427731949417,0.23947666240293386,792,-0.06952228226175793,0.39515904268685303,0.4818059299191374
L4 IT_1,0.12914824689882654,0.343771649843103,0.2272122463969153,9733,-0.016084851526676,0.3937013137809405,0.5927432535502851
Vip_8,0.05841923925954095,0.3986523107191947,0.2138897181792586,975,-0.24761763241675705,0.39199475599779565,0.363919937613725
Pvalb_7,0.15074945714429733,0.2648509233580006,0.2117222593267574,167,-0.0035581956274774,0.3664597575090065,0.3257328990228013
Sst_23,0.12680681402387514,0.25334492323943847,0.19195162116079478,666,-0.038137263279831475,0.3266491122594297,0.4086845466155811
Vip_20,0.1236358363706432,0.2670607781357744,0.1897939150780848,923,-0.0665207844212021,0.3488906038817302,0.3088067098741898
Astro_3,0.12391313792403766,0.21736332402905073,0.1837078615367749,256,-0.0314251918980026,0.2915335676274223,0.2777777777777778
Pvalb_8,0.10039747045558024,0.3079475071807608,0.1832509075563155,575,-0.10928405933140214,0.3702743717868614,0.2374936836786255
