,Astro_1,Astro_2,Astro_3,Astro_4,Astro_5,Chandelier_1,Endo_1,Endo_2,L2/3 IT_1,L2/3 IT_3,L2/3 IT_4,L2/3 IT_5,L2/3 IT_6,L4 IT_1,L4 IT_5,L5 ET_1,L5 ET_2,L5 ET_3,L5 IT_1,L5 IT_2,L5 IT_3,L5 IT_6,L5/6 NP_1,L5/6 NP_2,L5/6 NP_3,L5/6 NP_4,L5/6 NP_5,L5/6 NP_6,L6 CT_1,L6 CT_3,L6 IT Car3_1,L6 IT Car3_2,L6 IT_1,L6 IT_2,L6b_1,L6b_2,L6b_3,L6b_4,L6b_5,L6b_6,Lamp5 Lhx6_1,Lamp5_1,Lamp5_2,Lamp5_3,Lamp5_4,Lamp5_5,Lamp5_6,Lamp5_7,Micro/PVM_1,OPC_1,Oligo_1,Oligo_2,Oligo_3,Oligo_4,Pax6_1,Pax6_2,Pax6_3,Pax6_4,Pvalb_1,Pvalb_2,Pvalb_3,Pvalb_4,Pvalb_5,Pvalb_6,Pvalb_7,Pvalb_8,Pvalb_9,Sncg_1,Sncg_2,Sncg_3,Sncg_4,Sncg_5,Sncg_6,Sncg_7,Sncg_8,Sst Chodl_1,Sst_1,Sst_10,Sst_11,Sst_12,Sst_13,Sst_14,Sst_15,Sst_16,Sst_17,Sst_18,Sst_19,Sst_2,Sst_21,Sst_22,Sst_23,Sst_24,Sst_25,Sst_26,Sst_27,Sst_28,Sst_29,Sst_3,Sst_30,Sst_31,Sst_32,Sst_33,Sst_35,Sst_36,Sst_37,Sst_4,Sst_5,Sst_6,Sst_7,Sst_8,Sst_9,VLMC_1,VLMC_2,Vip_1,Vip_10,Vip_11,Vip_12,Vip_13,Vip_14,Vip_15,Vip_16,Vip_17,Vip_18,Vip_19,Vip_2,Vip_20,Vip_21,Vip_22,Vip_23,Vip_24,Vip_25,Vip_26,Vip_27,Vip_28,Vip_29,Vip_3,Vip_4,Vip_5,Vip_6,Vip_7,Vip_8,Vip_9
A2M,0.0,0.0,0.0,0.0,0.0,0.0,0.9746369837869143,0.974622038239283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9729070773361422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9719016053152423,0.9716312056737588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AACS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.576396330874017,0.5822694631333046,0.5722618449664285,0.568745308311273,0.573281984379951,0.5755962830908755,0.5755848981809955,0.6026053889423397,0.6201246904988661,0.5762551042205053,0.5536341996903115,0.5836149593617054,0.5638340605911634,0.5811329014757847,0.6289461073300517,0.5748824984469312,0.5660585101614607,0.6459908836276819,0.6201078925572389,0.5868201522116966,0.5758100980562522,0.5844202916672889,0.5721185004457514,0.5668780706452985,0.5751156227808472,0.5831742168318296,0.5709465708292968,0.5606854443854474,0.5812718073527018,0.5614778078194206,0.5574056239838295,0.5689966610982908,0.5477065811765954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5442995699584907,0.0,0.5390070921985816,0.5411068780202393,0.5413782304905831,0.0,0.539207731578367,0.5403494112035061,0.5431395405573203,0.5451365176667559,0.0,0.0,0.5431219246370572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5697883671902596,0.5503638031634879,0.557784009487071,0.5526448657326665,0.5736682702463569,0.0,0.5490977759902359,0.5562059735575466,0.5419111488558722,0.5434832162890874,0.0,0.5509078752064536,0.5510829107981201,0.0,0.0,0.0,0.0,0.5705925686985043,0.0,0.0,0.5394423582875136,0.5578816748679952,0.5446115440510689,0.0,0.5447985969536694,0.0,0.0,0.5551172342706234,0.5477957683252105,0.5543260494022505,0.5749214625527673,0.5725337537467903,0.0,0.5523827828414051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541970541713931,0.5406309391589875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AACSP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAGAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6706423696051252,0.6684593866902886,0.6666005490519477,0.670795016677667,0.6664485360713716,0.6631592423357862,0.6752559479246748,0.6738430929522142,0.6671512875151127,0.6536378534973091,0.658625398967283,0.671508771307925,0.6606173811229408,0.6748266790775542,0.6569372977770812,0.6720069308652945,0.6651373201228202,0.6760883263662352,0.6618163446162609,0.6601481623683415,0.6671395310273407,0.6668659296441586,0.6650412860491597,0.6613309945620544,0.6947242879698462,0.6796912056334475,0.6823613423827692,0.6581307844067297,0.662518246799496,0.6596953551819984,0.6565981422755736,0.6610211091684112,0.0,0.669994832353389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6658879286008523,0.0,0.6532104750897022,0.0,0.0,0.6546470505971436,0.0,0.0,0.6524822695035462,0.6555161594499087,0.6769072316217084,0.6554540877646589,0.657188448922854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.655207430640011,0.0,0.0,0.0,0.0,0.0,0.6573545002768225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6634155875402139,0.0,0.0,0.0,0.6718499381491478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6536257719317227,0.0,0.0,0.0,0.0,0.6882165919804404,0.6831892060895338,0.0,0.0,0.0,0.0,0.6568376299337293,0.0,0.6538434273807715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAK1,0.0,0.0,0.0,0.0,0.0,0.08438198067617754,0.07135272237426,0.07234175704049726,0.0846094011414981,0.09162579445128745,0.09344679159475557,0.08690060241848019,0.08286462058412268,0.08972895948599416,0.08223122189230953,0.09243402032987445,0.09770910706080443,0.10835060456120377,0.097486490053488,0.08941044917343356,0.09452954293988275,0.09405613748739797,0.0756996510722113,0.08243833154651291,0.07533302882038956,0.08896860501444931,0.0797971656136479,0.07434907111715763,0.09811374608506547,0.08917333175104561,0.07278219393804564,0.07295692474284071,0.09646718510499237,0.08480659867009373,0.09259248413938156,0.07474376039302096,0.08718151107747504,0.07694988343732577,0.0832868015512507,0.07841174864599891,0.09110797550661344,0.0832314964727307,0.09529361953126624,0.08833701602110626,0.09276232524966517,0.07772213178323516,0.07825664045117425,0.08316369640066269,0.08206834184362534,0.07100519389970929,0.0,0.07092198581560284,0.0,0.0,0.08429681958881675,0.07724858936688579,0.08487058954035982,0.09827523662688885,0.1074775051563344,0.0995199515464458,0.10497043403327888,0.12459747207925674,0.11767691289279478,0.11391739346456865,0.11303124486977327,0.11652806041933966,0.14277473197761156,0.07637180166041597,0.0734675556209916,0.07266873332625585,0.07932153196199566,0.07490853679941055,0.07627383952445173,0.08351424738024989,0.07579823292739002,0.12391093267616651,0.15251004653619538,0.1454448141950242,0.14563158809715973,0.15082351282133277,0.12277186466447006,0.1563001401880954,0.14925087047806868,0.11553202791416899,0.1615663339905705,0.15518979696517296,0.09984814190695472,0.1369383005385703,0.15131406665693783,0.13507256862965036,0.13943192595285728,0.12211221752437294,0.1551800974717377,0.14741709722694776,0.14282252898452974,0.13545227262145237,0.16331911382945716,0.16946304013543095,0.14235269431526779,0.12213947121978652,0.15253673081702374,0.1424476390189313,0.16082944853085998,0.10935652932376726,0.14988209338898353,0.15809991342801574,0.1578368197941611,0.1589991310809521,0.1339241439569081,0.1388577383460728,0.15942484351760106,0.0,0.0,0.07288010703756455,0.07299719169630227,0.07226298083650305,0.0905181423146674,0.07133041248253896,0.0720570501706279,0.08484358356354084,0.07427770575733049,0.08241928596023126,0.0836322104677241,0.07351380079350572,0.07145366305155111,0.07559760580671594,0.09777435639225845,0.07437004730211082,0.09129793931406441,0.08533913573474748,0.08104462741960025,0.0748516967956056,0.09352897752261331,0.07511747263847514,0.11117844970513743,0.08419951141303313,0.08388049847690772,0.07236687891872216,0.07118059261470822,0.08428863853427536,0.07532586146753731,0.09501478350754325
AAMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9718597996319439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9740249252488428,0.0,0.0,0.0,0.0,0.0,0.9725063223365351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9716312056737588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9773993103216726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9929078014184397,0.0,0.0,0.0,0.0,0.9949507011589429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AARS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4279297674801333,0.43322674940663874,0.4391048381514583,0.4814181048819359,0.43728373997600367,0.45127179309831444,0.4306860667593936,0.427806334715363,0.4245635169617673,0.5005774760077185,0.4813060921134678,0.44335375905882385,0.5178720414215792,0.4425018814438624,0.4342431891049054,0.5102397309127429,0.44428719950060475,0.4243994473565555,0.42812246887396416,0.446826067799372,0.42732955547089274,0.4226625312304666,0.5087214771737444,0.42811046466759756,0.5328924905323813,0.4325938884248125,0.4361654021215777,0.4216756389496174,0.44254608441751897,0.4253685292622722,0.47680033267812527,0.42550396834704896,0.4465050798781375,0.4495907569607944,0.43697132413268935,0.5182630398594741,0.4721084435780843,0.4514672130557662,0.4617146080267345,0.47789186746516127,0.0,0.0,0.0,0.0,0.0,0.0,0.43254967657386834,0.45002479206585716,0.4313796699469817,0.43399545275573187,0.4304620775770634,0.44310531083573684,0.44124741376714505,0.48359862244721,0.43096965340012355,0.4343877223366541,0.0,0.4987906014665644,0.4922709325526623,0.0,0.46678784257131267,0.0,0.0,0.0,0.0,0.4330974474866339,0.0,0.42189162969589233,0.42160469082230373,0.0,0.0,0.0,0.44173378724578427,0.44193842859132915,0.0,0.42238978713962205,0.0,0.41843971631205673,0.465534637583063,0.43207694283613923,0.0,0.0,0.0,0.0,0.4387069217702176,0.0,0.46038899988147386,0.42712315177241117,0.0,0.5157458959741795,0.0,0.434294822368216,0.0,0.0,0.0,0.43981693949259765,0.4628101722568485,0.42330238497849054,0.42769511498457996,0.5691694177634327,0.0,0.0,0.0,0.0,0.0,0.0,0.4243804875840532,0.0,0.4478716436007344,0.0,0.0,0.0,0.0,0.43067515319120797,0.0,0.0,0.0,0.0,0.45284291023903706,0.5295062010169874,0.46231934068896247,0.4923191768057803,0.0,0.0,0.43419091075870164,0.0,0.4309952237927322,0.0,0.43378553280593657,0.0,0.0,0.0,0.0,0.45993587818551573
AASDH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6959750292994452,0.7075610105872999,0.7100459176597865,0.6952809721020097,0.0,0.0,0.0,0.7045001197368541,0.69687952386572,0.741003524327109,0.0,0.700701340293208,0.7033967908392561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7004942995436648,0.6879432624113475,0.6881488904039911,0.0,0.0,0.6981644144294955,0.6984205930791003,0.6954115244513708,0.7219364118914232,0.6996395959921763,0.7097808752499574,0.6975414427459663,0.7058094862505053,0.7090728253337508,0.724267507275791,0.7323817910877526,0.699005644372169,0.0,0.7049611815324066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7046448888508141,0.0,0.0,0.715195156581013,0.0,0.7113335331281027,0.7048090277834141,0.6971524032295173,0.7026776709455125,0.7208631753076052,0.7444627255412704,0.7016557425471908,0.7163905678911412,0.0,0.7120620929603035,0.0,0.0,0.0,0.7125405821394413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7377590790708014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.717563621964015,0.7142602543458871,0.0,0.6961664312274743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7188062253573262,0.0,0.7098617532574538,0.0,0.0,0.0,0.7069376030712263,0.0,0.698484312980733,0.0,0.0,0.0,0.0,0.0,0.0,0.0
