cluster_name,skos,manual_mapped_cid,cell_ontology_id
Astro_1,,,CL:0002605
Astro_2,,,CL:0002605
Astro_3,,,CL:0002605
Astro_4,,,CL:0002605
Astro_5,,,CL:0002605
Chandelier_1,,,CL:4023036
Endo_1,,,CL:1001602
Endo_2,,,CL:1001602
L2/3 IT_1,,,CL:4023040
L2/3 IT_3,,,CL:4023040
L2/3 IT_4,,,CL:4023040
L2/3 IT_5,,,CL:4023040
L2/3 IT_6,,,CL:4023040
L4 IT_1,,,CL:4023040
L4 IT_5,,,CL:4023040
L5 ET_1,,,CL:4023041
L5 ET_2,,,CL:4023041
L5 ET_3,,,CL:4023041
L5 IT_1,,,CL:4023040
L5 IT_2,,,CL:4023040
L5 IT_3,,,CL:4023040
L5 IT_6,,,CL:4023040
L5/6 NP_1,,,CL:4023012
L5/6 NP_2,,,CL:4023012
L5/6 NP_3,,,CL:4023012
L5/6 NP_4,,,CL:4023012
L5/6 NP_5,,,CL:4023012
L5/6 NP_6,,,CL:4023012
L6 CT_1,,,CL:4023013
L6 CT_3,,,CL:4023013
L6 IT Car3_1,,,CL:4023040
L6 IT Car3_2,,,CL:4023040
L6 IT_1,,,CL:4023040
L6 IT_2,,,CL:4023040
L6b_1,,,CL:4023038
L6b_2,,,CL:4023038
L6b_3,,,CL:4023038
L6b_4,,,CL:4023038
L6b_5,,,CL:4023038
L6b_6,,,CL:4023038
Lamp5 Lhx6_1,,,CL:4023011
Lamp5_1,,,CL:4023011
Lamp5_2,,,CL:4023011
Lamp5_3,,,CL:4023011
Lamp5_4,,,CL:4023011
Lamp5_5,,,CL:4023011
Lamp5_6,,,CL:4023011
Lamp5_7,,,CL:4023011
Micro/PVM_1,,,CL:0000129
OPC_1,,,CL:0002453
Oligo_1,,,CL:0000128
Oligo_2,,,CL:0000128
Oligo_3,,,CL:0000128
Oligo_4,,,CL:0000128
Pax6_1,,,CL:4023070
Pax6_2,,,CL:4023070
Pax6_3,,,CL:4023070
Pax6_4,,,CL:4023070
Pvalb_1,,,CL:4023018
Pvalb_2,,,CL:4023018
Pvalb_3,,,CL:4023018
Pvalb_4,,,CL:4023018
Pvalb_5,,,CL:4023018
Pvalb_6,,,CL:4023018
Pvalb_7,,,CL:4023018
Pvalb_8,,,CL:4023018
Pvalb_9,,,CL:4023018
Sncg_1,,,CL:4023015
Sncg_2,,,CL:4023015
Sncg_3,,,CL:4023015
Sncg_4,,,CL:4023015
Sncg_5,,,CL:4023015
Sncg_6,,,CL:4023015
Sncg_7,,,CL:4023015
Sncg_8,,,CL:4023015
Sst Chodl_1,,,CL:4023017
Sst_1,,,CL:4023017
Sst_10,,,CL:4023017
Sst_11,,,CL:4023017
Sst_12,,,CL:4023017
Sst_13,,,CL:4023017
Sst_14,,,CL:4023017
Sst_15,,,CL:4023017
Sst_16,,,CL:4023017
Sst_17,,,CL:4023017
Sst_18,,,CL:4023017
Sst_19,,,CL:4023017
Sst_2,,,CL:4023017
Sst_21,,,CL:4023017
Sst_22,,,CL:4023017
Sst_23,,,CL:4023017
Sst_24,,,CL:4023017
Sst_25,,,CL:4023017
Sst_26,,,CL:4023017
Sst_27,,,CL:4023017
Sst_28,,,CL:4023017
Sst_29,,,CL:4023017
Sst_3,,,CL:4023017
Sst_30,,,CL:4023017
Sst_31,,,CL:4023017
Sst_32,,,CL:4023017
Sst_33,,,CL:4023017
Sst_35,,,CL:4023017
Sst_36,,,CL:4023017
Sst_37,,,CL:4023017
Sst_4,,,CL:4023017
Sst_5,,,CL:4023017
Sst_6,,,CL:4023017
Sst_7,,,CL:4023017
Sst_8,,,CL:4023017
Sst_9,,,CL:4023017
VLMC_1,,,CL:4023051
VLMC_2,,,CL:4023051
Vip_1,,,CL:4023016
Vip_10,,,CL:4023016
Vip_11,,,CL:4023016
Vip_12,,,CL:4023016
Vip_13,,,CL:4023016
Vip_14,,,CL:4023016
Vip_15,,,CL:4023016
Vip_16,,,CL:4023016
Vip_17,,,CL:4023016
Vip_18,,,CL:4023016
Vip_19,,,CL:4023016
Vip_2,,,CL:4023016
Vip_20,,,CL:4023016
Vip_21,,,CL:4023016
Vip_22,,,CL:4023016
Vip_23,,,CL:4023016
Vip_24,,,CL:4023016
Vip_25,,,CL:4023016
Vip_26,,,CL:4023016
Vip_27,,,CL:4023016
Vip_28,,,CL:4023016
Vip_29,,,CL:4023016
Vip_3,,,CL:4023016
Vip_4,,,CL:4023016
Vip_5,,,CL:4023016
Vip_6,,,CL:4023016
Vip_7,,,CL:4023016
Vip_8,,,CL:4023016
Vip_9,,,CL:4023016
