cluster,count
Astro_1,500
Pvalb_6,500
Sst_17,500
Sst_18,500
Sst_19,500
Sst_2,500
Sst_20,500
Sst_21,500
Sst_22,500
Sst_23,500
Sst_24,500
Sst_25,500
Sst_26,500
Sst_27,500
Sst_28,500
Sst_29,500
Sst_30,500
Sst_16,500
Sst_15,500
Sst_14,500
Sncg_5,500
Pvalb_8,500
Pvalb_9,500
Astro_2,500
Sncg_2,500
Sncg_3,500
Sncg_4,500
Sncg_6,500
Sst_13,500
Sncg_7,500
Sst Chodl_1,500
Sst_1,500
Sst_10,500
Sst_11,500
Sst_12,500
Sst_31,500
Sst_32,500
Sst_33,500
Vip_25,500
Vip_2,500
Vip_20,500
Vip_21,500
Vip_22,500
Vip_23,500
Vip_24,500
Vip_26,500
Vip_18,500
Vip_3,500
Vip_4,500
Vip_5,500
Vip_6,500
Vip_7,500
Vip_8,500
Vip_19,500
Vip_17,500
Sst_34,500
VLMC_2,500
Sst_35,500
Sst_36,500
Sst_37,500
Sst_7,500
Sst_8,500
Sst_9,500
Vip_1,500
Vip_16,500
Vip_10,500
Vip_11,500
Vip_12,500
Vip_13,500
Vip_14,500
Vip_15,500
Pvalb_7,500
Sncg_1,500
Pvalb_5,500
L5 IT_5,500
L5 ET_1,500
L5 ET_2,500
L5 IT_1,500
L5 IT_2,500
L5 IT_3,500
L5 IT_4,500
L5 IT_6,500
L6 CT_3,500
L5/6 NP_1,500
L5/6 NP_3,500
Pvalb_4,500
L5/6 NP_5,500
L5/6 NP_6,500
L6 CT_1,500
L4 IT_6,500
L4 IT_5,500
L4 IT_4,500
L4 IT_3,500
L4 IT_2,500
L4 IT_1,500
L2/3 IT_6,500
L2/3 IT_5,500
L2/3 IT_4,500
L2/3 IT_3,500
L2/3 IT_2,500
L2/3 IT_1,500
Endo_2,500
Chandelier_1,500
Astro_5,500
Astro_4,500
Astro_3,500
L6 CT_2,500
L5/6 NP_4,500
Lamp5_4,500
Lamp5_2,500
L6 IT Car3_1,500
Lamp5_5,500
Lamp5_6,500
Lamp5_7,500
Micro/PVM_1,500
OPC_1,500
Oligo_2,500
Oligo_4,500
Pax6_1,500
Pax6_2,500
Pax6_3,500
Pax6_4,500
Pvalb_1,500
Pvalb_2,500
Pvalb_3,500
Lamp5_3,500
Vip_9,500
Lamp5_1,500
Lamp5 Lhx6_1,500
L6b_6,500
L6 IT Car3_2,500
L6b_4,500
L6b_3,500
L6 IT_1,500
L6 IT_2,500
L6b_1,500
L6b_2,500
Vip_27,489
Sst_3,460
Sst_4,452
L6b_5,451
Sst_5,390
Oligo_3,346
L5 ET_3,335
Sncg_8,303
L5 ET_4,301
Sst_6,293
Vip_28,189
Oligo_1,183
VLMC_1,139
L5/6 NP_2,133
Endo_1,109
Vip_29,71
