cluster,count
L2/3 IT_3,500
L5/6 NP_6,498
L2/3 IT_4,494
L5 ET_1,491
L5 ET_2,424
Sst_4,394
L5/6 NP_3,384
L2/3 IT_5,383
Sst_37,360
Pax6_1,347
Lamp5_2,343
Sst_24,342
L4 IT_5,340
Lamp5_1,339
Sst_17,337
Pax6_3,330
L6 CT_3,328
Vip_8,327
Sst Chodl_1,320
Sst_30,319
Sst_36,316
Sst_27,316
Sncg_7,314
Vip_6,311
L6b_2,308
Vip_16,307
Sst_26,306
Vip_17,301
L6b_6,301
L6 IT_2,301
Sst_21,299
Sst_22,296
Vip_15,295
Sst_19,295
Pvalb_2,294
Pvalb_5,293
Sncg_4,292
Vip_14,292
Pax6_4,290
Pax6_2,290
L6 CT_1,289
Sst_35,288
Lamp5_6,288
Pvalb_4,286
Vip_18,285
Sst_11,284
Endo_2,284
Sncg_6,283
Vip_26,282
Sst_10,280
Chandelier_1,278
Lamp5_7,276
Sst_28,274
Pvalb_6,272
Astro_2,271
Pvalb_8,271
Lamp5_5,270
Vip_3,270
Lamp5 Lhx6_1,270
Oligo_2,268
L5/6 NP_1,266
L2/3 IT_6,266
Vip_4,265
Sst_13,265
Sncg_2,265
Vip_10,265
Sst_2,264
Vip_21,261
Vip_7,261
Sst_1,261
Sst_16,260
Sst_5,260
Lamp5_4,259
Vip_27,257
L6b_4,255
L5 IT_2,255
L2/3 IT_1,252
Vip_13,251
Sst_29,251
Sncg_5,251
Sst_33,249
Vip_25,249
Sst_9,244
Pvalb_1,243
Vip_5,242
Vip_11,242
Astro_4,242
Vip_19,239
Sst_7,238
Vip_20,236
Vip_2,236
Astro_1,236
Sst_12,236
Sncg_1,234
Astro_3,234
Micro/PVM_1,232
Lamp5_3,231
Astro_5,230
Oligo_4,229
OPC_1,228
L5/6 NP_5,227
Vip_23,223
VLMC_2,222
Sncg_3,219
Sst_18,214
Sst_31,206
Pvalb_3,205
Vip_24,201
Vip_1,201
Sst_23,200
Vip_9,200
Vip_12,192
L6b_5,191
Sst_8,184
Oligo_3,179
Sst_32,176
Vip_28,175
L5 IT_3,170
L5 IT_6,164
L6 IT Car3_2,156
Sncg_8,139
Sst_25,129
L4 IT_1,127
L5 IT_1,122
L5/6 NP_2,113
Pvalb_9,103
VLMC_1,87
Oligo_1,81
Sst_15,77
L6 IT Car3_1,68
L6b_3,61
Endo_1,58
L6 IT_1,53
Vip_29,46
L6b_1,34
L5/6 NP_4,21
Pvalb_7,13
Vip_22,11
Sst_14,11
Sst_3,7
Sst_6,7
L5 ET_3,7
