clusterName,gene
L5 ET_2,ATP6V1C2
L5 ET_2,LRP2
L5 ET_2,ST8SIA2
L5 ET_1,OR51E2
L5 ET_1,DDX60L
L5 ET_3,ONECUT1
L5 ET_3,BDKRB2
L2/3 IT_5,GPR26
L2/3 IT_5,GPX3
L2/3 IT_5,VIPR2
L5 IT_3,RCSD1
L5 IT_3,KCNV1
L5 IT_3,ARSJ
L5 IT_1,NPNT
L5 IT_1,HPCA
L5 IT_1,RORB
L6 IT_1,ISLR
L6 IT_1,TMEM233
L6 IT_1,THEMIS
L6 IT_1,RTN4RL2
L6 IT_1,MOXD1
L6 IT Car3_1,PPP1R1A
L6 IT Car3_1,SMYD1
L6b_5,MGST1
L6b_5,NPFFR2
L6b_5,SEMA3D
L6b_5,NR4A2
L6b_1,POU6F2-AS2
L6b_1,SEMA3D
L6b_1,ITGA11
L6b_2,NPFFR2
L6b_2,MDFIC
L6b_2,ARSJ
L6b_4,OLFML2B
L6b_4,NPNT
L6b_4,ERG
L6b_6,FAM160A1
L6b_6,SULF1
L6b_3,SCUBE1
L6b_3,CACNG5
L6b_3,SLC15A5
L6 CT_1,LGR6
L6 CT_1,OR1Q1
L6 CT_1,SYT6
L6 CT_3,SEMA3E
L6 CT_3,MEIS2
L6 CT_3,ADAMTSL1
L5/6 NP_2,FABP7
L5/6 NP_2,SLC17A6
L5/6 NP_2,NEUROD6
L5/6 NP_3,ROBO3
L5/6 NP_3,GDNF-AS1
L5/6 NP_3,PLPP3
L5/6 NP_6,NPSR1-AS1
L5/6 NP_6,SPON1
L5/6 NP_6,COL24A1
L5/6 NP_5,LMNTD1
L5/6 NP_5,GDNF-AS1
L5/6 NP_5,HTR7
L5/6 NP_1,TRIM22
L5/6 NP_1,NPSR1-AS1
L5/6 NP_4,AACSP1
L5/6 NP_4,PDLIM1
L5/6 NP_4,SPATA22
Pvalb_4,SLC26A4-AS1
Pvalb_4,SULF1
Pvalb_4,MT-ND4L
Pvalb_8,HOMER3
Pvalb_8,CA8
Pvalb_8,SULF1
Pvalb_9,LRRC38
Pvalb_9,PVALB
Pvalb_7,ISG20
Pvalb_7,IDI2-AS1
Pvalb_7,PVALB
Pvalb_6,POSTN
Pvalb_6,SULF1
Pvalb_6,RNF144B
Pvalb_6,MYO5B
Pvalb_5,HGF
Pvalb_5,COBLL1
Pvalb_5,PLCE1
Pvalb_2,MYBPC1
Pvalb_2,SEMA3C
Pvalb_2,GPC5
Pvalb_1,MYBPC1
Pvalb_1,ANKRD34B
Sst_14,PKHD1
Sst_14,RRBP1
Sst_7,EPSTI1
Sst_7,PIEZO2
Sst_7,EYA4
Sst_4,SCARA5
Sst_4,PIEZO2
Sst_4,KLHL13
Sst_35,ENPP1
Sst_35,ACVR1C
Sst_35,EYA2
Sst_5,NPY
Sst_5,CALB1
Sst_5,STK32B
Sst_25,MSR1
Sst_25,PENK
Sst_25,CALB1
Sst_12,CBLN4
Sst_12,SLC24A4
Sst_12,EYS
Sst_37,PROM1
Sst_37,ADGRG6
Sst_37,CRHBP
Sst_6,PRDM1
Sst_6,STRIP2
Sst_6,RSPO3
Sst_6,OPRD1
Lamp5_3,CA2
Lamp5_3,CPLX3
Sst_26,MME
Sst_26,FBN2
Sst_26,MCUB
Sst_30,PENK
Sst_30,MME
Sst_30,HTR2C
Sst_32,HPGD
Sst_32,PENK
Sst_32,EYA2
Sst_21,ANGPT1
Sst_21,COL24A1
Sst_21,FBN2
