software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,CrossArea_cluster,L5 ET_2,424,0.7957848837209303,0.9201680672268908,0.5165094339622641,33963,19,205,219,3,"['ATP6V1C2', 'LRP2', 'ST8SIA2']","['ATP6V1C2', 'OPN4', 'SLC66A1L', 'LRP2', 'ST8SIA2', 'CHST8', 'SULF2', 'PCSK6', 'TAFA1', 'VAT1L']",0.2389855533838272
4.1,CrossArea_cluster,L5 ET_1,491,0.7983193277310925,0.9356060606060606,0.5030549898167006,33898,17,244,247,2,"['OR51E2', 'DDX60L']","['OR51E2', 'LINC00922', 'NAALADL2-AS2', 'LINC00943', 'DDX60L', 'C5orf64', 'SLC66A1L', 'COL5A2', 'ERG', 'COL24A1']",1.0
4.1,CrossArea_cluster,L5 ET_3,7,0.8695652173913043,1.0,0.5714285714285714,34399,0,3,4,2,"['ONECUT1', 'BDKRB2']","['ONECUT1', 'BDKRB2', 'WDR72', 'CARTPT', 'C14orf39', 'WNT6', 'IRF8', 'CHST8', 'GNA14', 'SEMA3D']",1.0
4.1,CrossArea_cluster,L2/3 IT_5,383,0.6122448979591837,0.8321167883211679,0.2976501305483028,34000,23,269,114,3,"['GPR26', 'GPX3', 'VIPR2']","['GPR26', 'GPX3', 'ADCYAP1', 'RORB-AS1', 'VIPR2', 'COL5A2', 'PRDM8', 'LAMA2', 'RORB', 'NTNG1']",1.0
4.1,CrossArea_cluster,L5 IT_3,170,0.5263157894736842,0.7096774193548387,0.2588235294117647,34218,18,126,44,3,"['RCSD1', 'KCNV1', 'ARSJ']","['NPY2R', 'TRABD2A', 'RCSD1', 'KCNV1', 'ARSJ', 'MKX', 'LRRK1', 'PCP4', 'NRN1', 'IPCEF1']",0.1027157977223396
4.1,CrossArea_cluster,L5 IT_1,122,0.6375838926174496,0.8636363636363636,0.3114754098360656,34278,6,84,38,3,"['NPNT', 'HPCA', 'RORB']","['CRISPLD2', 'TRABD2A', 'NPNT', 'HPCA', 'RORB', 'LRRK1', 'HTR2A', 'NRN1', 'IPCEF1', 'ADAMTSL1']",0.0762854740023613
4.1,CrossArea_cluster,L6 IT_1,53,0.6390977443609023,0.85,0.320754716981132,34350,3,36,17,5,"['ISLR', 'TMEM233', 'THEMIS', 'RTN4RL2', 'MOXD1']","['IGFBP2', 'ISLR', 'TMEM233', 'THEMIS', 'RTN4RL2', 'MOXD1', 'ID2', 'CTXN1', 'NPTX1', 'PHYHIP']",0.1432571709156036
4.1,CrossArea_cluster,L6 IT Car3_1,68,0.6976744186046512,0.9230769230769232,0.3529411764705882,34336,2,44,24,2,"['PPP1R1A', 'SMYD1']","['PPP1R1A', 'SMYD1', 'ISLR', 'POSTN', 'NTNG2', 'NR4A2', 'THEMIS', 'RTN4RL2', 'NWD2', 'NPTX1']",0.5366930961608887
4.1,CrossArea_cluster,L6b_5,191,0.6358768406961178,0.6834532374100719,0.4973821989528796,34171,44,96,95,4,"['MGST1', 'NPFFR2', 'SEMA3D', 'NR4A2']","['MGST1', 'KRT17', 'NPFFR2', 'MDFIC', 'SEMA3D', 'NR4A2', 'CCN2', 'SEMA3E', 'HPCAL1', 'B3GALT2']",0.1914978921413421
4.1,CrossArea_cluster,L6b_1,34,0.5319148936170213,0.6666666666666666,0.2941176470588235,34367,5,24,10,3,"['POU6F2-AS2', 'SEMA3D', 'ITGA11']","['POU6F2-AS2', 'AOX1', 'MDFIC', 'SEMA3D', 'ITGA11', 'MCTP2', 'LINC01378', 'PCSK1', 'SEMA3A', 'DACH1']",0.1655522137880325
4.1,CrossArea_cluster,L6b_2,308,0.5982490272373541,0.6833333333333333,0.3993506493506493,34041,57,185,123,3,"['NPFFR2', 'MDFIC', 'ARSJ']","['NPFFR2', 'ROS1', 'MDFIC', 'SEMA3D', 'DCBLD1', 'ARSJ', 'SEMA3E', 'ZFHX3', 'RXFP1', 'FOXP2']",0.1732191443443298
4.1,CrossArea_cluster,L6b_4,255,0.6592592592592592,0.8476190476190476,0.3490196078431372,34135,16,166,89,3,"['OLFML2B', 'NPNT', 'ERG']","['LRAT', 'OLFML2B', 'MDFIC', 'NPNT', 'ATP8B4', 'ERG', 'ZFHX3', 'HCRTR2', 'RNF220', 'RNF152']",0.1170183047652244
