clusterName,NSForest_markers,f_score,onTarget,precision,recall
L5 ET_2,"['ATP6V1C2', 'LRP2', 'ST8SIA2']",0.7957848837209303,0.2389855533838272,0.9201680672268908,0.5165094339622641
L5 ET_1,"['OR51E2', 'DDX60L']",0.7983193277310925,1.0,0.9356060606060606,0.5030549898167006
L5 ET_3,"['ONECUT1', 'BDKRB2']",0.8695652173913043,1.0,1.0,0.5714285714285714
L2/3 IT_5,"['GPR26', 'GPX3', 'VIPR2']",0.6122448979591837,1.0,0.8321167883211679,0.2976501305483028
L5 IT_3,"['RCSD1', 'KCNV1', 'ARSJ']",0.5263157894736842,0.1027157977223396,0.7096774193548387,0.2588235294117647
L5 IT_1,"['NPNT', 'HPCA', 'RORB']",0.6375838926174496,0.0762854740023613,0.8636363636363636,0.3114754098360656
L6 IT_1,"['ISLR', 'TMEM233', 'THEMIS', 'RTN4RL2', 'MOXD1']",0.6390977443609023,0.1432571709156036,0.85,0.320754716981132
L6 IT Car3_1,"['PPP1R1A', 'SMYD1']",0.6976744186046512,0.5366930961608887,0.9230769230769232,0.3529411764705882
L6b_5,"['MGST1', 'NPFFR2', 'SEMA3D', 'NR4A2']",0.6358768406961178,0.1914978921413421,0.6834532374100719,0.4973821989528796
L6b_1,"['POU6F2-AS2', 'SEMA3D', 'ITGA11']",0.5319148936170213,0.1655522137880325,0.6666666666666666,0.2941176470588235
L6b_2,"['NPFFR2', 'MDFIC', 'ARSJ']",0.5982490272373541,0.1732191443443298,0.6833333333333333,0.3993506493506493
L6b_4,"['OLFML2B', 'NPNT', 'ERG']",0.6592592592592592,0.1170183047652244,0.8476190476190476,0.3490196078431372
L6b_6,"['FAM160A1', 'SULF1']",0.7077856420626896,0.0906695127487182,0.813953488372093,0.4651162790697674
L6b_3,"['SCUBE1', 'CACNG5', 'SLC15A5']",0.6521739130434783,1.0,0.84,0.3442622950819672
L6 CT_1,"['LGR6', 'OR1Q1', 'SYT6']",0.736235595390525,1.0,0.934959349593496,0.3979238754325259
L6 CT_3,"['SEMA3E', 'MEIS2', 'ADAMTSL1']",0.5438931297709924,0.0427292250096797,0.6333333333333333,0.3475609756097561
L5/6 NP_2,"['FABP7', 'SLC17A6', 'NEUROD6']",0.5105105105105106,0.2706615626811981,0.6181818181818182,0.3008849557522124
L5/6 NP_3,"['ROBO3', 'GDNF-AS1', 'PLPP3']",0.4963617463617463,0.1669193357229232,0.4961038961038961,0.4973958333333333
L5/6 NP_6,"['NPSR1-AS1', 'SPON1', 'COL24A1']",0.7356857523302264,0.0548045895993709,0.8804780876494024,0.4437751004016064
L5/6 NP_5,"['LMNTD1', 'GDNF-AS1', 'HTR7']",0.5566600397614314,0.1863519549369812,0.8115942028985508,0.2466960352422907
L5/6 NP_1,"['TRIM22', 'NPSR1-AS1']",0.597667638483965,0.2087467610836029,0.780952380952381,0.3082706766917293
L5/6 NP_4,"['AACSP1', 'PDLIM1', 'SPATA22']",0.6164383561643836,1.0,0.6923076923076923,0.4285714285714285
Pvalb_4,"['SLC26A4-AS1', 'SULF1', 'MT-ND4L']",0.4125412541254125,0.072109542787075,0.625,0.1748251748251748
Pvalb_8,"['HOMER3', 'CA8', 'SULF1']",0.5229793977812995,0.2083534896373748,0.7333333333333333,0.2435424354243542
Pvalb_9,"['LRRC38', 'PVALB']",0.5410821643286573,0.3127001523971557,0.5454545454545454,0.5242718446601942
Pvalb_7,"['ISG20', 'IDI2-AS1', 'PVALB']",0.6060606060606061,0.203096717596054,0.8,0.3076923076923077
Pvalb_6,"['POSTN', 'SULF1', 'RNF144B', 'MYO5B']",0.3598484848484848,0.0580118745565414,0.3877551020408163,0.2794117647058823
Pvalb_5,"['HGF', 'COBLL1', 'PLCE1']",0.630901287553648,0.0707324594259262,0.6743119266055045,0.5017064846416383
Pvalb_2,"['MYBPC1', 'SEMA3C', 'GPC5']",0.7545271629778671,0.0528044067323207,0.8571428571428571,0.5102040816326531
Pvalb_1,"['MYBPC1', 'ANKRD34B']",0.6258992805755396,0.4951926469802856,0.7699115044247787,0.3580246913580246
Sst_14,"['PKHD1', 'RRBP1']",0.4347826086956521,1.0,0.6666666666666666,0.1818181818181818
Sst_7,"['EPSTI1', 'PIEZO2', 'EYA4']",0.450530035335689,0.0790405794978141,0.6219512195121951,0.2142857142857142
Sst_4,"['SCARA5', 'PIEZO2', 'KLHL13']",0.5594679186228482,0.079633355140686,0.6470588235294118,0.3629441624365482
Sst_35,"['ENPP1', 'ACVR1C', 'EYA2']",0.4954268292682927,0.2466602623462677,0.7065217391304348,0.2256944444444444
Sst_5,"['NPY', 'CALB1', 'STK32B']",0.5220883534136547,0.1121115237474441,0.5652173913043478,0.4
Sst_25,"['MSR1', 'PENK', 'CALB1']",0.4377104377104377,0.1750377714633941,0.6190476190476191,0.2015503875968992
Sst_12,"['CBLN4', 'SLC24A4', 'EYS']",0.3839869281045752,0.0382029712200164,0.5,0.1991525423728813
Sst_37,"['PROM1', 'ADGRG6', 'CRHBP']",0.5405405405405406,0.1370111852884292,0.8421052631578947,0.2222222222222222
Sst_6,"['PRDM1', 'STRIP2', 'RSPO3', 'OPRD1']",0.3703703703703703,0.1103220582008361,0.4,0.2857142857142857
Lamp5_3,"['CA2', 'CPLX3']",0.5666003976143141,0.1608512997627258,0.8382352941176471,0.2467532467532467
Sst_26,"['MME', 'FBN2', 'MCUB']",0.2504244482173174,0.0449923649430274,0.2706422018348624,0.1928104575163398
Sst_30,"['PENK', 'MME', 'HTR2C']",0.4772991850989522,0.1811771094799041,0.6074074074074074,0.2570532915360501
Sst_32,"['HPGD', 'PENK', 'EYA2']",0.3771551724137931,0.1664127856492996,0.4861111111111111,0.1988636363636363
Sst_21,"['ANGPT1', 'COL24A1', 'FBN2', 'ARHGAP6']",0.4965986394557823,0.0480080917477607,0.6697247706422018,0.2441471571906354
Sst_17,"['OTOF', 'PROM1', 'TAC1']",0.397404703974047,0.1510325819253921,0.4375,0.2908011869436201
Sst_11,"['ADGRG6', 'EYS', 'RELN']",0.3612385321100917,0.0399662666022777,0.4285714285714285,0.2218309859154929
Sst_10,"['MME', 'PROM1', 'NOS1']",0.2741935483870967,0.1493574380874633,0.4,0.1214285714285714
Sst_27,"['EDNRA', 'FREM1', 'MT-ND5', 'EFHD2']",0.383254716981132,0.0318221263587474,0.4887218045112781,0.2056962025316455
Sst_9,"['RAB31', 'ARHGAP6', 'FREM1']",0.3275401069518716,0.0438839383423328,0.3888888888888889,0.2008196721311475
Sst_8,"['STK32A', 'EDNRA', 'RELN']",0.4352678571428571,0.0703814178705215,0.5909090909090909,0.2119565217391304
Sst_16,"['NPFFR2', 'LINC01630', 'VAV3']",0.5689655172413793,0.0742187276482582,0.825,0.2538461538461538
Vip_29,"['KLHDC8A', 'RGS8', 'IQGAP2', 'TAC1', 'MYO5B']",0.4729729729729729,0.0524745434522628,1.0,0.1521739130434782
Sst_36,"['TRDN', 'HGF', 'PARD3B']",0.5824372759856631,0.1153368651866912,0.65,0.4113924050632911
Sst_19,"['TH', 'EPB41L4A']",0.7568533969010727,0.5281396508216858,0.9338235294117648,0.4305084745762711
Sst Chodl_1,['NPY'],0.8793969849246231,0.6119937896728516,0.8805031446540881,0.875
Chandelier_1,"['COL15A1', 'TAFA4']",0.8485193621867881,0.5536920428276062,0.9933333333333332,0.5359712230215827
Pvalb_3,"['TAFA4', 'SYT10', 'ANGPT1', 'NWD2']",0.5971479500891266,0.0639165192842483,0.7528089887640449,0.3268292682926829
Sst_31,"['CBLN4', 'RGS5_ENSG00000143248', 'MYO5B']",0.4649122807017544,0.050797950476408,0.5824175824175825,0.2572815533980582
Sst_24,"['NEDD4', 'NDST4', 'TAC1']",0.4439746300211416,0.0612388662993907,0.5562913907284768,0.2456140350877192
Sst_33,"['BMP6', 'HTR2C', 'CRYBG3']",0.4486133768352365,0.0517446063458919,0.6043956043956044,0.2208835341365461
Sst_22,"['TRPC6', 'FREM1', 'ITGA8']",0.4555084745762712,0.0354561246931552,0.5308641975308642,0.2905405405405405
Sst_29,"['QRFPR', 'PIEZO2', 'EDNRA']",0.5038167938931297,0.0756376683712005,0.6534653465346535,0.2629482071713147
Sst_18,"['QRFPR', 'CRHBP', 'PNOC']",0.3451178451178451,0.0485154129564762,0.431578947368421,0.1915887850467289
Sst_1,"['KLHL14', 'ANGPT1', 'EPB41L4A']",0.5025125628140703,0.0548750460147857,0.7142857142857143,0.2298850574712643
Sst_3,"['TCF7L1', 'FRK', 'HCRTR2']",0.6666666666666666,0.2098715901374817,1.0,0.2857142857142857
Sst_23,"['HCRTR2', 'SPON1', 'TBL1X']",0.5017605633802817,0.052909318357706,0.6195652173913043,0.285
Sst_28,"['SLC17A8', 'NDST4', 'ITGA8']",0.6264916467780429,0.08163533359766,0.7446808510638298,0.3832116788321167
Sst_13,"['FBN2', 'GPR149', 'TRPC6']",0.552665799739922,0.0391137115657329,0.6746031746031746,0.320754716981132
Sst_2,"['ALDH1A3', 'HPGD']",0.5247641509433962,0.6635276079177856,0.6095890410958904,0.3371212121212121
Sst_15,"['ABI3BP', 'ZBBX', 'TAC1', 'ARHGAP10']",0.373134328358209,0.0431315526366233,0.4838709677419355,0.1948051948051948
L6 IT Car3_2,"['NTNG2', 'NWD2']",0.6847826086956522,0.1355511844158172,0.8289473684210527,0.4038461538461538
L5 IT_2,"['TLL1', 'ARSJ', 'LRRK1', 'LDLRAD3']",0.5974842767295597,0.0755528584122657,0.7037037037037037,0.3725490196078431
