clusterName,NSForest_markers,f_score
L5 ET_2,"['ATP6V1C2', 'LRP2', 'ST8SIA2']",0.7957848837209303
L5 ET_1,"['OR51E2', 'DDX60L']",0.7983193277310925
L5 ET_3,"['ONECUT1', 'BDKRB2']",0.8695652173913043
L2/3 IT_5,"['GPR26', 'GPX3', 'VIPR2']",0.6122448979591837
L5 IT_3,"['RCSD1', 'KCNV1', 'ARSJ']",0.5263157894736842
L5 IT_1,"['NPNT', 'HPCA', 'RORB']",0.6375838926174496
L6 IT_1,"['ISLR', 'TMEM233', 'THEMIS', 'RTN4RL2', 'MOXD1']",0.6390977443609023
L6 IT Car3_1,"['PPP1R1A', 'SMYD1']",0.6976744186046512
L6b_5,"['MGST1', 'NPFFR2', 'SEMA3D', 'NR4A2']",0.6358768406961178
L6b_1,"['POU6F2-AS2', 'SEMA3D', 'ITGA11']",0.5319148936170213
L6b_2,"['NPFFR2', 'MDFIC', 'ARSJ']",0.5982490272373541
L6b_4,"['OLFML2B', 'NPNT', 'ERG']",0.6592592592592592
L6b_6,"['FAM160A1', 'SULF1']",0.7077856420626896
L6b_3,"['SCUBE1', 'CACNG5', 'SLC15A5']",0.6521739130434783
L6 CT_1,"['LGR6', 'OR1Q1', 'SYT6']",0.736235595390525
L6 CT_3,"['SEMA3E', 'MEIS2', 'ADAMTSL1']",0.5438931297709924
L5/6 NP_2,"['FABP7', 'SLC17A6', 'NEUROD6']",0.5105105105105106
L5/6 NP_3,"['ROBO3', 'GDNF-AS1', 'PLPP3']",0.4963617463617463
L5/6 NP_6,"['NPSR1-AS1', 'SPON1', 'COL24A1']",0.7356857523302264
L5/6 NP_5,"['LMNTD1', 'GDNF-AS1', 'HTR7']",0.5566600397614314
L5/6 NP_1,"['TRIM22', 'NPSR1-AS1']",0.597667638483965
L5/6 NP_4,"['AACSP1', 'PDLIM1', 'SPATA22']",0.6164383561643836
Pvalb_4,"['SLC26A4-AS1', 'SULF1', 'MT-ND4L']",0.4125412541254125
Pvalb_8,"['HOMER3', 'CA8', 'SULF1']",0.5229793977812995
Pvalb_9,"['LRRC38', 'PVALB']",0.5410821643286573
Pvalb_7,"['ISG20', 'IDI2-AS1', 'PVALB']",0.6060606060606061
Pvalb_6,"['POSTN', 'SULF1', 'RNF144B', 'MYO5B']",0.3598484848484848
