,Astro_1,Astro_2,Astro_3,Astro_4,Astro_5,Chandelier_1,Endo_1,Endo_2,L2/3 IT_1,L2/3 IT_3,L2/3 IT_4,L2/3 IT_5,L2/3 IT_6,L4 IT_1,L4 IT_5,L5 ET_1,L5 ET_2,L5 ET_3,L5 IT_1,L5 IT_2,L5 IT_3,L5 IT_6,L5/6 NP_1,L5/6 NP_2,L5/6 NP_3,L5/6 NP_4,L5/6 NP_5,L5/6 NP_6,L6 CT_1,L6 CT_3,L6 IT Car3_1,L6 IT Car3_2,L6 IT_1,L6 IT_2,L6b_1,L6b_2,L6b_3,L6b_4,L6b_5,L6b_6,Lamp5 Lhx6_1,Lamp5_1,Lamp5_2,Lamp5_3,Lamp5_4,Lamp5_5,Lamp5_6,Lamp5_7,Micro/PVM_1,OPC_1,Oligo_1,Oligo_2,Oligo_3,Oligo_4,Pax6_1,Pax6_2,Pax6_3,Pax6_4,Pvalb_1,Pvalb_2,Pvalb_3,Pvalb_4,Pvalb_5,Pvalb_6,Pvalb_7,Pvalb_8,Pvalb_9,Sncg_1,Sncg_2,Sncg_3,Sncg_4,Sncg_5,Sncg_6,Sncg_7,Sncg_8,Sst Chodl_1,Sst_1,Sst_10,Sst_11,Sst_12,Sst_13,Sst_14,Sst_15,Sst_16,Sst_17,Sst_18,Sst_19,Sst_2,Sst_21,Sst_22,Sst_23,Sst_24,Sst_25,Sst_26,Sst_27,Sst_28,Sst_29,Sst_3,Sst_30,Sst_31,Sst_32,Sst_33,Sst_35,Sst_36,Sst_37,Sst_4,Sst_5,Sst_6,Sst_7,Sst_8,Sst_9,VLMC_1,VLMC_2,Vip_1,Vip_10,Vip_11,Vip_12,Vip_13,Vip_14,Vip_15,Vip_16,Vip_17,Vip_18,Vip_19,Vip_2,Vip_20,Vip_21,Vip_22,Vip_23,Vip_24,Vip_25,Vip_26,Vip_27,Vip_28,Vip_29,Vip_3,Vip_4,Vip_5,Vip_6,Vip_7,Vip_8,Vip_9
A2M,0.0,0.0,0.0,0.0,0.0,0.0,7.032062,7.0279207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.425312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9609976,5.7337265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALT,0.0,0.0,0.0,0.0,0.0,0.0,2.89438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AACS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.406586,4.4822054,4.3455405,4.2844696,4.3616104,4.3959513,4.395794,4.7313075,4.9624505,4.4047484,3.97191,4.4988675,4.190014,4.467821,5.0827265,4.3857965,4.2335505,5.327449,4.9622226,4.5372257,4.3988442,4.50858,4.343188,4.249296,4.3891697,4.4934673,4.3235235,4.1273565,4.4696054,4.14335,4.059511,4.289103,3.7985168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6745021,0.0,3.1058676,3.48353,3.5070546,0.0,3.1962912,3.3987556,3.6203794,3.707573,0.0,0.0,3.6194248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3033276,3.883083,4.06773,3.946813,4.3675327,0.0,3.8436475,4.032662,3.54704,3.637299,0.0,3.8993416,3.9043286,0.0,0.0,0.0,0.0,4.3174524,0.0,0.0,3.2508354,4.069779,3.6877403,0.0,3.695118,0.0,0.0,4.0076275,3.8015475,3.9888742,4.386371,4.3498936,0.0,3.9399054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5509577,3.4345322,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AACSP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6403146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAGAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9364738,3.8986564,3.8648643,3.9390092,3.8617997,3.7882667,4.00692,3.9860716,3.8754091,3.3302808,3.6545951,3.9505608,3.7207477,4.000677,3.5886958,3.958365,3.8339486,4.018774,3.7543542,3.7061982,3.8751945,3.8700345,3.831806,3.7413468,4.2736607,4.0686483,4.1053057,3.6366508,3.7724044,3.6913934,3.5709925,3.7326496,0.0,3.9254255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8501084,0.0,3.225562,0.0,0.0,3.43662,0.0,0.0,2.894371,3.5074396,4.0302157,3.5033903,3.599906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4849732,0.0,0.0,0.0,0.0,0.0,3.6067512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7943635,0.0,0.0,0.0,3.955949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3282824,0.0,0.0,0.0,0.0,4.1844587,4.116536,0.0,0.0,0.0,0.0,3.58384,0.0,3.35563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAK1,0.0,0.0,0.0,0.0,0.0,5.8436236,5.359989,5.48484,5.8472223,5.945155,5.9675374,5.8808923,5.816498,5.92045,5.803754,5.955272,6.0158014,6.1263604,6.013357,5.9161887,5.980186,5.974698,5.647954,5.8080482,5.636571,5.9101453,5.7503467,5.599532,6.020146,5.9129686,5.5192027,5.53041,6.0020447,5.8502874,5.9572306,5.6155906,5.8849287,5.6822414,5.8246126,5.718509,5.9385567,5.8235865,5.988901,5.901306,5.9593005,5.701792,5.714827,5.8223,5.8002853,5.2513933,0.0,5.189782,0.0,0.0,5.842251,5.6899347,5.851257,6.0218563,6.1173654,6.0349092,6.091374,6.286862,6.2197924,6.182667,6.173794,6.208544,6.4584355,5.666921,5.5577626,5.510992,5.739579,5.6218715,5.6642447,5.828743,5.6508284,6.280355,6.5442476,6.482397,6.484063,6.529763,6.2694726,6.576175,6.5160456,6.1987147,6.619161,6.56691,6.038318,6.404233,6.5339975,6.3866377,6.4275503,6.2631164,6.5668283,6.499879,6.458867,6.3902407,6.6331463,6.682215,6.454581,6.2633815,6.5444746,6.4554543,6.613249,6.136634,6.521576,6.591095,6.5889263,6.5984526,6.3756495,6.422209,6.601911,0.0,0.0,5.525702,5.5327005,5.4770403,5.930868,5.3557124,5.4537897,5.850852,5.5963173,5.807662,5.830841,5.5600805,5.3754787,5.644869,6.016509,5.6004267,5.940999,5.858164,5.7780023,5.6197705,5.968514,5.6292624,6.15511,5.840622,5.8351684,5.4870486,5.317536,5.8421164,5.6363373,5.985745
AAMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0762994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4851573,0.0,0.0,0.0,0.0,0.0,3.2257364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.977145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.005507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9055848,0.0,0.0,0.0,0.0,4.0811577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AARS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5746264,3.7116122,3.8044095,4.264871,3.7776883,3.9529881,3.6553679,3.5703883,3.4199572,4.456046,4.263751,3.8615665,4.6310916,3.8509867,3.7302837,4.5536256,3.8727722,3.4102612,3.5808153,3.9028308,3.5518787,3.2713833,4.5382185,3.580451,4.7841883,3.6989725,3.7605586,3.1401787,3.85155,3.462979,4.218246,3.4695897,3.899076,3.934378,3.7729857,4.635024,4.1704884,3.9551096,4.064871,4.2293215,0.0,0.0,0.0,0.0,0.0,0.0,3.6980505,3.9392376,3.6721683,3.7259421,3.649077,3.8585281,3.8343027,4.286433,3.6625917,3.732631,0.0,4.438132,4.37294,0.0,4.1167145,0.0,0.0,0.0,0.0,3.7090998,0.0,3.1782298,3.1199608,0.0,0.0,0.0,3.8409235,3.8436475,0.0,3.2430677,0.0,1.7276427,4.1040325,3.6878128,0.0,0.0,0.0,0.0,3.7986627,0.0,4.050823,3.5431004,0.0,4.6094933,0.0,3.7311387,0.0,0.0,0.0,3.8144655,4.0762486,3.32692,3.5663,5.187028,0.0,0.0,0.0,0.0,0.0,0.0,3.4089882,0.0,3.9148555,0.0,0.0,0.0,0.0,3.655076,0.0,0.0,0.0,0.0,3.969821,4.749228,4.071194,4.373423,0.0,0.0,3.7293904,0.0,3.6632137,0.0,3.7221177,0.0,0.0,0.0,0.0,4.0459538
AASDH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0048532,3.4634752,3.515265,2.8964539,0.0,0.0,0.0,3.3925405,3.0901563,4.0053744,0.0,3.2764747,3.3611646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2692451,1.3775275,1.4186594,0.0,0.0,3.1731355,3.186584,2.9238386,3.7121294,3.2373455,3.510135,3.136685,3.4242907,3.495546,3.7471116,3.8705382,3.2120507,0.0,3.4044085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.396465,0.0,0.0,3.6059103,0.0,3.5391662,3.4006863,3.1110098,3.3397603,3.6957798,4.059595,3.3078198,3.6255233,0.0,3.5523393,0.0,0.0,0.0,3.5607393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9544425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6443667,3.590217,0.0,3.0259686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6639242,0.0,3.5117419,0.0,0.0,0.0,3.4498365,0.0,3.1895933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
