cluster_name,skos,manual_mapped_cid,cell_ontology_id
Acinar-mix,relatedMatch,CL:0002064,CL:0002064
Activated stellate cells,relatedMatch,CL:0002410,CL:0002410
Alpha cells,relatedMatch,CL:0000171,CL:0000171
Beta cells,relatedMatch,CL:0000169,CL:0000169
Delta cells,exactMatch,CL:0000173,CL:0000173
Ductal cells,exactMatch,CL:0002079,CL:0002079
Endothelial cells,exactMatch,CL:0000115,CL:0000115
Gamma cells,exactMatch,CL:0002275,CL:0002275
Idling acinar cells,exactMatch,CL:0002064,CL:0002064
MUC5B+ ductal cells,exactMatch,CL:0002079,CL:0002079
Macrophages,exactMatch,CL:0000235,CL:0000235
Quiescent stellate cells,relatedMatch,CL:0002410,CL:0002410
Secretory acinar cells,relatedMatch,CL:0002064,CL:0002064
Stressed beta cells,exactMatch,CL:0000169,CL:0000169
