cluster_name,skos,manual_mapped_cid,cell_ontology_id
AEC,exactMatch,CL:1001568,
AF1,relatedMatch,CL:4028004,
AF2,relatedMatch,CL:4028006,
AM,exactMatch,CL:0000583,
ASMC,relatedMatch,CL:0000192,
AT1,exactMatch,CL:0002062,
AT2,exactMatch,CL:0002063,
B,exactMatch,CL:0000236,
Basal,exactMatch,CL:0002633,
CAP1,relatedMatch,CL:4028002,
CAP2,exactMatch,CL:4028003,
CD4 T,exactMatch,CL:0000624,
CD8 T,exactMatch,CL:0000625,
cDC1,exactMatch,CL:0000990,
cDC2,exactMatch,CL:0002399,
Chondrocyte,exactMatch,CL:0000138,
Ciliated,exactMatch,CL:0002145,
Deuterosomal,exactMatch,CL:4033044,
Goblet,exactMatch,CL:0000158,
ILC,exactMatch,CL:0001065,
IM,exactMatch,CL:4033043,
iMON,exactMatch,CL:0000860,
Ionocyte,exactMatch,CL:0005006,
LEC,exactMatch,CL:0002138,
maDC,exactMatch,CL:4033045,
Mast/Basophil,exactMatch,CL:0000097,
MEC,exactMatch,CL:0000185,
Megakaryocyte/Platelet,exactMatch,CL:0000233,
Mesothelial,exactMatch,CL:0000077,
Mucous,relatedMatch,CL:0000319,
Neutrophil,exactMatch,CL:0000775,
NK,exactMatch,CL:0000623,
pDC,exactMatch,CL:0000784,
Pericyte,exactMatch,CL:0009089,
Plasma,exactMatch,CL:0000786,
pMON,exactMatch,CL:0000875,
PNEC,exactMatch,CL:1000223,
RAS,relatedMatch,CL:0002632,
SCMF,exactMatch,CL:0000186,
Secretory,exactMatch,CL:0000151,
Serous,exactMatch,CL:0019001,
SMG Basal/Duct,exactMatch,CL:4033024,
Suprabasal,exactMatch,CL:4033048,
SVEC,exactMatch,CL:0002543,
Treg,exactMatch,CL:0000815,
Tuft,exactMatch,CL:0002204,
VEC,exactMatch,CL:4033008,
VSMC,exactMatch,CL:0000192,
