gene,AEC,AF1,AF2,AM,ASMC,AT1,AT2,B,Basal,CAP1,CAP2,CD4 T,CD8 T,Chondrocyte,Ciliated,Deuterosomal,Goblet,ILC,IM,Ionocyte,LEC,MEC,Mast/Basophil,Megakaryocyte/Platelet,Mesothelial,Mucous,NK,Neutrophil,PNEC,Pericyte,Plasma,RAS,SCMF,SMG Basal/Duct,SVEC,Secretory,Serous,Suprabasal,Treg,Tuft,VEC,VSMC,cDC1,cDC2,iMON,maDC,pDC,pMON
NOC2L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HES4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.901181034649373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8723404255319149,0.0,0.0,0.0,0.9308506157969276,0.0,0.0,0.0,0.8868372016362422,0.0,0.8890135792359513,0.0,0.8899813180580523,0.0,0.0,0.0,0.9223623036368905,0.0,0.0,0.0,0.0,0.0,0.0
ISG15,0.0,0.0,0.0,0.9957639523537382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9787234042553191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9787234042553191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9823519611910848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTLL10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9894644067501964,0.9787234042553191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8071224940340963,0.0,0.0,0.0,0.0,0.8963441844435466,0.0,0.8069716678678656,0.8366660451552959,0.0,0.0,0.8607754937630341,0.0,0.8103706386592043,0.0,0.0,0.7872340425531915,0.8509364166520499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.817498614602768,0.0,0.0,0.0,0.813949720426474,0.0,0.8031391595634481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBE2J2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9397131432164983,0.0,0.0,0.0,0.9661197390217758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9447617902785715,0.0,0.0,0.0,0.9361702127659575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTS11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9552429981219644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9361702127659575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9497568760518968,0.0,0.0,0.0,0.9443981502383473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MXRA8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AURKAIP1,0.0,0.0,0.0,0.6470771448856777,0.0,0.0,0.637574155976686,0.0,0.6488366329518421,0.0,0.0,0.0,0.0,0.790811859212515,0.6723857208156366,0.7916640825128967,0.6708597684574346,0.0,0.0,0.7319528658170961,0.0,0.6549892360622077,0.0,0.0,0.6290310697812614,0.703575314092036,0.0,0.0,0.6851220280302853,0.0,0.0,0.0,0.0,0.6714208480383994,0.0,0.6195148961252398,0.6414024431075406,0.6737282076864128,0.0,0.6736827538945326,0.0,0.6220261589194819,0.0,0.6170212765957447,0.0,0.0,0.0,0.0
CCNL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9901031012404177,0.0,0.0,0.0,0.0,0.0,0.9787234042553191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPL20,0.0,0.0,0.0,0.6676928847321626,0.0,0.0,0.666528016352558,0.0,0.6829369257150706,0.0,0.0,0.0,0.0,0.0,0.7019743958309962,0.7505005823248669,0.6988355696470329,0.0,0.0,0.7032321941802907,0.0,0.6913975272568421,0.0,0.0,0.6382978723404256,0.6911938103114813,0.0,0.0,0.7807919388558573,0.0,0.0,0.0,0.0,0.692908450056677,0.0,0.6513228866146417,0.6628213893722743,0.696947040874143,0.0,0.6835677179090265,0.0,0.6653132706368641,0.0,0.0,0.0,0.0,0.661667244911199,0.0
VWA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9578441910678136,0.0,0.9854465802536652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9574468085106383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSU72,0.0,0.0,0.0,0.718874085177758,0.0,0.0,0.6912670295738165,0.0,0.7181048256981245,0.0,0.0,0.0,0.0,0.0,0.7285656137318547,0.7459339125765915,0.740953517513754,0.0,0.0,0.7720367135947139,0.0,0.6979015268342745,0.0,0.0,0.6948843926351893,0.7714265475170116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7291254945035913,0.0,0.6808510638297872,0.7017788352720047,0.7220270889300829,0.0,0.6950503564600565,0.0,0.0,0.0,0.6977857821989308,0.0,0.0,0.0,0.0
MIB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9907691829269388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9787234042553191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNB1,0.0,0.0,0.0,0.7103240500654422,0.0,0.0,0.0,0.0,0.6727201391274708,0.0,0.0,0.0,0.0,0.0,0.0,0.6753192422235785,0.6916927984070808,0.0,0.7813062501678031,0.7539626091832591,0.0,0.6682932910687,0.0,0.0,0.0,0.7062912077346247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7199509765901456,0.0,0.0,0.6595744680851063,0.6896028163996365,0.0,0.7201354623236382,0.0,0.0,0.80347749930409,0.7828560819621875,0.8056520925434769,0.8275820741968123,0.7753101495996305,0.0
PRKCZ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAAP20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8417871369491613,0.0,0.0,0.0,0.0,0.0,0.0,0.8195464810234899,0.8193743247402974,0.0,0.0,0.8289309777363886,0.0,0.8699100596610398,0.0,0.0,0.8275154477795638,0.8358215833949888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8526470859196116,0.0,0.0,0.0,0.829236604119032,0.0,0.8085106382978723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RER1,0.0,0.0,0.0,0.795524132174032,0.0,0.0,0.0,0.0,0.7770859391309064,0.0,0.0,0.0,0.0,0.0,0.7747447413720897,0.8368363319629829,0.8126232803601571,0.0,0.0,0.7887080943684853,0.0,0.7841659585868985,0.0,0.0,0.0,0.8183092117787926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7979614200738718,0.0,0.0,0.7681092567878592,0.7923615685461954,0.0,0.7659574468085106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9618603147021457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9574468085106383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.966010761473953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMIM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNAB2,0.0,0.0,0.0,0.9787234042553191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9882371935833306
RPL22,0.13540797260433082,0.06565233052019352,0.10573506565855946,0.11328207757151838,0.11354705617730153,0.0,0.19006747234528865,0.1157816602508955,0.2535041185994154,0.08447043176571824,0.07279448089791309,0.16623986239807834,0.1720657461394924,0.14996128455775234,0.09062354497367361,0.11980105668315537,0.10470523181203313,0.10691536389773029,0.09141884404526239,0.099687533434345,0.1631359482780478,0.24464899405112028,0.18751917269067672,0.0,0.1877561101946497,0.18651645873361877,0.10667370454246212,0.0,0.11597188762374502,0.08725513983472692,0.06382978723404255,0.16431795268834243,0.17571722528690878,0.1823922765258281,0.23954606773982345,0.09338440873092653,0.13022688558554188,0.23131559942987065,0.14295644689284398,0.23916879619767129,0.1246241291737751,0.1513322333090584,0.19820637963867663,0.15663089983160192,0.13308609536819702,0.10398066385363199,0.2385407036411042,0.12007436266703633
