cluster,n_cells,percentage
AEC,4034,1.16
AF1,5445,1.56
AF2,2670,0.77
AM,101380,29.13
ASMC,515,0.15
AT1,12039,3.46
AT2,59053,16.97
B,3167,0.91
Basal,12989,3.73
CAP1,15066,4.33
CAP2,7047,2.03
CD4 T,5641,1.62
CD8 T,3443,0.99
Chondrocyte,6,0.0
Ciliated,13410,3.85
Deuterosomal,202,0.06
Goblet,2521,0.72
ILC,14,0.0
IM,6437,1.85
Ionocyte,159,0.05
LEC,3366,0.97
MEC,669,0.19
Mast/Basophil,2919,0.84
Megakaryocyte/Platelet,41,0.01
Mesothelial,106,0.03
Mucous,1113,0.32
NK,8853,2.54
Neutrophil,246,0.07
PNEC,1155,0.33
Pericyte,2510,0.72
Plasma,2181,0.63
RAS,4257,1.22
SCMF,953,0.27
SMG Basal/Duct,1009,0.29
SVEC,4609,1.32
Secretory,2699,0.78
Serous,4333,1.25
Suprabasal,20167,5.8
Treg,252,0.07
Tuft,88,0.03
VEC,4776,1.37
VSMC,2916,0.84
cDC1,260,0.07
cDC2,2594,0.75
iMON,17999,5.17
maDC,236,0.07
pDC,236,0.07
pMON,2189,0.63
