clusterName,gene
LEC,CCL21
AF1,SCN7A
AF1,ITGA8
SCMF,ASPN
SCMF,ITGBL1
AF2,MFAP5
AF2,FBLN2
Chondrocyte,CYTL1
Mesothelial,CALB2
Mesothelial,UPK3B
Pericyte,HIGD1B
Pericyte,KCNK3
ASMC,DES
ASMC,BCHE
VSMC,PLN
VSMC,MYH11
MEC,SFRP1
MEC,MIA
Megakaryocyte/Platelet,PF4
Megakaryocyte/Platelet,TUBB1
Mast/Basophil,CPA3
CD4 T,CD3D
CD4 T,LTB
Treg,FOXP3
Treg,CTLA4
CD8 T,CD8A
CD8 T,NKG7
CD8 T,CD3E
ILC,TRAF3IP3
ILC,RESF1
ILC,CXCR3
NK,KLRB1
NK,GNLY
maDC,CCL22
cDC1,CLEC9A
cDC1,IDO1
cDC2,CLEC10A
cDC2,PKIB
Deuterosomal,CDC20B
Deuterosomal,DEUP1
Ciliated,C1orf194
Ciliated,C9orf24
AT1,RTKN2
AT2,NAPSA
AT2,SFTPA1
RAS,SCGB3A2
RAS,SFTPB
CAP2,EDNRB
CAP2,EMCN
CAP1,CA4
CAP1,FCN3
AEC,DKK2
AEC,GJA5
VEC,CCL23
VEC,SRPX
SVEC,PLVAP
SVEC,CD34
IM,F13A1
IM,C1QC
pMON,LILRB2
pMON,POU2F2
iMON,VCAN
iMON,S100A8
Neutrophil,FCGR3B
AM,MCEMP1
AM,ACP5
B,MS4A1
pDC,LILRA4
pDC,SCT
Plasma,MZB1
PNEC,GRP
PNEC,CHGA
Mucous,BPIFB2
Serous,PRB3
SMG Basal/Duct,FOXQ1
SMG Basal/Duct,MMP7
Goblet,MUC5AC
Goblet,PSCA
Secretory,TMEM45A
Secretory,SCGB1A1
Basal,DLK2
Basal,KRT15
Suprabasal,CLCA2
Suprabasal,UPK1B
Tuft,NREP
Tuft,POU2F3
Tuft,RASSF6
Ionocyte,ASCL3
Ionocyte,BSND
