gene,AEC,AF1,AF2,AM,ASMC,AT1,AT2,B,Basal,CAP1,CAP2,CD4 T,CD8 T,Chondrocyte,Ciliated,Deuterosomal,Goblet,ILC,IM,Ionocyte,LEC,MEC,Mast/Basophil,Megakaryocyte/Platelet,Mesothelial,Mucous,NK,Neutrophil,PNEC,Pericyte,Plasma,RAS,SCMF,SMG Basal/Duct,SVEC,Secretory,Serous,Suprabasal,Treg,Tuft,VEC,VSMC,cDC1,cDC2,iMON,maDC,pDC,pMON
NOC2L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17452880199180631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HES4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9854358192213977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23661074164204257,0.0,0.0,0.0,1.5222019395646678,0.0,0.0,0.0,0.7425376139511012,0.0,0.8049811947275111,0.0,0.8218469707571278,0.0,0.0,0.0,1.3557760171209052,0.0,0.0,0.0,0.0,0.0,0.0
ISG15,0.0,0.0,0.0,1.0507664789443822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2092015528854498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25878971128986733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31199863790052496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTLL10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6743660525372306,0.33392778225737346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37054998140499606,0.0,0.0,0.0,0.0,0.8311744319811364,0.0,0.36928244017636647,0.5036954102102669,0.0,0.0,0.6188282935623095,0.0,0.38997234819329524,0.0,0.0,0.07982074785349655,0.5711810376639115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42234025072588854,0.0,0.0,0.0,0.4074919943500511,0.0,0.31617248584322283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBE2J2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1927701893751103,0.0,0.0,0.0,0.36101334553733055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2214269149038284,0.0,0.0,0.0,0.16067053480210963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTS11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27198599834500325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1253941573439296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2422874391986584,0.0,0.0,0.0,0.20446246187756642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MXRA8,0.0,0.0,0.8115093584243299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AURKAIP1,0.0,0.0,0.0,0.8156406063829147,0.0,0.0,0.7364435250866327,0.0,0.827893850413188,0.0,0.0,0.0,0.0,1.6439907311581767,0.974964539533033,1.6507156743345783,0.9663044088708879,0.0,0.0,1.2518708281917492,0.0,0.8664110702138156,0.0,0.0,0.6503724712840367,1.1119377125756706,0.0,0.0,1.0302047786585746,0.0,0.0,0.0,0.0,0.9697279489698565,0.0,0.5370099787747082,0.7708246831812241,0.9815329222849425,0.0,0.9813300689792515,0.0,0.5729256620584793,0.0,0.4740723459562094,0.0,0.0,0.0,0.0
