software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,celltype_level3,LEC,3366,0.9221389559253144,0.9382875605815832,0.8627450980392157,344413,191,462,2904,1,['CCL21'],"['CCL21', 'SEMA3D', 'PKHD1L1', 'SEMA3A', 'LYVE1', 'PROX1', 'MMRN1', 'PPFIBP1', 'AKAP12', 'PDPN']",1.0
4.1,celltype_level3,AF1,5445,0.7845115721763259,0.9558202074529388,0.4569329660238751,342410,115,2957,2488,2,"['SCN7A', 'ITGA8']","['SCN7A', 'GPC3', 'SVEP1', 'PLEKHH2', 'ITGA8', 'ROBO2', 'CDH11', 'MYH10', 'SLIT2', 'FBLN1']",1.0
4.1,celltype_level3,SCMF,953,0.5220620358235037,0.7155688622754491,0.2507869884575026,346922,95,714,239,2,"['ASPN', 'ITGBL1']","['ASPN', 'LTBP2', 'ITGBL1', 'LTBP1', 'COL1A1', 'COL3A1', 'CFH', 'ACTA2', 'TAGLN', 'DCN']",0.8537646555464892
4.1,celltype_level3,AF2,2670,0.8100594776312386,0.9897314375987362,0.4692883895131086,345287,13,1417,1253,2,"['MFAP5', 'FBLN2']","['MFAP5', 'SCARA5', 'PI16', 'FBLN2', 'SFRP2', 'IGFBP6', 'FBLN1', 'CFD', 'PLA2G2A', 'CCDC80']",1.0
4.1,celltype_level3,Chondrocyte,6,0.9090909090909092,1.0,0.6666666666666666,347964,0,2,4,1,['CYTL1'],"['CYTL1', 'SNORC', 'COL2A1', 'HAPLN1', 'ACAN', 'TNFRSF11B', 'RBP4', 'S100A1', 'COL9A3', 'SOX9']",1.0
4.1,celltype_level3,Mesothelial,106,0.8839779005524862,1.0,0.6037735849056604,347864,0,42,64,2,"['CALB2', 'UPK3B']","['CALB2', 'HP', 'ITLN1', 'UPK3B', 'PRG4', 'C4B', 'WT1', 'TFPI2', 'PLA2G2A', 'MSLN']",1.0
4.1,celltype_level3,Pericyte,2510,0.8564308290785315,0.986004198740378,0.5613545816733068,345440,20,1101,1409,2,"['HIGD1B', 'KCNK3']","['HIGD1B', 'LAMC3', 'KCNK3', 'NDUFA4L2', 'RGN', 'FAM162B', 'EGFL6', 'PTN', 'MEST', 'COL4A1']",1.0
4.1,celltype_level3,ASMC,515,0.6255924170616114,0.9777777777777776,0.2563106796116505,347452,3,383,132,2,"['DES', 'BCHE']","['PRUNE2', 'DES', 'BCHE', 'SYNPO2', 'RAMP1', 'PDLIM3', 'ACTG2', 'CNN1', 'MYH11', 'SVIL']",0.6862578794057895
4.1,celltype_level3,VSMC,2916,0.7916817033561891,0.8594515181194907,0.6018518518518519,344767,287,1161,1755,2,"['PLN', 'MYH11']","['RERGL', 'PLN', 'DES', 'LMOD1', 'MYH11', 'ACTG2', 'CNN1', 'PLAC9', 'ACTA2', 'TAGLN']",0.447833087009729
4.1,celltype_level3,MEC,669,0.8484848484848485,0.986449864498645,0.5440956651718983,347296,5,305,364,2,"['SFRP1', 'MIA']","['SFRP1', 'KRT14', 'COL17A1', 'KRT23', 'CXCL14', 'MIA', 'ACTG2', 'CNN1', 'KRT17', 'SAA1']",0.6673459029389318
4.1,celltype_level3,Megakaryocyte/Platelet,41,0.9393939393939394,1.0,0.7560975609756098,347929,0,10,31,2,"['PF4', 'TUBB1']","['PF4', 'ACRBP', 'CMTM5', 'TUBB1', 'GP9', 'TREML1', 'PPBP', 'RGS18', 'ITGA2B', 'NRGN']",1.0
