celltype_level3,mean,std,median,count,q1,q3,f_score
pDC,0.9391648386983866,0.14209148943106312,0.9597543710744822,236,0.9491256394478051,0.9643032881670314,0.7711038961038961
cDC1,0.9161508857703667,0.05653256772493619,0.9325887596178588,260,0.9088053992634679,0.9409916720081871,0.7971938775510204
PNEC,0.8745588842954172,0.09103849369979804,0.8872856252869927,1155,0.8624640563703907,0.9016776948621958,0.9774164408310748
Mesothelial,0.836559132165239,0.23826918961747048,0.8718278400709962,106,0.8691641957262097,0.8725114111805934,0.8839779005524862
pMON,0.8278099606945952,0.17516924592196628,0.8664903004767104,2189,0.8400217136791565,0.881460093041086,0.5066480055983205
ASMC,0.7875560623732745,0.2566444379011629,0.858527364522489,515,0.8252653448635517,0.8679830134335909,0.6255924170616114
Mucous,0.7470826415655822,0.29568740787021425,0.8364156092269717,1113,0.7945538873896174,0.8504548046519577,0.9529860228716646
Plasma,0.8107303136195264,0.06816955886794149,0.828951244834211,2181,0.7938525949440176,0.8488852003750558,0.8243434673640623
Pericyte,0.7923441324589494,0.087695640082072,0.823943413516286,2510,0.7672395657757565,0.8435853656712433,0.8564308290785315
LEC,0.8172071936053937,0.05815374625402374,0.8217406539024904,3366,0.8000751581061443,0.8419352573210572,0.9221389559253144
VEC,0.8021137457009412,0.11389474315043553,0.8122371230694931,4776,0.7894771925663233,0.8332560829633067,0.677463503649635
Goblet,0.7338618020452499,0.23505370743640028,0.8019549545755605,2521,0.7505157601539998,0.8216396395749697,0.7533863985476889
SMG Basal/Duct,0.6885522503958151,0.2705302413941229,0.7928114625602749,1009,0.6873854419635742,0.816818929676025,0.6312148724600086
AEC,0.7722248046297226,0.10207616715309652,0.7910933562220801,4034,0.7535865413446726,0.81707317296228,0.836578906371709
SVEC,0.7340796359418263,0.15806444146056303,0.771476669962977,4609,0.7211107947832776,0.8027966213400385,0.7117082533589252
CAP2,0.7391387898951175,0.1171972866099299,0.7673028220199523,7047,0.7247399980333313,0.8008375858762413,0.852101326501095
maDC,0.6797101752073443,0.21459815353973682,0.750991655197409,236,0.6854742437377539,0.7650541861720699,0.6358695652173914
Basal,0.6897940999598011,0.18390596699750864,0.7496046318829829,12989,0.6873115111495425,0.7779762976604382,0.8805744520030234
Mast/Basophil,0.7272606788160146,0.07174560927513468,0.7395257150776483,2919,0.704819348021746,0.7712028579621282,0.9564293304994688
Deuterosomal,0.5379903807701052,0.4231844376481733,0.7330921563105945,202,0.6678778400635297,0.7459074430746295,0.8646112600536193
B,0.6819684878532927,0.13470174248810132,0.7234674970496037,3167,0.6550586783263597,0.7598453278705954,0.8508242862887012
AT1,0.6825693301032015,0.10289473963550261,0.7115370326398555,12039,0.6439624775137466,0.7538195692755237,0.8732533978916869
cDC2,0.6556691514777705,0.15737022229830422,0.7001910378732497,2594,0.6276974832044522,0.7312680552161182,0.6481481481481481
Serous,0.6266182623201748,0.22308807350196813,0.6940722779323378,4333,0.6357781927099325,0.7390590577760938,0.837074034266928
SCMF,0.6024087769732027,0.28358723681786546,0.6933655463602474,953,0.6292134223910427,0.7192162348635495,0.5220620358235037
Secretory,0.6403807219785181,0.2125186741167897,0.689377934490618,2699,0.6199382339688737,0.7360981684127313,0.5687764317970038
