cluster_name,skos,manual_mapped_cid,cell_ontology_id
Airway smooth muscle cell,,,CL:0019019
Alveolar fibroblast 1,,,CL:4028004
Alveolar fibroblast 2,,,CL:4028006
Alveolar macrophage,,,CL:0000583
Alveolar type 1 cell,,,CL:0002062
Alveolar type 2 cell,,,CL:0002063
Arterial endothelial cell,,,CL:1000413
B cell,,,CL:0000236
Basal cell,,,CL:0000646
CD4+ T cell,,,CL:0000912
CD8+ T cell,,,CL:0000794
Capillary 1 cell,,,CL:4028002
Capillary 2 cell,,,CL:4028003
Chondrocyte,,,CL:0000138
Ciliated cell,,,CL:0000064
Classical DC subset 1,,,CL:0000990
Classical DC subset 2,,,CL:0000990
Deuterosomal cell,,,CL:4033044
Goblet cell,,,CL:0000160
Inflammatory monocyte,,,CL:0000860
Innate lymphoid cell,,,CL:0001065
Interstitial macrophage,,,CL:4033043
Ionocyte,,,CL:0005006
Lymphatic endothelial cell,,,CL:0009086
Mast/Basophil,,,CL:0000097
Mature DC subset,,,CL:0000841
Megakaryocyte/Platelet,,,CL:4033018
Mesothelial cell,,,CL:1000491
Mucous cell,,,CL:4033037
Myoepithelial cell,,,CL:0000185
Natural killer cell,,,CL:0000623
Neutrophil,,,CL:0000775
Patrolling monocyte,,,CL:0000875
Pericyte,,,CL:0000669
Plasma cell,,,CL:0000786
Plasmacytoid DC,,,CL:0000784
Pulmonary neuroendocrine cell,,,CL:1000223
Respiratory airway secretory cell,,,CL:1000272
SMG Basal/Duct cell,,,CL:4033023
Secondary crest myofibroblast,,,CL:4033016
Secretory cell,,,CL:0000151
Serous cell,,,CL:0000313
Suprabasal cell,,,CL:4033048
Systemic venous endothelial cell,,,CL:4033008
T regulatory cell,,,CL:0000815
Tuft cell,,,CL:0002075
Vascular smooth muscle cell,,,CL:0000359
Venous endothelial cell,,,CL:0002543
