cluster,count
Alveolar macrophage,101380
Alveolar type 2 cell,59053
Suprabasal cell,20167
Inflammatory monocyte,17999
Capillary 1 cell,15066
Ciliated cell,13410
Basal cell,12989
Alveolar type 1 cell,12039
Natural killer cell,8853
Capillary 2 cell,7047
Interstitial macrophage,6437
CD4+ T cell,5641
Alveolar fibroblast 1,5445
Venous endothelial cell,4776
Systemic venous endothelial cell,4609
Serous cell,4333
Respiratory airway secretory cell,4257
Arterial endothelial cell,4034
CD8+ T cell,3443
Lymphatic endothelial cell,3366
B cell,3167
Mast/Basophil,2919
Vascular smooth muscle cell,2916
Secretory cell,2699
Alveolar fibroblast 2,2670
Classical DC subset 2,2594
Goblet cell,2521
Pericyte,2510
Patrolling monocyte,2189
Plasma cell,2181
Pulmonary neuroendocrine cell,1155
Mucous cell,1113
SMG Basal/Duct cell,1009
Secondary crest myofibroblast,953
Myoepithelial cell,669
Airway smooth muscle cell,515
Classical DC subset 1,260
T regulatory cell,252
Neutrophil,246
Plasmacytoid DC,236
Mature DC subset,236
Deuterosomal cell,202
Ionocyte,159
Mesothelial cell,106
Tuft cell,88
Megakaryocyte/Platelet,41
Innate lymphoid cell,14
Chondrocyte,6
