cluster,count
Alveolar macrophage,97466
Alveolar type 2 cell,55756
Suprabasal cell,19286
Inflammatory monocyte,17902
Capillary 1 cell,13988
Ciliated cell,13217
Basal cell,12286
Alveolar type 1 cell,11815
Natural killer cell,8770
Capillary 2 cell,6610
Interstitial macrophage,6150
CD4+ T cell,5629
Alveolar fibroblast 1,5077
Venous endothelial cell,4527
Systemic venous endothelial cell,4362
Respiratory airway secretory cell,4206
Arterial endothelial cell,3895
CD8+ T cell,3437
Lymphatic endothelial cell,3217
B cell,3123
Serous cell,2944
Mast/Basophil,2843
Secretory cell,2681
Vascular smooth muscle cell,2579
Classical DC subset 2,2574
Alveolar fibroblast 2,2537
Goblet cell,2452
Pericyte,2311
Patrolling monocyte,2181
Plasma cell,2147
Pulmonary neuroendocrine cell,1151
SMG Basal/Duct cell,958
Secondary crest myofibroblast,774
Mucous cell,721
Airway smooth muscle cell,485
Myoepithelial cell,479
Classical DC subset 1,259
T regulatory cell,252
Mature DC subset,233
Plasmacytoid DC,231
Neutrophil,231
Deuterosomal cell,192
Ionocyte,158
Mesothelial cell,105
Tuft cell,84
Megakaryocyte/Platelet,35
Innate lymphoid cell,14
Chondrocyte,5
