clusterName,NSForest_markers,f_score
T regulatory cell,"['ENSG00000049768', 'ENSG00000163599']",0.6066176470588235
CD4+ T cell,"['ENSG00000113263', 'ENSG00000167286']",0.5490513772016934
Innate lymphoid cell,"['ENSG00000009790', 'ENSG00000174718', 'ENSG00000186810']",0.3846153846153846
CD8+ T cell,"['ENSG00000153563', 'ENSG00000105374', 'ENSG00000198851']",0.8400440790031364
Natural killer cell,"['ENSG00000111796', 'ENSG00000115523']",0.8800762520940443
Plasmacytoid DC,"['ENSG00000166428', 'ENSG00000132465']",0.7853810264385692
B cell,['ENSG00000156738'],0.8504123458806239
Plasma cell,['ENSG00000170476'],0.8287632904308898
Pulmonary neuroendocrine cell,['ENSG00000134443'],0.9757575757575756
Ionocyte,"['ENSG00000176009', 'ENSG00000162399']",0.9365079365079364
Deuterosomal cell,"['ENSG00000164287', 'ENSG00000165325']",0.8680555555555556
Ciliated cell,"['ENSG00000188817', 'ENSG00000179902']",0.9479360028286042
Alveolar type 1 cell,"['ENSG00000182010', 'ENSG00000136155']",0.8753804657147807
Mesothelial cell,"['ENSG00000179914', 'ENSG00000105825']",0.7228915662650602
Alveolar fibroblast 2,"['ENSG00000167779', 'ENSG00000077942']",0.829669639492526
Chondrocyte,['ENSG00000170891'],0.8823529411764706
Alveolar fibroblast 1,"['ENSG00000136546', 'ENSG00000077943']",0.7897548921391838
Secondary crest myofibroblast,"['ENSG00000106819', 'ENSG00000198542']",0.554520037278658
Pericyte,"['ENSG00000131097', 'ENSG00000171303']",0.8678640153944837
Airway smooth muscle cell,"['ENSG00000175084', 'ENSG00000114200']",0.6442021803766105
Vascular smooth muscle cell,"['ENSG00000198523', 'ENSG00000189129']",0.795131845841785
Myoepithelial cell,"['ENSG00000104332', 'ENSG00000186847']",0.8222066057624736
Lymphatic endothelial cell,['ENSG00000137077'],0.9234907352062164
Systemic venous endothelial cell,"['ENSG00000130300', 'ENSG00000174059']",0.7073755581279974
Venous endothelial cell,"['ENSG00000144837', 'ENSG00000112936']",0.7853839739216132
Arterial endothelial cell,"['ENSG00000155011', 'ENSG00000265107']",0.8394102091513743
Capillary 1 cell,"['ENSG00000167434', 'ENSG00000142748']",0.8026220396326728
Capillary 2 cell,"['ENSG00000136160', 'ENSG00000171243']",0.8513100638829738
Alveolar macrophage,"['ENSG00000183019', 'ENSG00000102575']",0.9559305629273472
Interstitial macrophage,['ENSG00000124491'],0.59389885476842
Classical DC subset 2,"['ENSG00000132514', 'ENSG00000072694']",0.5657409416359297
Classical DC subset 1,"['ENSG00000197992', 'ENSG00000100079']",0.779976717112922
Mature DC subset,['ENSG00000102962'],0.6379498364231189
Neutrophil,['ENSG00000162747'],0.8227848101265823
Inflammatory monocyte,"['ENSG00000038427', 'ENSG00000143546']",0.8080836845502525
Patrolling monocyte,"['ENSG00000028277', 'ENSG00000175489']",0.4487519915029209
Megakaryocyte/Platelet,"['ENSG00000163737', 'ENSG00000101162']",0.967741935483871
Mast/Basophil,['ENSG00000163751'],0.9582937696296836
Tuft cell,"['ENSG00000134986', 'ENSG00000137709', 'ENSG00000169435']",0.7589285714285714
Suprabasal cell,"['ENSG00000137975', 'ENSG00000206073']",0.7551362293212964
Basal cell,"['ENSG00000171462', 'ENSG00000171346']",0.8843715935241633
SMG Basal/Duct cell,"['ENSG00000164379', 'ENSG00000137673']",0.6433007985803016
Goblet cell,"['ENSG00000167653', 'ENSG00000263639']",0.7165677772706527
Secretory cell,"['ENSG00000181458', 'ENSG00000134339']",0.6948451022199925
Alveolar type 2 cell,"['ENSG00000131400', 'ENSG00000188906']",0.938751754596186
Respiratory airway secretory cell,"['ENSG00000164265', 'ENSG00000168878']",0.8709885156166148
Mucous cell,['ENSG00000078898'],0.9355194268393496
Serous cell,"['ENSG00000167419', 'ENSG00000187908']",0.7703117015840573
