clusterName,NSForest_markers,f_score,onTarget,precision,recall
T regulatory cell,"['ENSG00000049768', 'ENSG00000163599']",0.6066176470588235,1.0,0.9041095890410958,0.2619047619047619
CD4+ T cell,"['ENSG00000113263', 'ENSG00000167286']",0.5490513772016934,0.4128720760345459,0.6223341232227488,0.3732456919523894
Innate lymphoid cell,"['ENSG00000009790', 'ENSG00000174718', 'ENSG00000186810']",0.3846153846153846,1.0,0.6666666666666666,0.1428571428571428
CD8+ T cell,"['ENSG00000153563', 'ENSG00000105374', 'ENSG00000198851']",0.8400440790031364,0.4127858281135559,0.9483253588516748,0.5766656968286297
Natural killer cell,"['ENSG00000111796', 'ENSG00000115523']",0.8800762520940443,0.6869159936904907,0.9429057713136314,0.6948688711516534
Plasmacytoid DC,"['ENSG00000166428', 'ENSG00000132465']",0.7853810264385692,0.6965299844741821,0.9805825242718448,0.4372294372294372
B cell,['ENSG00000156738'],0.8504123458806239,1.0,0.91319596668128,0.6669868715978227
Plasma cell,['ENSG00000170476'],0.8287632904308898,0.6130610704421997,0.8727165586328816,0.6897997205402888
Pulmonary neuroendocrine cell,['ENSG00000134443'],0.9757575757575756,1.0,0.9749134948096886,0.9791485664639444
Ionocyte,"['ENSG00000176009', 'ENSG00000162399']",0.9365079365079364,1.0,1.0,0.7468354430379747
Deuterosomal cell,"['ENSG00000164287', 'ENSG00000165325']",0.8680555555555556,1.0,0.946969696969697,0.6510416666666666
Ciliated cell,"['ENSG00000188817', 'ENSG00000179902']",0.9479360028286042,0.6922394037246704,0.9895727599889268,0.811379284255126
Alveolar type 1 cell,"['ENSG00000182010', 'ENSG00000136155']",0.8753804657147807,1.0,0.989648901944328,0.5988150655945832
Mesothelial cell,"['ENSG00000179914', 'ENSG00000105825']",0.7228915662650602,1.0,1.0,0.3428571428571428
Alveolar fibroblast 2,"['ENSG00000167779', 'ENSG00000077942']",0.829669639492526,0.559550404548645,0.974188790560472,0.5206937327552227
Chondrocyte,['ENSG00000170891'],0.8823529411764706,1.0,1.0,0.6
Alveolar fibroblast 1,"['ENSG00000136546', 'ENSG00000077943']",0.7897548921391838,1.0,0.9559417946645108,0.4658262753594642
Secondary crest myofibroblast,"['ENSG00000106819', 'ENSG00000198542']",0.554520037278658,0.8467144966125488,0.6938775510204082,0.3074935400516795
Pericyte,"['ENSG00000131097', 'ENSG00000171303']",0.8678640153944837,1.0,0.986870897155361,0.5854608394634357
Airway smooth muscle cell,"['ENSG00000175084', 'ENSG00000114200']",0.6442021803766105,0.681763768196106,0.9923664122137404,0.268041237113402
Vascular smooth muscle cell,"['ENSG00000198523', 'ENSG00000189129']",0.795131845841785,0.4324470162391662,0.9767441860465116,0.455990694067468
Myoepithelial cell,"['ENSG00000104332', 'ENSG00000186847']",0.8222066057624736,1.0,0.9915254237288136,0.4885177453027139
Lymphatic endothelial cell,['ENSG00000137077'],0.9234907352062164,1.0,0.9395270270270272,0.8644700031084862
