clusterName,NSForest_markers,f_score,onTarget,precision,recall
T regulatory cell,"['FOXP3', 'CTLA4']",0.6066176470588235,1.0,0.9041095890410958,0.2619047619047619
CD4+ T cell,"['ITK', 'CD3D']",0.5490513772016934,0.4128720760345459,0.6223341232227488,0.3732456919523894
Innate lymphoid cell,"['TRAF3IP3', 'RESF1', 'CXCR3']",0.3846153846153846,1.0,0.6666666666666666,0.1428571428571428
CD8+ T cell,"['CD8A', 'NKG7', 'CD3E']",0.8400440790031364,0.4127858281135559,0.9483253588516748,0.5766656968286297
Natural killer cell,"['KLRB1', 'GNLY']",0.8800762520940443,0.6869159936904907,0.9429057713136314,0.6948688711516534
Plasmacytoid DC,"['PLD4', 'JCHAIN']",0.7853810264385692,0.6965299844741821,0.9805825242718448,0.4372294372294372
B cell,['MS4A1'],0.8504123458806239,1.0,0.91319596668128,0.6669868715978227
Plasma cell,['MZB1'],0.8287632904308898,0.6130610704421997,0.8727165586328816,0.6897997205402888
Pulmonary neuroendocrine cell,['GRP'],0.9757575757575756,1.0,0.9749134948096886,0.9791485664639444
Ionocyte,"['ASCL3', 'BSND']",0.9365079365079364,1.0,1.0,0.7468354430379747
Deuterosomal cell,"['CDC20B', 'DEUP1']",0.8680555555555556,1.0,0.946969696969697,0.6510416666666666
Ciliated cell,"['SNTN', 'CFAP276']",0.9479360028286042,0.6922394037246704,0.9895727599889268,0.811379284255126
Alveolar type 1 cell,"['RTKN2', 'SCEL']",0.8753804657147807,1.0,0.989648901944328,0.5988150655945832
Mesothelial cell,"['ITLN1', 'TFPI2']",0.7228915662650602,1.0,1.0,0.3428571428571428
Alveolar fibroblast 2,"['IGFBP6', 'FBLN1']",0.829669639492526,0.559550404548645,0.974188790560472,0.5206937327552227
Chondrocyte,['CYTL1'],0.8823529411764706,1.0,1.0,0.6
Alveolar fibroblast 1,"['SCN7A', 'ITGA8']",0.7897548921391838,1.0,0.9559417946645108,0.4658262753594642
Secondary crest myofibroblast,"['ASPN', 'ITGBL1']",0.554520037278658,0.8467144966125488,0.6938775510204082,0.3074935400516795
Pericyte,"['HIGD1B', 'KCNK3']",0.8678640153944837,1.0,0.986870897155361,0.5854608394634357
Airway smooth muscle cell,"['DES', 'BCHE']",0.6442021803766105,0.681763768196106,0.9923664122137404,0.268041237113402
Vascular smooth muscle cell,"['PLN', 'PLAC9']",0.795131845841785,0.4324470162391662,0.9767441860465116,0.455990694067468
Myoepithelial cell,"['SFRP1', 'KRT14']",0.8222066057624736,1.0,0.9915254237288136,0.4885177453027139
Lymphatic endothelial cell,['CCL21'],0.9234907352062164,1.0,0.9395270270270272,0.8644700031084862
Systemic venous endothelial cell,"['PLVAP', 'CD34']",0.7073755581279974,0.8470534086227417,0.8851526125193999,0.3922512608895002
Venous endothelial cell,"['PLA1A', 'C7']",0.7853839739216132,0.7688485980033875,0.9566020313942752,0.4576982549149547
Arterial endothelial cell,"['DKK2', 'GJA5']",0.8394102091513743,1.0,0.9762348555452004,0.5378690629011553
Capillary 1 cell,"['CA4', 'FCN3']",0.8026220396326728,0.4587666988372803,0.8939105080183918,0.5698455819273663
Capillary 2 cell,"['EDNRB', 'SOSTDC1']",0.8513100638829738,1.0,0.9813233724653148,0.5564296520423601
Alveolar macrophage,"['MCEMP1', 'ACP5']",0.9559305629273472,0.8491700887680054,0.9771356927110048,0.8795785196889172
Interstitial macrophage,['F13A1'],0.59389885476842,0.3078566491603851,0.690223792697291,0.3811382113821138
Classical DC subset 2,"['CLEC10A', 'FCGR2B']",0.5657409416359297,1.0,0.6279349789283564,0.4052059052059052
Classical DC subset 1,"['CLEC9A', 'LGALS2']",0.779976717112922,1.0,0.8933333333333333,0.5173745173745173
Mature DC subset,['CCL22'],0.6379498364231189,1.0,0.6842105263157895,0.5021459227467812
Neutrophil,['FCGR3B'],0.8227848101265823,1.0,0.8492462311557789,0.7316017316017316
Inflammatory monocyte,"['VCAN', 'S100A8']",0.8080836845502525,0.5035125017166138,0.979293684573795,0.475533459948609
Patrolling monocyte,"['POU2F2', 'LRRC25']",0.4487519915029209,1.0,0.5847750865051903,0.2324621733149931
Megakaryocyte/Platelet,"['PF4', 'TUBB1']",0.967741935483871,1.0,1.0,0.8571428571428571
Mast/Basophil,['CPA3'],0.9582937696296836,1.0,0.967551622418879,0.9229686950404502
Tuft cell,"['NREP', 'POU2F3', 'RASSF6']",0.7589285714285714,1.0,0.9714285714285714,0.4047619047619047
Suprabasal cell,"['CLCA2', 'SERPINB4']",0.7551362293212964,0.8267183899879456,0.7788576913846892,0.6731307684330603
Basal cell,"['DLK2', 'KRT15']",0.8843715935241633,0.5342003703117371,0.9408353913883818,0.7131694611753215
SMG Basal/Duct cell,"['FOXQ1', 'MMP7']",0.6433007985803016,0.8515415191650391,0.8950617283950617,0.302713987473904
Goblet cell,"['PSCA', 'MSMB']",0.7165677772706527,0.5446407198905945,0.7959442332065906,0.5122349102773246
Secretory cell,"['TMEM45A', 'SAA2']",0.6948451022199925,0.5970637798309326,0.8374905517762661,0.4132786273778441
Alveolar type 2 cell,"['NAPSA', 'LRRK2']",0.938751754596186,1.0,0.98635311045662,0.7868570198723007
Respiratory airway secretory cell,"['SCGB3A2', 'SFTPB']",0.8709885156166148,0.5037515163421631,0.8999168283892431,0.7717546362339515
Mucous cell,['BPIFB2'],0.9355194268393496,1.0,0.9339752407152684,0.941747572815534
Serous cell,"['LPO', 'DMBT1']",0.7703117015840573,0.8806217908859253,0.9877149877149876,0.4096467391304347
