,Airway smooth muscle cell,Alveolar fibroblast 1,Alveolar fibroblast 2,Alveolar macrophage,Alveolar type 1 cell,Alveolar type 2 cell,Arterial endothelial cell,B cell,Basal cell,CD4+ T cell,CD8+ T cell,Capillary 1 cell,Capillary 2 cell,Chondrocyte,Ciliated cell,Classical DC subset 1,Classical DC subset 2,Deuterosomal cell,Goblet cell,Inflammatory monocyte,Innate lymphoid cell,Interstitial macrophage,Ionocyte,Lymphatic endothelial cell,Mast/Basophil,Mature DC subset,Megakaryocyte/Platelet,Mesothelial cell,Mucous cell,Myoepithelial cell,Natural killer cell,Neutrophil,Patrolling monocyte,Pericyte,Plasma cell,Plasmacytoid DC,Pulmonary neuroendocrine cell,Respiratory airway secretory cell,SMG Basal/Duct cell,Secondary crest myofibroblast,Secretory cell,Serous cell,Suprabasal cell,Systemic venous endothelial cell,T regulatory cell,Tuft cell,Vascular smooth muscle cell,Venous endothelial cell
NOC2L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17230988,0.0,0.0,0.0,0.0,0.0
HES4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97491765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2002031,0.0,0.0,0.0,0.0,1.5791018,0.0,0.0,0.0,0.0,0.7544514,0.0,0.8052776,0.0,0.8165262,0.0,0.0,0.0,1.3053269,0.0
ISG15,0.0,0.0,0.0,1.0751737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2049329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31219023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTLL10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6640938,0.0,0.0,0.24908358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3578208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34925467,0.4958238,0.0,0.0,0.0,0.618937,0.0,0.0,0.0,0.0,0.0,0.33251965,0.40398726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42149562,0.0,0.0,0.0,0.39703807,0.0,0.0,0.31424725,0.0,0.0
UBE2J2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37285727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21953063,0.0,0.0,0.0,0.15734303,0.0,0.0,0.0,0.0,0.0
INTS11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.271986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24376252,0.0,0.0,0.0,0.20243151,0.0,0.0,0.0,0.0,0.0
MXRA8,0.0,0.0,0.78019303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AURKAIP1,0.0,0.0,0.0,0.818159,0.0,0.7211937,0.0,0.0,0.8225619,0.0,0.0,0.0,0.0,1.6256326,0.9736981,0.0,0.47407234,1.6544154,0.95922744,0.0,0.0,0.0,1.2508032,0.0,0.0,0.0,0.0,0.65054774,0.97812897,0.82166845,0.0,0.0,0.0,0.0,0.0,0.0,1.0279509,0.0,0.9668884,0.0,0.53700995,0.65823776,0.977965,0.0,0.0,0.9433124,0.5089659,0.0
CCNL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2236158,0.0,0.0,0.0,0.0,0.0,0.0,0.2079842,0.0,0.0
MRPL20,0.0,0.0,0.0,0.70135117,0.0,0.68198705,0.0,0.0,0.8056113,0.0,0.0,0.0,0.0,0.0,0.9014905,0.0,0.0,1.1259577,0.88900876,0.0,0.0,0.0,0.9080628,0.0,0.0,0.0,0.0,0.0,0.7370681,0.7957494,0.0,0.0,0.0,0.0,0.0,0.6516455,1.246243,0.0,0.860635,0.0,0.416055,0.5816015,0.88029903,0.0,0.0,0.80851936,0.58111,0.0
ANKRD65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34512553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40661442,0.0,0.0,0.0,0.0,0.0,0.0,1.1677774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39973986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSU72,0.0,0.0,0.0,0.73429435,0.0,0.487257,0.0,0.0,0.7256527,0.0,0.0,0.0,0.0,0.0,0.77156615,0.0,0.6123569,0.83941394,0.82434744,0.0,0.0,0.0,0.948612,0.0,0.0,0.0,0.0,0.58145756,0.9612592,0.63035196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78075576,0.0,0.26396167,0.5957005,0.74554193,0.0,0.0,0.5887337,0.0,0.0
MIB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24710408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNB1,0.0,0.0,0.0,0.51876986,0.0,0.0,0.0,0.0,0.3200125,0.0,0.0,0.0,0.0,0.0,0.0,1.0597762,0.9334271,0.30132422,0.43321723,1.0732698,0.0,0.9410548,0.74940157,0.0,0.0,1.2404019,0.0,0.0,0.4316408,0.35664067,0.0,0.0,0.0,0.0,0.0,0.8756204,0.0,0.0,0.57660866,0.0,0.0,0.0,0.4251868,0.0,0.0,0.56379116,0.0,0.0
PRKCZ,0.0,0.0,0.0,0.0,0.81127757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
