celltype_level3_fullname,mean,std,median,count,q1,q3,f_score
Plasmacytoid DC,0.9396289326609969,0.14360233369337225,0.9602631902246392,231,0.9494967767895472,0.9645911304748656,0.7853810264385692
Classical DC subset 1,0.9135022071878413,0.05945373507931022,0.930669695577771,259,0.9055689272359672,0.9392925034152755,0.779976717112922
Pulmonary neuroendocrine cell,0.8746904979667737,0.09111786350206587,0.8874537191817096,1151,0.862747058068677,0.9018061285909387,0.9757575757575756
Mesothelial cell,0.8345524908057266,0.23910550564918445,0.8701211424486976,105,0.8674219365413639,0.8708150046983449,0.7228915662650602
Patrolling monocyte,0.8274324168179938,0.17543885393159847,0.8662116974081093,2181,0.839676468441604,0.8811625417174556,0.4487519915029209
Airway smooth muscle cell,0.7958038673959584,0.24732756004987705,0.8644442677355532,485,0.8363474026724366,0.8737679658143759,0.6442021803766105
Mucous cell,0.7408636680269758,0.2966567163819211,0.8336951732588969,721,0.7912005162574287,0.8484680247263666,0.9355194268393496
Plasma cell,0.8102457482946379,0.06864160774451057,0.8287978135515097,2147,0.7934102227980726,0.8485934679413885,0.8287632904308898
Pericyte,0.7926521766863008,0.0874058361935907,0.8239121866083776,2311,0.7673862563024194,0.8437612224697955,0.8678640153944837
Lymphatic endothelial cell,0.8173525779306147,0.059127027697538304,0.8219398747235775,3217,0.7999096249075616,0.842090326396469,0.9234907352062164
Venous endothelial cell,0.8002070386331677,0.11664462273341435,0.8106891501495073,4527,0.7879069981681286,0.8314110019003256,0.7853839739216132
Goblet cell,0.7344715197318893,0.23562725242449184,0.8028761432903002,2452,0.7515161200306335,0.82247855903244,0.7165677772706527
Arterial endothelial cell,0.7721374200787474,0.10030491877234257,0.7910830886735156,3895,0.75253579212687,0.8173489474017652,0.8394102091513743
SMG Basal/Duct cell,0.6776912682517836,0.2784757361861763,0.7876931394897047,958,0.6770815063533457,0.8103568779268759,0.6433007985803016
Mature DC subset,0.7238678362930023,0.1907255444569245,0.7872555215934355,233,0.7250042861740842,0.8028322416250527,0.6379498364231189
Systemic venous endothelial cell,0.7379991399472601,0.15146117106218074,0.7742801003168056,4362,0.7240637823170568,0.8051962498461807,0.7073755581279974
Capillary 2 cell,0.7389948710920256,0.11380294011889666,0.7684004415786581,6610,0.7250280880868132,0.8007056793620843,0.8513100638829738
Basal cell,0.6903233012080466,0.18575870710408687,0.7504426586973494,12286,0.6888371396589867,0.7787410153803899,0.8843715935241633
Mast/Basophil,0.7249620753871432,0.07198922003504418,0.7377655950870846,2843,0.703007584294326,0.7687471907803323,0.9582937696296836
B cell,0.6817114960561064,0.13473042945414454,0.7228737566836555,3123,0.65503357562505,0.7592692781849015,0.8504123458806239
Deuterosomal cell,0.523119133688556,0.42717297530335196,0.7225766811028658,192,0.6546235919123383,0.7362300488339346,0.8680555555555556
Alveolar type 1 cell,0.6835274825131823,0.10328787880641947,0.7128767572027794,11815,0.6454180504595526,0.754487790983605,0.8753804657147807
Classical DC subset 2,0.6531068272712647,0.15685962353540137,0.6970770242274915,2574,0.6266002549842384,0.7275136812977145,0.5657409416359297
Alveolar fibroblast 1,0.6018514587462049,0.18892474333300863,0.6892924663853119,5077,0.5301970580400899,0.7239921409671186,0.7897548921391838
Secretory cell,0.6392097867659843,0.21266683353959911,0.6884473626797646,2681,0.6188783283568915,0.7350244112969775,0.6948451022199925
Serous cell,0.6153338767425309,0.2427789128817864,0.6881778080909247,2944,0.6283724889827974,0.7321110232078927,0.7703117015840573
Megakaryocyte/Platelet,0.5738311176232029,0.3868011096142622,0.6859631566261543,35,0.6805103107048668,0.6897902358358576,0.967741935483871
Secondary crest myofibroblast,0.5843190291278937,0.2960285709497815,0.6832019408374812,774,0.624526175818995,0.708192808036514,0.554520037278658
Natural killer cell,0.6050512693794053,0.2061502425138404,0.6758135573098885,8770,0.5885841796087259,0.721163318463039,0.8800762520940443
Capillary 1 cell,0.6221266623346753,0.1872892869399331,0.6692978943116683,13988,0.5933929249685248,0.7209158859977178,0.8026220396326728
Interstitial macrophage,0.5824618157654081,0.21596049792818964,0.6622991145930923,6150,0.558273244880021,0.7056384870326549,0.59389885476842
Respiratory airway secretory cell,0.5832837042252514,0.20150075610933577,0.6581958316273306,4206,0.5510925966844435,0.6878414021167024,0.8709885156166148
Vascular smooth muscle cell,0.5711249795466826,0.15973876506895623,0.6367488698029524,2579,0.49778261488835285,0.6805688752839463,0.795131845841785
Alveolar macrophage,0.5192099939056123,0.19321078834806982,0.5843934550858179,97466,0.44220110610698016,0.6610183116784184,0.9559305629273472
Myoepithelial cell,0.4706648420911489,0.3528417441744763,0.5695660009847617,479,0.5468230818408346,0.5787573456765716,0.8222066057624736
Alveolar type 2 cell,0.5368804391009141,0.15643418270582254,0.5656080862609492,55756,0.4531064561401472,0.6555787443983875,0.938751754596186
Ionocyte,0.4639630552848626,0.32431988697196545,0.5493241696591811,158,0.5344746973962271,0.5525758362472952,0.9365079365079364
