clusterName,NSForest_markers,f_score
LEC,['CCL21'],0.9221389559253144
AF1,"['SCN7A', 'ITGA8']",0.7845115721763259
SCMF,"['ASPN', 'ITGBL1']",0.5220620358235037
AF2,"['MFAP5', 'FBLN2']",0.8100594776312386
Chondrocyte,['CYTL1'],0.9090909090909092
Mesothelial,"['CALB2', 'UPK3B']",0.8839779005524862
Pericyte,"['HIGD1B', 'KCNK3']",0.8564308290785315
ASMC,"['DES', 'BCHE']",0.6255924170616114
VSMC,"['PLN', 'MYH11']",0.7916817033561891
MEC,"['SFRP1', 'MIA']",0.8484848484848485
Megakaryocyte/Platelet,"['PF4', 'TUBB1']",0.9393939393939394
Mast/Basophil,['CPA3'],0.9564293304994688
CD4 T,"['CD3D', 'LTB']",0.631983879831471
Treg,"['FOXP3', 'CTLA4']",0.6066176470588235
CD8 T,"['CD8A', 'NKG7', 'CD3E']",0.8394716789433578
ILC,"['TRAF3IP3', 'RESF1', 'CXCR3']",0.3846153846153846
NK,"['KLRB1', 'GNLY']",0.8812108500325955
maDC,['CCL22'],0.6358695652173914
cDC1,"['CLEC9A', 'IDO1']",0.7971938775510204
cDC2,"['CLEC10A', 'PKIB']",0.6481481481481481
Deuterosomal,"['CDC20B', 'DEUP1']",0.8646112600536193
Ciliated,"['C1orf194', 'C9orf24']",0.955840167392258
AT1,['RTKN2'],0.8732533978916869
AT2,"['NAPSA', 'SFTPA1']",0.965899568344252
RAS,"['SCGB3A2', 'SFTPB']",0.870294446515095
CAP2,"['EDNRB', 'EMCN']",0.852101326501095
CAP1,"['CA4', 'FCN3']",0.7964252116650988
AEC,"['DKK2', 'GJA5']",0.836578906371709
VEC,"['CCL23', 'SRPX']",0.677463503649635
SVEC,"['PLVAP', 'CD34']",0.7117082533589252
IM,"['F13A1', 'C1QC']",0.6024062198513138
pMON,"['LILRB2', 'POU2F2']",0.5066480055983205
iMON,"['VCAN', 'S100A8']",0.8039009465532078
Neutrophil,['FCGR3B'],0.8130841121495327
AM,"['MCEMP1', 'ACP5']",0.9549814848227096
B,['MS4A1'],0.8508242862887012
pDC,"['LILRA4', 'SCT']",0.7711038961038961
Plasma,['MZB1'],0.8243434673640623
PNEC,"['GRP', 'CHGA']",0.9774164408310748
Mucous,['BPIFB2'],0.9529860228716646
Serous,['PRB3'],0.837074034266928
SMG Basal/Duct,"['FOXQ1', 'MMP7']",0.6312148724600086
Goblet,"['MUC5AC', 'PSCA']",0.7533863985476889
Secretory,"['TMEM45A', 'SCGB1A1']",0.5687764317970038
Basal,"['DLK2', 'KRT15']",0.8805744520030234
Suprabasal,"['CLCA2', 'UPK1B']",0.7825585585585586
Tuft,"['NREP', 'POU2F3', 'RASSF6']",0.7627118644067796
Ionocyte,"['ASCL3', 'BSND']",0.937007874015748
