clusterName,NSForest_markers,f_score,onTarget,precision,recall
LEC,['CCL21'],0.9221389559253144,1.0,0.9382875605815832,0.8627450980392157
AF1,"['SCN7A', 'ITGA8']",0.7845115721763259,1.0,0.9558202074529388,0.4569329660238751
SCMF,"['ASPN', 'ITGBL1']",0.5220620358235037,0.8537646555464892,0.7155688622754491,0.2507869884575026
AF2,"['MFAP5', 'FBLN2']",0.8100594776312386,1.0,0.9897314375987362,0.4692883895131086
Chondrocyte,['CYTL1'],0.9090909090909092,1.0,1.0,0.6666666666666666
Mesothelial,"['CALB2', 'UPK3B']",0.8839779005524862,1.0,1.0,0.6037735849056604
Pericyte,"['HIGD1B', 'KCNK3']",0.8564308290785315,1.0,0.986004198740378,0.5613545816733068
ASMC,"['DES', 'BCHE']",0.6255924170616114,0.6862578794057895,0.9777777777777776,0.2563106796116505
VSMC,"['PLN', 'MYH11']",0.7916817033561891,0.447833087009729,0.8594515181194907,0.6018518518518519
MEC,"['SFRP1', 'MIA']",0.8484848484848485,0.6673459029389318,0.986449864498645,0.5440956651718983
Megakaryocyte/Platelet,"['PF4', 'TUBB1']",0.9393939393939394,1.0,1.0,0.7560975609756098
Mast/Basophil,['CPA3'],0.9564293304994688,1.0,0.964630225080386,0.9249743062692704
CD4 T,"['CD3D', 'LTB']",0.631983879831471,0.267803458527681,0.7712369597615499,0.3669562134373338
Treg,"['FOXP3', 'CTLA4']",0.6066176470588235,1.0,0.9041095890410958,0.2619047619047619
CD8 T,"['CD8A', 'NKG7', 'CD3E']",0.8394716789433578,0.4128671740234484,0.9478967495219884,0.5759512053441765
ILC,"['TRAF3IP3', 'RESF1', 'CXCR3']",0.3846153846153846,1.0,0.6666666666666666,0.1428571428571428
NK,"['KLRB1', 'GNLY']",0.8812108500325955,0.6870135467286358,0.9411230513092176,0.7023607816559359
maDC,['CCL22'],0.6358695652173914,1.0,0.6842105263157895,0.4957627118644068
cDC1,"['CLEC9A', 'IDO1']",0.7971938775510204,0.7580058371468834,0.9541984732824428,0.4807692307692308
cDC2,"['CLEC10A', 'PKIB']",0.6481481481481481,0.5901353591296488,0.8796992481203008,0.3157286044718581
Deuterosomal,"['CDC20B', 'DEUP1']",0.8646112600536193,1.0,0.9485294117647058,0.6386138613861386
Ciliated,"['C1orf194', 'C9orf24']",0.955840167392258,0.6066411061189081,0.9883102154758788,0.8448173005219985
AT1,['RTKN2'],0.8732533978916869,1.0,0.9066798614547252,0.7610266633441316
AT2,"['NAPSA', 'SFTPA1']",0.965899568344252,0.9383229449775984,0.99058477521867,0.8783465700303118
RAS,"['SCGB3A2', 'SFTPB']",0.870294446515095,0.5021324740480266,0.9003029468465987,0.767911674888419
CAP2,"['EDNRB', 'EMCN']",0.852101326501095,0.822103552981335,0.9617537313432836,0.5852135660564779
CAP1,"['CA4', 'FCN3']",0.7964252116650988,0.4529778067567666,0.8891923117319609,0.5619275189167662
AEC,"['DKK2', 'GJA5']",0.836578906371709,1.0,0.975920036347115,0.5324739712444224
VEC,"['CCL23', 'SRPX']",0.677463503649635,0.7588866993729487,0.8510028653295129,0.3731155778894472
SVEC,"['PLVAP', 'CD34']",0.7117082533589252,0.842785166333228,0.8811787072243346,0.4022564547624213
IM,"['F13A1', 'C1QC']",0.6024062198513138,0.3272963165193404,0.7592989985693849,0.329812024234892
pMON,"['LILRB2', 'POU2F2']",0.5066480055983205,1.0,0.5843422114608555,0.3307446322521699
iMON,"['VCAN', 'S100A8']",0.8039009465532078,0.4981528400815038,0.980639141590856,0.4671370631701761
Neutrophil,['FCGR3B'],0.8130841121495327,1.0,0.8446601941747572,0.7073170731707317
AM,"['MCEMP1', 'ACP5']",0.9549814848227096,0.8456188855453397,0.9766601498143797,0.8771059380548432
B,['MS4A1'],0.8508242862887012,1.0,0.9132498921018558,0.6681401957688664
pDC,"['LILRA4', 'SCT']",0.7711038961038961,1.0,1.0,0.4025423728813559
Plasma,['MZB1'],0.8243434673640623,0.6126071243042704,0.8650657518582047,0.6937184777624943
PNEC,"['GRP', 'CHGA']",0.9774164408310748,1.0,0.9881278538812786,0.9367965367965368
Mucous,['BPIFB2'],0.9529860228716646,1.0,0.9554140127388536,0.9433962264150944
Serous,['PRB3'],0.837074034266928,0.7032996238074397,0.9223267154301638,0.6111239326102008
SMG Basal/Duct,"['FOXQ1', 'MMP7']",0.6312148724600086,0.8512612425801577,0.8957055214723927,0.2893954410307235
Goblet,"['MUC5AC', 'PSCA']",0.7533863985476889,0.8790200457666386,0.9301724137931034,0.4280047600158667
Secretory,"['TMEM45A', 'SCGB1A1']",0.5687764317970038,0.6182365075306281,0.5641663704230359,0.5879955539088552
Basal,"['DLK2', 'KRT15']",0.8805744520030234,0.5168362187136863,0.941462909241608,0.6995919624297482
Suprabasal,"['CLCA2', 'UPK1B']",0.7825585585585586,0.7267672120583796,0.8826207120793367,0.5384043238954728
Tuft,"['NREP', 'POU2F3', 'RASSF6']",0.7627118644067796,1.0,0.972972972972973,0.4090909090909091
Ionocyte,"['ASCL3', 'BSND']",0.937007874015748,1.0,1.0,0.7484276729559748
