celltype_level3,mean_silhouette,std_silhouette,median_silhouette,count
AEC,0.7722248046297226,0.10207616715309652,0.7910933562220801,4034
AF1,0.5920518055380174,0.18998120580239738,0.6792133802826712,5445
AF2,0.4676044142536085,0.1782261994909241,0.5346305571533219,2670
AM,0.5222287546341496,0.1944182868799318,0.5889679268404568,101380
ASMC,0.7875560623732745,0.2566444379011629,0.858527364522489,515
AT1,0.6825693301032015,0.10289473963550261,0.7115370326398555,12039
AT2,0.534433605195086,0.15643344544135035,0.5624534714080001,59053
B,0.6819684878532927,0.1347017424881013,0.7234674970496037,3167
Basal,0.6897940999598011,0.18390596699750864,0.7496046318829829,12989
CAP1,0.6270805764826257,0.18681648863331712,0.6739561413935606,15066
CAP2,0.7391387898951175,0.11719728660992987,0.7673028220199523,7047
CD4 T,-0.009163939312057293,0.13087242545301697,-0.03140795658695264,5641
CD8 T,0.4315578344318997,0.2106891796421275,0.4963614756701246,3443
Chondrocyte,-0.9385128722097393,0.013858366610174429,-0.9365028493731391,6
Ciliated,0.33562702338134315,0.17549417161712286,0.38277033953061457,13410
Deuterosomal,0.5379903807701052,0.4231844376481733,0.7330921563105945,202
Goblet,0.7338618020452499,0.23505370743640028,0.8019549545755605,2521
ILC,-0.39352873108212405,0.1316421230275861,-0.40772365473426087,14
IM,0.5794086971042139,0.21496709571217498,0.6589033350862303,6437
Ionocyte,0.4670268793984311,0.32397386206179846,0.5519956339724281,159
LEC,0.8172071936053937,0.05815374625402374,0.8217406539024904,3366
MEC,0.603164811059191,0.32332916637754316,0.6795819419685226,669
Mast/Basophil,0.7272606788160146,0.07174560927513468,0.7395257150776483,2919
Megakaryocyte/Platelet,-0.21465160600887348,0.3284246365086356,-0.05862949279510057,41
Mesothelial,0.836559132165239,0.23826918961747048,0.8718278400709962,106
Mucous,0.7470826415655822,0.29568740787021425,0.8364156092269717,1113
NK,0.6055550394058751,0.20553585936385363,0.6760666986721999,8853
Neutrophil,-0.06320772257383048,0.3219723178758994,0.06556790178605226,246
PNEC,0.8745588842954172,0.09103849369979805,0.8872856252869927,1155
Pericyte,0.7923441324589494,0.087695640082072,0.823943413516286,2510
Plasma,0.8107303136195264,0.06816955886794149,0.828951244834211,2181
RAS,0.5832478677567158,0.20194076463025504,0.6584061829878972,4257
SCMF,0.6024087769732027,0.28358723681786546,0.6933655463602474,953
SMG Basal/Duct,0.6885522503958151,0.2705302413941229,0.7928114625602749,1009
SVEC,0.7340796359418263,0.15806444146056303,0.771476669962977,4609
Secretory,0.6403807219785181,0.2125186741167897,0.689377934490618,2699
Serous,0.6266182623201748,0.22308807350196813,0.6940722779323378,4333
Suprabasal,0.3046780493176801,0.3126129960912041,0.4204367128718916,20167
Treg,0.17325359185204292,0.3157082922407266,0.35041104696627523,252
Tuft,0.2531460323429436,0.3937911106837888,0.4165734793652488,88
VEC,0.8021137457009412,0.11389474315043553,0.8122371230694931,4776
VSMC,0.5772634822053005,0.15671640340233392,0.6424954752277463,2916
cDC1,0.9161508857703667,0.05653256772493619,0.9325887596178588,260
cDC2,0.6556691514777705,0.15737022229830422,0.7001910378732497,2594
iMON,0.4412363160792623,0.23542720402127285,0.527956498869821,17999
maDC,0.6797101752073443,0.2145981535397368,0.750991655197409,236
pDC,0.9391648386983866,0.14209148943106314,0.9597543710744822,236
pMON,0.8278099606945952,0.17516924592196628,0.8664903004767104,2189
