dataset_version_id,cluster_name,skos,manual_mapped_cid,cell_ontology_id
ad9529a3-0937-4177-9732-31dee15188c1,0,relatedMatch,CL:0000740,
ad9529a3-0937-4177-9732-31dee15188c1,1,relatedMatch,CL:0000740,
ad9529a3-0937-4177-9732-31dee15188c1,3,relatedMatch,CL:0000740,
ad9529a3-0937-4177-9732-31dee15188c1,4,relatedMatch,CL:0000740,
ad9529a3-0937-4177-9732-31dee15188c1,9,relatedMatch,CL:0000740,
ad9529a3-0937-4177-9732-31dee15188c1,11,relatedMatch,CL:0000740,
ad9529a3-0937-4177-9732-31dee15188c1,14,relatedMatch,CL:0000740,
ad9529a3-0937-4177-9732-31dee15188c1,15,relatedMatch,CL:0000740,
ad9529a3-0937-4177-9732-31dee15188c1,16,relatedMatch,CL:0000740,
ad9529a3-0937-4177-9732-31dee15188c1,18,relatedMatch,CL:0000740,
ad9529a3-0937-4177-9732-31dee15188c1,19,relatedMatch,CL:0000740,
ad9529a3-0937-4177-9732-31dee15188c1,20,relatedMatch,CL:0000740,
ad9529a3-0937-4177-9732-31dee15188c1,17_21,relatedMatch,CL:0000740,
ad9529a3-0937-4177-9732-31dee15188c1,AII,relatedMatch,CL:4030028,
ad9529a3-0937-4177-9732-31dee15188c1,AII*,relatedMatch,CL:4030028,
ad9529a3-0937-4177-9732-31dee15188c1,Astrocyte,exactMatch,CL:4033015,
ad9529a3-0937-4177-9732-31dee15188c1,BB,relatedMatch,CL:4033019,
ad9529a3-0937-4177-9732-31dee15188c1,CAI,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,CAII,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,DB1,exactMatch,CL:4033027,
ad9529a3-0937-4177-9732-31dee15188c1,DB2,exactMatch,CL:4033028,
ad9529a3-0937-4177-9732-31dee15188c1,DB3a,exactMatch,CL:4033029,
ad9529a3-0937-4177-9732-31dee15188c1,DB3b,exactMatch,CL:4033030,
ad9529a3-0937-4177-9732-31dee15188c1,DB4a,exactMatch,CL:4033095,
ad9529a3-0937-4177-9732-31dee15188c1,DB4b,exactMatch,CL:4033096,
ad9529a3-0937-4177-9732-31dee15188c1,DB5,exactMatch,CL:4033085,
ad9529a3-0937-4177-9732-31dee15188c1,DB6,exactMatch,CL:4033032,
ad9529a3-0937-4177-9732-31dee15188c1,FMB,exactMatch,CL:4033033,
ad9529a3-0937-4177-9732-31dee15188c1,GB,exactMatch,CL:4033035,
ad9529a3-0937-4177-9732-31dee15188c1,H1,exactMatch,CL:0004217,
ad9529a3-0937-4177-9732-31dee15188c1,H2,exactMatch,CL:0004218,
ad9529a3-0937-4177-9732-31dee15188c1,IMB,exactMatch,CL:4033034,
ad9529a3-0937-4177-9732-31dee15188c1,ipRGC_1,relatedMatch,CL:0020014,
ad9529a3-0937-4177-9732-31dee15188c1,ipRGC_2,relatedMatch,CL:0020014,
ad9529a3-0937-4177-9732-31dee15188c1,MG,exactMatch,CL:0000636,
ad9529a3-0937-4177-9732-31dee15188c1,MG_OFF,exactMatch,CL:4033047,
ad9529a3-0937-4177-9732-31dee15188c1,MG_ON,exactMatch,CL:4033046,
ad9529a3-0937-4177-9732-31dee15188c1,Microglia,exactMatch,CL:0000129,
ad9529a3-0937-4177-9732-31dee15188c1,ML_Cone,relatedMatch,CL:0000573,
ad9529a3-0937-4177-9732-31dee15188c1,nNOS,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,OFF-SAC,relatedMatch,CL:0004232,
ad9529a3-0937-4177-9732-31dee15188c1,OFF-SAC*,relatedMatch,CL:0004232,
ad9529a3-0937-4177-9732-31dee15188c1,OFFx,exactMatch,CL:4033036,
ad9529a3-0937-4177-9732-31dee15188c1,ON_DSGC,relatedMatch,CL:0000740,
ad9529a3-0937-4177-9732-31dee15188c1,ON-SAC,exactMatch,CL:0004232,
ad9529a3-0937-4177-9732-31dee15188c1,PENK,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,PG_OFF_1,relatedMatch,CL:4033051,
ad9529a3-0937-4177-9732-31dee15188c1,PG_OFF_2,relatedMatch,CL:4033051,
ad9529a3-0937-4177-9732-31dee15188c1,PG_ON,exactMatch,CL:4033052,
ad9529a3-0937-4177-9732-31dee15188c1,RB,exactMatch,CL:0000751,
ad9529a3-0937-4177-9732-31dee15188c1,Rod,exactMatch,CL:0000604,
ad9529a3-0937-4177-9732-31dee15188c1,RPE_CST3+,relatedMatch,CL:0002586,
ad9529a3-0937-4177-9732-31dee15188c1,RPE_INSYN2B+,relatedMatch,CL:0002586,
ad9529a3-0937-4177-9732-31dee15188c1,RPE_LGI1+,relatedMatch,CL:0002586,
ad9529a3-0937-4177-9732-31dee15188c1,RPE_TENM4+,relatedMatch,CL:0002586,
ad9529a3-0937-4177-9732-31dee15188c1,RPE_TUBA1A+,relatedMatch,CL:0002586,
ad9529a3-0937-4177-9732-31dee15188c1,S_Cone,exactMatch,CL:0003050,
ad9529a3-0937-4177-9732-31dee15188c1,SEG,relatedMatch,CL:4030028,
ad9529a3-0937-4177-9732-31dee15188c1,SEG*,relatedMatch,CL:4030028,
ad9529a3-0937-4177-9732-31dee15188c1,VG3,relatedMatch,CL:4030028,
ad9529a3-0937-4177-9732-31dee15188c1,VG3*,relatedMatch,CL:4030028,
ad9529a3-0937-4177-9732-31dee15188c1,VIP,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC11,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC12,relatedMatch,CL:4030028,
ad9529a3-0937-4177-9732-31dee15188c1,HAC13,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC14,relatedMatch,CL:4030028,
ad9529a3-0937-4177-9732-31dee15188c1,HAC15,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC17,relatedMatch,CL:0000561,
ad9529a3-0937-4177-9732-31dee15188c1,HAC18,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC19,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC2,relatedMatch,CL:0000561,
ad9529a3-0937-4177-9732-31dee15188c1,HAC20,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC21,relatedMatch,CL:4030028,
ad9529a3-0937-4177-9732-31dee15188c1,HAC23,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC24,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC26,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC27,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC28,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC29,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC3,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC30,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC32,relatedMatch,CL:4030028,
ad9529a3-0937-4177-9732-31dee15188c1,HAC33,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC34,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC35,relatedMatch,CL:4030028,
ad9529a3-0937-4177-9732-31dee15188c1,HAC37,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC38,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC39,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC4,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC40,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC41,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC42,relatedMatch,CL:4030028,
ad9529a3-0937-4177-9732-31dee15188c1,HAC44,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC45,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC46,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC48,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC49,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC5,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC50,relatedMatch,CL:0000561,
ad9529a3-0937-4177-9732-31dee15188c1,HAC51,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC52,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC53,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC54,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC55,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC56,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC57,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC59,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC6,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC60,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC62,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC63,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC64,relatedMatch,CL:4030028,
ad9529a3-0937-4177-9732-31dee15188c1,HAC65,relatedMatch,CL:0000561,
ad9529a3-0937-4177-9732-31dee15188c1,HAC66,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC68,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC71,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC72,relatedMatch,CL:0000561,
ad9529a3-0937-4177-9732-31dee15188c1,HAC74,relatedMatch,CL:0000561,
ad9529a3-0937-4177-9732-31dee15188c1,HAC75,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC77,relatedMatch,CL:4030027,
ad9529a3-0937-4177-9732-31dee15188c1,HAC78,relatedMatch,CL:4030027,
