cluster_name,skos,cell_ontology_id,cellxgene_term_id
0,relatedMatch,CL:0000740,CL:0000740
1,relatedMatch,CL:0000740,CL:0000740
3,relatedMatch,CL:0000740,CL:0000740
4,relatedMatch,CL:0000740,CL:0000740
9,relatedMatch,CL:0000740,CL:0000740
11,relatedMatch,CL:0000740,CL:0000740
14,relatedMatch,CL:0000740,CL:0000740
15,relatedMatch,CL:0000740,CL:0000740
16,relatedMatch,CL:0000740,CL:0000740
18,relatedMatch,CL:0000740,CL:0000740
19,relatedMatch,CL:0000740,CL:0000740
20,relatedMatch,CL:0000740,CL:0000740
17_21,relatedMatch,CL:0000740,CL:0000740
AII,relatedMatch,CL:4030028,CL:4030028
AII*,relatedMatch,CL:4030028,CL:4030028
Astrocyte,exactMatch,CL:4033015,CL:0000127
BB,relatedMatch,CL:4033019,CL:4033019
CAI,relatedMatch,CL:4030027,CL:4030027
CAII,relatedMatch,CL:4030027,CL:4030027
DB1,exactMatch,CL:4033027,CL:4033027
DB2,exactMatch,CL:4033028,CL:4033028
DB3a,exactMatch,CL:4033029,CL:4033029
DB3b,exactMatch,CL:4033030,CL:4033030
DB4a,exactMatch,CL:4033095,CL:4033031
DB4b,exactMatch,CL:4033096,CL:4033031
DB5,exactMatch,CL:4033085,CL:0000748
DB6,exactMatch,CL:4033032,CL:4033032
FMB,exactMatch,CL:4033033,CL:4033033
GB,exactMatch,CL:4033035,CL:4033035
H1,exactMatch,CL:0004217,CL:0004217
H2,exactMatch,CL:0004218,CL:0004218
IMB,exactMatch,CL:4033034,CL:4033034
ipRGC_1,relatedMatch,CL:0020014,CL:0020014
ipRGC_2,relatedMatch,CL:0020014,CL:0020014
MG,exactMatch,CL:0000636,CL:0000636
MG_OFF,exactMatch,CL:4033047,CL:4033047
MG_ON,exactMatch,CL:4033046,CL:4033046
Microglia,exactMatch,CL:0000129,CL:0000129
ML_Cone,relatedMatch,CL:0000573,CL:0000573
nNOS,relatedMatch,CL:4030027,CL:4030027
OFF-SAC,relatedMatch,CL:0004232,CL:0004232
OFF-SAC*,relatedMatch,CL:0004232,CL:0004232
OFFx,exactMatch,CL:4033036,CL:4033036
ON_DSGC,relatedMatch,CL:0000740,CL:0000740
ON-SAC,exactMatch,CL:0004232,CL:0004232
PENK,relatedMatch,CL:4030027,CL:4030027
PG_OFF_1,relatedMatch,CL:4033051,CL:4033051
PG_OFF_2,relatedMatch,CL:4033051,CL:4033051
PG_ON,exactMatch,CL:4033052,CL:4033052
RB,exactMatch,CL:0000751,CL:0000751
Rod,exactMatch,CL:0000604,CL:0000604
RPE_CST3+,relatedMatch,CL:0002586,CL:0002586
RPE_INSYN2B+,relatedMatch,CL:0002586,CL:0002586
RPE_LGI1+,relatedMatch,CL:0002586,CL:0002586
RPE_TENM4+,relatedMatch,CL:0002586,CL:0002586
RPE_TUBA1A+,relatedMatch,CL:0002586,CL:0002586
S_Cone,exactMatch,CL:0003050,CL:0003050
SEG,relatedMatch,CL:4030028,CL:4030028
SEG*,relatedMatch,CL:4030028,CL:4030028
VG3,relatedMatch,CL:4030028,CL:4030028
VG3*,relatedMatch,CL:4030028,CL:4030028
VIP,relatedMatch,CL:4030027,CL:4030027
HAC11,relatedMatch,CL:4030027,CL:4030027
HAC12,relatedMatch,CL:4030028,CL:4030028
HAC13,relatedMatch,CL:4030027,CL:4030027
HAC14,relatedMatch,CL:4030028,CL:4030028
HAC15,relatedMatch,CL:4030027,CL:4030027
HAC17,relatedMatch,CL:0000561,CL:0000561
HAC18,relatedMatch,CL:4030027,CL:4030027
HAC19,relatedMatch,CL:4030027,CL:4030027
HAC2,relatedMatch,CL:0000561,CL:0000561
HAC20,relatedMatch,CL:4030027,CL:4030027
HAC21,relatedMatch,CL:4030028,CL:4030028
