clusterName,gene
MG_OFF,IL1RAPL2
MG_OFF,SOX6
MG_OFF,RBPMS
MG_ON,EBF2
MG_ON,SLIT3
HRGC4,PCNT
HRGC3,ATF3
HRGC3,SLC35F2
HRGC3,ALPK3
11,STK32A
11,FOXP2
H2,TMOD1
H2,IL12A-AS1
H1,ONECUT3
H1,MEGF11
20,CMYA5
20,ADAMTS17
HRGC5,ENSG00000286637
HRGC5,PCA3
0,IL1RAPL2
0,KCND2
0,MAP4K4
0,VAT1L
18,LINC01208
18,BNC2
14,TMEM273
14,MCTP2
1,MSC-AS1
1,SEMA5A
4,MIR548XHG
4,MAN2A1
3,SATB2
3,LINC02350
HAC15,PAPPA2
HAC15,CHST9
HAC15,NDST4
HAC49,MAF
HAC49,CHST9
HAC49,PLD5
HAC49,ENSG00000271774
HAC81,LMF1
HAC81,CPAMD8
HAC81,IGSF21
HAC81,NETO1
HAC11,CHEK1
HAC11,PDGFD
PENK,PENK
PENK,NECAB1
PG_ON,COL4A2
PG_ON,ARPP21
HAC65,SDC2
HAC65,CDH6
HAC65,ADAMTS9-AS2
HAC48,CPAMD8
HAC48,ADAMTS9-AS2
HAC27,VIPR2
HAC27,CBLN2
HAC37,LINC02232
HAC37,HTR2C
HAC37,ADAMTS9-AS2
HAC39,CCBE1
HAC39,PAPPA2
HAC39,TAFA2
HAC39,ZNF385D-AS2
HAC38,MAF
HAC38,TSHZ2
HAC38,DACH2
HAC6,ENSG00000253503
HAC6,LINC01170
HAC75,DYNLRB2-AS1
HAC75,PMFBP1
HAC75,NETO1
HAC75,SAMSN1
HAC5,DYNLRB2-AS1
HAC5,PMFBP1
PG_OFF_1,C8orf34
PG_OFF_1,ENSG00000287290
PG_OFF_2,TRPC5
PG_OFF_2,COL24A1
16,PLEKHH2
16,HTR2C
15,ARPP21
15,OBI1-AS1
17_21,ENSG00000226149
17_21,PCSK6
ipRGC_2,OPRM1
ipRGC_2,CPA6
ipRGC_1,OPN4
ipRGC_1,TBX20
ON_DSGC,BNC2
ON_DSGC,ARPP21
9,LYPD6B
9,ENSG00000271774
19,ARPP21
19,GABRA1
19,SOX6
HAC18,SLC22A3
HAC18,LINC01933
HAC87,BICC1
HAC87,NETO1
HAC87,GABRA5
HAC87,RPH3A
HAC63,ENSG00000255132
HAC63,HDC
HAC63,NETO1
HAC4,HDC
HAC4,LINC03122
HAC4,INSYN2B
HAC9,HDC
HAC9,RNF220
HAC2,NXPH2
HAC2,IGF2BP2
HAC2,TSHZ2
HAC74,NXPH2
HAC74,NETO1
HAC74,TSHZ2
HAC74,GABRA5
HAC74,TMEM132D
HAC14,NELL1
HAC14,NFIB
SEG,PROM1
SEG,EBF3
HAC12,NFIX
HAC12,LINC03000
VG3,NXPH1
VG3,BNC2
VG3*,BNC2
VG3*,LINC03000
VG3*,NETO1
VG3*,SAMSN1
HAC64,COL24A1
HAC64,INSYN2A
HAC64,BNC2
HAC35,CIBAR1-DT
HAC35,NXPH2
HAC35,NFIA-AS2
HAC17,LINC02267
HAC17,ENSG00000271774
HAC54,LINC01630
HAC54,NOS1
HAC54,ADAMTS3
HAC62,HTR4
HAC62,NELL1
HAC62,RAPGEF5
HAC46,SMOC2
HAC46,NXPH1
HAC44,DCN
HAC44,PDGFRA
nNOS,NOS1
nNOS,ANOS1
HAC84,MCHR2
HAC84,ENSG00000253693
HAC84,ENSG00000254951
HAC84,PDE6A
HAC40,SMOC1
HAC40,COL24A1
HAC13,LINC01036
HAC13,IL1RAPL2
HAC57,TAC1
HAC57,NMBR
HAC57,SGCZ
CAII,SEMA3C
CAII,EYA1
HAC50,RASEF
HAC50,NXPH2
HAC21,PKD2L1
HAC21,GABRA1
HAC91,ENSG00000253693
HAC91,LINC03000
HAC91,NXPH2
HAC91,ENSG00000271774
HAC91,LAMP5
HAC91,TSHZ2
HAC32,NPHS1
HAC32,OTOGL
HAC32,LINC03000
HAC42,LINC03000
HAC42,PRDM8
HAC52,NR2F1-AS1
HAC52,PHACTR2
HAC52,CDH13
HAC24,NPY
HAC24,ENSG00000225811
HAC24,ADAMTS9-AS2
HAC28,LCNL1
HAC28,LINC03122
HAC28,RAPGEF5
HAC66,NPY
HAC66,PDE6A
