cluster,count
Rod,1066056
MG,221612
MG_OFF,189172
FMB,144086
MG_ON,139364
ML_Cone,118559
IMB,106152
RB,101199
H1,68583
DB2,68176
DB5,52358
DB1,50429
AII,50140
DB4a,44604
HAC2,44445
HAC3,38572
HAC4,38497
HAC5,38393
DB3b,35342
HAC6,26722
VG3,25272
GB,25269
DB3a,21827
HAC8,21175
HAC9,19532
DB6,18587
OFFx,15495
ON-SAC,15349
HAC11,14899
Astrocyte,14085
HAC12,12737
H2,11965
HAC13,11910
HAC14,11820
HAC15,10755
SEG,9405
HAC17,9383
HAC18,8542
S_Cone,8501
HAC19,8286
VIP,8197
HRGC3,8178
HRGC4,8035
HAC20,7927
HAC21,7906
HRGC5,6657
HAC23,6583
HAC24,6337
PENK,6329
HAC26,5929
nNOS,5919
HAC27,5887
HAC28,5622
PG_ON,5058
HAC29,5021
HAC30,4936
Microglia,4894
OFF-SAC,4647
HAC32,4645
HAC33,4613
DB4b,4553
HAC34,4222
PG_OFF_1,3997
HAC35,3872
CAII,3865
HAC37,3831
HAC38,3814
PG_OFF_2,3312
HAC39,3140
HAC40,3095
HAC41,3032
BB,2931
HAC42,2695
HAC44,2576
HAC45,2312
HAC46,2299
HAC48,2215
HAC49,2031
HAC50,1561
HAC51,1453
HAC52,1278
HAC53,1238
HAC54,1194
HAC55,1157
HAC56,1133
HAC57,1119
AII*,1057
HAC59,990
HAC60,876
HAC62,864
ipRGC_2,849
HAC63,677
HAC64,668
HAC65,595
17_21,591
HAC66,588
VG3*,584
HAC68,542
HAC71,502
HAC72,483
0,473
11,470
CAI,450
HAC74,412
HAC75,387
19,345
OFF-SAC*,274
HAC77,246
HAC78,241
15,235
SEG*,234
4,208
1,195
3,187
HAC79,186
HAC80,165
HAC81,159
18,159
HAC82,151
20,138
14,128
HAC84,117
ON_DSGC,115
ipRGC_1,115
9,96
HAC86,94
HAC87,90
HAC88,87
HAC89,84
HAC90,79
HAC91,74
HAC92,65
HAC93,55
16,50
HAC95,39
