clusterName,gene
HAC8,ENSG00000251488
HAC8,ENSG00000112319
HAC77,ENSG00000251488
HAC77,ENSG00000003989
HAC77,ENSG00000112319
HAC77,ENSG00000162670
HAC72,ENSG00000156510
HAC72,ENSG00000107736
HAC72,ENSG00000186439
HAC80,ENSG00000198914
HAC80,ENSG00000254101
HAC80,ENSG00000233639
HAC80,ENSG00000164326
HAC35,ENSG00000246662
HAC35,ENSG00000144227
HAC35,ENSG00000237928
RB,ENSG00000140563
RB,ENSG00000227681
DB5,ENSG00000082293
DB5,ENSG00000147862
DB4b,ENSG00000196569
DB4b,ENSG00000186314
DB4a,ENSG00000265485
DB4a,ENSG00000182601
IMB,ENSG00000182601
IMB,ENSG00000173157
FMB,ENSG00000169836
FMB,ENSG00000163377
OFFx,ENSG00000230316
OFFx,ENSG00000278254
DB1,ENSG00000278254
DB1,ENSG00000249464
DB3a,ENSG00000267109
DB3a,ENSG00000136267
DB6,ENSG00000165025
DB6,ENSG00000249464
Rod,ENSG00000278570
Rod,ENSG00000257165
ML_Cone,ENSG00000102076
ML_Cone,ENSG00000120500
S_Cone,ENSG00000128617
S_Cone,ENSG00000250421
DB3b,ENSG00000249803
DB3b,ENSG00000279240
DB2,ENSG00000163377
DB2,ENSG00000147862
HAC18,ENSG00000226965
HAC18,ENSG00000041515
HAC28,ENSG00000214402
HAC28,ENSG00000178722
HAC28,ENSG00000254226
HAC66,ENSG00000122585
HAC66,ENSG00000132915
HAC66,ENSG00000047617
HAC24,ENSG00000122585
HAC24,ENSG00000225811
HAC24,ENSG00000241684
HAC86,ENSG00000251680
HAC86,ENSG00000287881
HAC86,ENSG00000145555
HAC86,ENSG00000257165
HAC64,ENSG00000171502
HAC64,ENSG00000173068
HAC64,ENSG00000081479
HAC20,ENSG00000254101
HAC20,ENSG00000285681
HAC92,ENSG00000251504
HAC92,ENSG00000198914
HAC92,ENSG00000133107
HAC79,ENSG00000133454
HAC79,ENSG00000134853
HAC79,ENSG00000146648
HAC3,ENSG00000133454
HAC3,ENSG00000134853
HAC71,ENSG00000146674
HAC71,ENSG00000134853
HAC71,ENSG00000166342
HAC63,ENSG00000077522
HAC63,ENSG00000140287
HAC63,ENSG00000166342
HAC4,ENSG00000140287
HAC4,ENSG00000178722
HAC4,ENSG00000204767
HAC9,ENSG00000226965
HAC9,ENSG00000187147
