clusterName,gene
HAC8,ENSG00000251488
HAC8,EYA4
HAC77,ENSG00000251488
HAC77,SLC7A2
HAC77,EYA4
HAC77,BRINP3
HAC72,HKDC1
HAC72,CDH23
HAC72,TRDN
HAC80,POU3F3
HAC80,LINC02055
HAC80,PANTR1
HAC80,CARTPT
HAC35,CIBAR1-DT
HAC35,NXPH2
HAC35,NFIA-AS2
RB,MCTP2
RB,ENSG00000227681
DB5,COL19A1
DB5,NFIB
DB4b,LAMA2
DB4b,PRELID2
DB4a,LINC01915
DB4a,HS3ST4
IMB,HS3ST4
IMB,ADAMTS20
FMB,TACR3
FMB,TAFA4
OFFx,FEZF1-AS1
OFFx,ENSG00000278254
DB1,ENSG00000278254
DB1,LINC01091
DB3a,ENSG00000267109
DB3a,DGKB
DB6,SYK
DB6,LINC01091
Rod,NR2E3
Rod,ENSG00000257165
ML_Cone,OPN1LW
ML_Cone,ARR3
S_Cone,OPN1SW
S_Cone,ENSG00000250421
DB3b,CTB-1I21.1
DB3b,ENSG00000279240
DB2,TAFA4
DB2,NFIB
HAC18,ENSG00000226965
HAC18,MYO16
HAC28,LCNL1
HAC28,LINC03122
HAC28,LINC01933
HAC66,NPY
HAC66,PDE6A
HAC66,ANO2
HAC24,NPY
HAC24,ENSG00000225811
HAC24,ENSG00000241684
HAC86,ENSG00000251680
HAC86,ENSG00000287881
HAC86,MYO10
HAC86,ENSG00000257165
HAC64,COL24A1
HAC64,BNC2
HAC64,LRP2
HAC20,LINC02055
HAC20,ENSG00000285681
HAC92,LINC01099
HAC92,POU3F3
HAC92,TRPC4
HAC79,MYO18B
HAC79,PDGFRA
HAC79,EGFR
HAC3,MYO18B
HAC3,PDGFRA
HAC71,IGFBP3
HAC71,PDGFRA
HAC71,NETO1
HAC63,ACTN2
HAC63,HDC
HAC63,NETO1
HAC4,HDC
HAC4,LINC03122
HAC4,INSYN2B
HAC9,ENSG00000226965
HAC9,RNF220
HAC87,SLC22A3
HAC87,NETO1
HAC87,DGKB
HAC87,RPH3A
GB,NSG1
GB,TRPM1
BB,ENSG00000250971
BB,GRM6
HAC68,CARTPT
HAC68,PDE6A
HAC68,NFIA
HAC68,ANO2
HAC19,CARTPT
HAC19,ENSG00000231252
VIP,ENSG00000286481
VIP,RNF220
HAC26,PHACTR2
HAC26,CHST9
HAC26,TAFA4
HAC52,NR2F1-AS1
HAC52,PHACTR2
HAC52,CDH13
HAC53,STK32B
HAC53,DOCK2
HAC53,CDH13
HAC45,MYO16
HAC45,DOCK2
HAC60,PKN2-AS1
HAC60,TAFA1
HAC30,SYT10
HAC30,GHR
HAC30,TMEM132D
HAC27,VIPR2
HAC27,CBLN2
HAC48,CPAMD8
HAC48,ENSG00000241684
HAC65,SDC2
HAC65,CDH6
HAC65,ENSG00000241684
HAC55,CLNK
HAC55,ENSG00000241684
HAC55,CDH22
HAC51,ENSG00000241743
HAC51,ADAMTSL1
HAC51,GBX2-AS1
HAC23,HTR2C
HAC23,NELL1
HAC23,PTH2R
HAC34,ENSG00000232885
HAC34,EOMES
HAC37,LINC02232
HAC37,HTR2C
HAC37,ENSG00000241684
HAC39,CCBE1
HAC39,TAFA2
HAC39,ZNF385D-AS2
HAC39,SGCD
HAC88,ONECUT2
HAC88,ENSG00000288105
HAC88,SHISA9
HAC44,DCN
HAC44,PDGFRA
HAC46,SMOC2
HAC46,NXPH1
HAC54,LINC01630
HAC54,NOS1
HAC54,ADAMTS3
HAC62,HTR4
HAC62,NELL1
HAC62,RAPGEF5
nNOS,NOS1
nNOS,ANOS1
HAC33,KCNG3
HAC33,GDNF-AS1
HAC33,SEMA5B
HAC40,SMOC1
HAC40,COL24A1
HAC78,ENSG00000234710
HAC78,ENSG00000287092
HAC78,LINC02653
HAC56,HTR2C
HAC56,MRAP2
HAC56,TAFA2
HAC57,TAC1
HAC57,NMBR
HAC57,SGCZ
HAC13,LINC01036
HAC13,IL1RAPL2
HAC82,LINC01036
HAC82,LINC01830
HAC82,ENSG00000286415
HAC82,FGD5
PENK,PENK
PENK,NECAB1
HAC6,ENSG00000253503
HAC6,ENSG00000253807
HAC38,LRIG3
HAC38,TSHZ2
HAC38,SORCS3
HAC75,ENSG00000259867
HAC75,PMFBP1
HAC75,NETO1
HAC75,SAMSN1
HAC5,ENSG00000259867
HAC5,PMFBP1
HAC49,MAF
HAC49,CHST9
HAC49,PLD5
HAC15,PAPPA2
HAC15,CHST9
HAC15,NDST4
HAC89,IL15
HAC89,LTBP1
HAC89,BHLHE22
HAC89,PAPPA2
HAC89,CHST9
HAC11,CHEK1
HAC11,PDGFD
HAC81,PDGFD
HAC81,CEROX1
HAC81,CPAMD8
HAC81,CRYBG3
HAC81,IGSF21
HAC93,ALDH1A2
HAC93,NELL1
HAC93,ENSG00000254951
HAC93,PPEF2
HAC14,NELL1
HAC14,NFIB
HAC29,RNF220
HAC29,CCBE1
CAI,FGF10
CAI,TH
CAI,VIPR2
CAII,SEMA3C
CAII,EYA1
HAC41,TAC1
HAC41,GBX2-AS1
HAC41,ACTN2
HAC59,TDRD15
HAC59,NECAB2
HAC32,NPHS1
HAC32,OTOGL
HAC32,ENSG00000241956
HAC42,ENSG00000241956
HAC42,PRDM8
HAC91,NXPH2
HAC91,ENSG00000271774
HAC91,ROR1
HAC91,ARHGAP18
HAC91,TMEM132D
HAC50,RASEF
HAC50,NXPH2
HAC95,LINC00616
HAC95,LGR5
HAC95,ENSG00000254951
HAC95,ENSG00000237978
HAC74,NXPH2
HAC74,NETO1
HAC74,TSHZ2
HAC74,TMEM132D
HAC74,SAMSN1
HAC17,ENSG00000248510
HAC17,ENSG00000271774
HAC2,LAMP5
HAC2,IGF2BP2
HAC2,TSHZ2
HAC90,ATP11C
HAC90,NXPH2
HAC90,PDE6A
HAC90,ENSG00000271774
VG3*,BNC2
VG3*,ENSG00000241956
VG3*,NETO1
SEG,PROM1
SEG,EBF3
SEG*,NFIX
SEG*,SATB2
SEG*,PDE6A
HAC12,NFIX
HAC12,ENSG00000241956
HAC21,PKD2L1
HAC21,CTXND1
HAC84,MCHR2
HAC84,ENSG00000253693
HAC84,PDE6A
HAC84,ARHGAP18
VG3,NXPH1
VG3,BNC2
AII,SLC12A7
AII,NFIA-AS2
AII*,SLC12A7
AII*,EYS
AII*,ABCA4
20,CMYA5
20,ADAMTS17
MG_ON,EBF2
MG_ON,SLIT3
MG_OFF,SOX6
MG_OFF,MCTP1
MG_OFF,SORCS1
0,NEFL
0,NFIA
0,SCG5
0,VAT1L
HRGC4,PCNT
HRGC5,ENSG00000286637
HRGC5,PCA3
HRGC3,ATF3
HRGC3,SLC35F2
HRGC3,ALPK3
ipRGC_1,OPN4
ipRGC_1,TBX20
PG_ON,COL4A2
PG_ON,ARPP21
19,ARPP21
19,GABRA1
19,SOX6
9,LYPD6B
9,PMFBP1
ON_DSGC,BNC2
ON_DSGC,ENSG00000226149
ipRGC_2,OPRM1
ipRGC_2,CPA6
16,PLEKHH2
16,EBF2
15,ADAMTS12
15,ARPP21
1,MSC-AS1
1,SEMA5A
4,ENSG00000224141
4,MAN2A1
3,MSC-AS1
3,ENSG00000255595
17_21,ENSG00000226149
17_21,PCSK6
14,TMEM273
14,MCTP2
18,MIR4500HG
18,MIR137HG
18,ENSG00000228566
PG_OFF_2,TRPC5
PG_OFF_2,COL24A1
H2,TMOD1
H2,HS3ST3A1
H1,ONECUT3
H1,MEGF11
MG,FAP
MG,RGR
Astrocyte,ENSG00000243620
Microglia,SLC11A1
PG_OFF_1,C8orf34
PG_OFF_1,ENSG00000287290
11,STK32A
11,FOXP2
OFF-SAC*,CCDC39
OFF-SAC*,SLC5A7
OFF-SAC*,NETO1
OFF-SAC*,SAMSN1
ON-SAC,TNFRSF11A
ON-SAC,CCDC39
OFF-SAC,SH3BP4
OFF-SAC,CCDC39
