clusterName,NSForest_markers,f_score,onTarget,precision,recall
HAC8,"['ENSG00000251488', 'EYA4']",0.6398585615407764,0.3523458242416382,0.8205499276410999,0.3402
HAC77,"['ENSG00000251488', 'SLC7A2', 'EYA4', 'BRINP3']",0.0724777734827986,0.2111877501010894,0.0608766233766233,0.3048780487804878
HAC72,"['HKDC1', 'CDH23', 'TRDN']",0.0797549557880136,0.2915760576725006,0.0656361474435196,0.5714285714285714
HAC80,"['POU3F3', 'LINC02055', 'PANTR1', 'CARTPT']",0.0514995455922447,0.2039244472980499,0.0433673469387755,0.206060606060606
HAC35,"['CIBAR1-DT', 'NXPH2', 'NFIA-AS2']",0.8048063623789765,0.0888332799077034,0.9677754677754676,0.4808884297520661
RB,"['MCTP2', 'ENSG00000227681']",0.8795650151197953,0.3416222929954529,0.9921285667431944,0.605
DB5,"['COL19A1', 'NFIB']",0.8020371396895787,0.5423930287361145,0.9817642069550466,0.463
DB4b,"['LAMA2', 'PRELID2']",0.6592723621934312,0.1395329982042312,0.6741627963823026,0.6057544476169558
DB4a,"['LINC01915', 'HS3ST4']",0.8410991636798089,0.5629720687866211,0.9594548551959114,0.5632
IMB,"['HS3ST4', 'ADAMTS20']",0.7747299950908199,0.2135717421770095,0.8941218130311614,0.505
FMB,"['TACR3', 'TAFA4']",0.7664155770324048,0.1961927711963653,0.951058201058201,0.4314
OFFx,"['FEZF1-AS1', 'ENSG00000278254']",0.857109719322663,0.8279461860656738,0.9656974844821954,0.5912
DB1,"['ENSG00000278254', 'LINC01091']",0.762999487704918,0.3604927659034729,0.8978899773926149,0.4766
DB3a,"['ENSG00000267109', 'DGKB']",0.8515531660692951,0.5379068851470947,0.9713798977853492,0.5702
DB6,"['SYK', 'LINC01091']",0.721627099015634,0.3963811099529266,0.9047186932849364,0.3988
Rod,"['NR2E3', 'ENSG00000257165']",0.8239688812052358,0.2100583016872406,0.953554841014648,0.5338
ML_Cone,"['OPN1LW', 'ARR3']",0.7224,0.748731791973114,0.9632,0.3612
S_Cone,"['OPN1SW', 'ENSG00000250421']",0.9407648334318944,0.8156905770301819,0.9986921266021448,0.7636
