clusterName,NSForest_markers,f_score
HAC8,"['ENSG00000251488', 'EYA4']",0.6398585615407764
HAC77,"['ENSG00000251488', 'SLC7A2', 'EYA4', 'BRINP3']",0.0724777734827986
HAC72,"['HKDC1', 'CDH23', 'TRDN']",0.0797549557880136
HAC80,"['POU3F3', 'LINC02055', 'PANTR1', 'CARTPT']",0.0514995455922447
HAC35,"['CIBAR1-DT', 'NXPH2', 'NFIA-AS2']",0.8048063623789765
RB,"['MCTP2', 'ENSG00000227681']",0.8795650151197953
DB5,"['COL19A1', 'NFIB']",0.8020371396895787
DB4b,"['LAMA2', 'PRELID2']",0.6592723621934312
DB4a,"['LINC01915', 'HS3ST4']",0.8410991636798089
IMB,"['HS3ST4', 'ADAMTS20']",0.7747299950908199
FMB,"['TACR3', 'TAFA4']",0.7664155770324048
OFFx,"['FEZF1-AS1', 'ENSG00000278254']",0.857109719322663
DB1,"['ENSG00000278254', 'LINC01091']",0.762999487704918
DB3a,"['ENSG00000267109', 'DGKB']",0.8515531660692951
DB6,"['SYK', 'LINC01091']",0.721627099015634
Rod,"['NR2E3', 'ENSG00000257165']",0.8239688812052358
ML_Cone,"['OPN1LW', 'ARR3']",0.7224
S_Cone,"['OPN1SW', 'ENSG00000250421']",0.9407648334318944
DB3b,"['CTB-1I21.1', 'ENSG00000279240']",0.7286995515695067
DB2,"['TAFA4', 'NFIB']",0.8265771472004054
HAC18,"['ENSG00000226965', 'MYO16']",0.718482167542162
HAC28,"['LCNL1', 'LINC03122', 'LINC01933']",0.614841745081266
HAC66,"['NPY', 'PDE6A', 'ANO2']",0.5200501253132832
HAC24,"['NPY', 'ENSG00000225811', 'ENSG00000241684']",0.6785907492561536
HAC86,"['ENSG00000251680', 'ENSG00000287881', 'MYO10', 'ENSG00000257165']",0.6045751633986928
HAC64,"['COL24A1', 'BNC2', 'LRP2']",0.6024096385542169
HAC20,"['LINC02055', 'ENSG00000285681']",0.7337461300309598
HAC92,"['LINC01099', 'POU3F3', 'TRPC4']",0.0346020761245674
HAC79,"['MYO18B', 'PDGFRA', 'EGFR']",0.0408580183861082
HAC3,"['MYO18B', 'PDGFRA']",0.6606739761367301
HAC71,"['IGFBP3', 'PDGFRA', 'NETO1']",0.6790945406125166
HAC63,"['ACTN2', 'HDC', 'NETO1']",0.6582482536270822
HAC4,"['HDC', 'LINC03122', 'INSYN2B']",0.5516378525932666
HAC9,"['ENSG00000226965', 'RNF220']",0.8211009174311926
HAC87,"['SLC22A3', 'NETO1', 'DGKB', 'RPH3A']",0.5785123966942148
GB,"['NSG1', 'TRPM1']",0.8069241011984021
BB,"['ENSG00000250971', 'GRM6']",0.8592090624051785
HAC68,"['CARTPT', 'PDE6A', 'NFIA', 'ANO2']",0.6261510128913443
HAC19,"['CARTPT', 'ENSG00000231252']",0.7756653992395437
VIP,"['ENSG00000286481', 'RNF220']",0.881747483989021
HAC26,"['PHACTR2', 'CHST9', 'TAFA4']",0.7542779945962174
HAC52,"['NR2F1-AS1', 'PHACTR2', 'CDH13']",0.4585152838427948
HAC53,"['STK32B', 'DOCK2', 'CDH13']",0.569811320754717
HAC45,"['MYO16', 'DOCK2']",0.7665553700612131
HAC60,"['PKN2-AS1', 'TAFA1']",0.5232558139534884
HAC30,"['SYT10', 'GHR', 'TMEM132D']",0.7041910331384016
HAC27,"['VIPR2', 'CBLN2']",0.6574533255542591
HAC48,"['CPAMD8', 'ENSG00000241684']",0.6222603392414713
HAC65,"['SDC2', 'CDH6', 'ENSG00000241684']",0.6973400431344356
HAC55,"['CLNK', 'ENSG00000241684', 'CDH22']",0.4638388770216661
HAC51,"['ENSG00000241743', 'ADAMTSL1', 'GBX2-AS1']",0.6687099470604625
HAC23,"['HTR2C', 'NELL1', 'PTH2R']",0.6671179302045728
HAC34,"['ENSG00000232885', 'EOMES']",0.7005868040646915
HAC37,"['LINC02232', 'HTR2C', 'ENSG00000241684']",0.7391966117397922
HAC39,"['CCBE1', 'TAFA2', 'ZNF385D-AS2', 'SGCD']",0.7141327623126338
HAC88,"['ONECUT2', 'ENSG00000288105', 'SHISA9']",0.4679802955665024
HAC44,"['DCN', 'PDGFRA']",0.7397959183673469
HAC46,"['SMOC2', 'NXPH1']",0.730844793713163
HAC54,"['LINC01630', 'NOS1', 'ADAMTS3']",0.7458307597282273
HAC62,"['HTR4', 'NELL1', 'RAPGEF5']",0.7375776397515528
nNOS,"['NOS1', 'ANOS1']",0.6498646820027063
HAC33,"['KCNG3', 'GDNF-AS1', 'SEMA5B']",0.8043087971274686
HAC40,"['SMOC1', 'COL24A1']",0.7151611717122196
HAC78,"['ENSG00000234710', 'ENSG00000287092', 'LINC02653']",0.6759098786828422
HAC56,"['HTR2C', 'MRAP2', 'TAFA2']",0.396039603960396
HAC57,"['TAC1', 'NMBR', 'SGCZ']",0.5705705705705706
HAC13,"['LINC01036', 'IL1RAPL2']",0.7641537107656204
HAC82,"['LINC01036', 'LINC01830', 'ENSG00000286415', 'FGD5']",0.0554357868801971
PENK,"['PENK', 'NECAB1']",0.6172096317280453
HAC6,"['ENSG00000253503', 'ENSG00000253807']",0.6275695284159613
HAC38,"['LRIG3', 'TSHZ2', 'SORCS3']",0.6495553759094583
HAC75,"['ENSG00000259867', 'PMFBP1', 'NETO1', 'SAMSN1']",0.5893074119076549
HAC5,"['ENSG00000259867', 'PMFBP1']",0.6967896023105976
HAC49,"['MAF', 'CHST9', 'PLD5']",0.6522352277534903
HAC15,"['PAPPA2', 'CHST9', 'NDST4']",0.5537712391214256
HAC89,"['IL15', 'LTBP1', 'BHLHE22', 'PAPPA2', 'CHST9']",0.0375375375375375
HAC11,"['CHEK1', 'PDGFD']",0.7085096735187424
HAC81,"['PDGFD', 'CEROX1', 'CPAMD8', 'CRYBG3', 'IGSF21']",0.5445544554455446
HAC93,"['ALDH1A2', 'NELL1', 'ENSG00000254951', 'PPEF2']",0.7407407407407407
HAC14,"['NELL1', 'NFIB']",0.7930747263207997
HAC29,"['RNF220', 'CCBE1']",0.7954804189435337
CAI,"['FGF10', 'TH', 'VIPR2']",0.7565217391304347
CAII,"['SEMA3C', 'EYA1']",0.866774916879301
HAC41,"['TAC1', 'GBX2-AS1', 'ACTN2']",0.6364306784660767
HAC59,"['TDRD15', 'NECAB2']",0.6945589447650453
HAC32,"['NPHS1', 'OTOGL', 'ENSG00000241956']",0.7329309398761464
HAC42,"['ENSG00000241956', 'PRDM8']",0.7077122488658457
HAC91,"['NXPH2', 'ENSG00000271774', 'ROR1', 'ARHGAP18', 'TMEM132D']",0.3937007874015748
HAC50,"['RASEF', 'NXPH2']",0.6940315572833295
HAC95,"['LINC00616', 'LGR5', 'ENSG00000254951', 'ENSG00000237978']",0.7086614173228346
HAC74,"['NXPH2', 'NETO1', 'TSHZ2', 'TMEM132D', 'SAMSN1']",0.5888429752066116
HAC17,"['ENSG00000248510', 'ENSG00000271774']",0.722927807486631
HAC2,"['LAMP5', 'IGF2BP2', 'TSHZ2']",0.5840355805243446
HAC90,"['ATP11C', 'NXPH2', 'PDE6A', 'ENSG00000271774']",0.7035175879396985
VG3*,"['BNC2', 'ENSG00000241956', 'NETO1']",0.6436965811965812
SEG,"['PROM1', 'EBF3']",0.8163913595933926
SEG*,"['NFIX', 'SATB2', 'PDE6A']",0.5720823798627003
HAC12,"['NFIX', 'ENSG00000241956']",0.6255618819298772
HAC21,"['PKD2L1', 'CTXND1']",0.8296330918438888
HAC84,"['MCHR2', 'ENSG00000253693', 'PDE6A', 'ARHGAP18']",0.6389776357827476
VG3,"['NXPH1', 'BNC2']",0.8342547545333923
AII,"['SLC12A7', 'NFIA-AS2']",0.7616134384072999
AII*,"['SLC12A7', 'EYS', 'ABCA4']",0.6433895645351118
20,"['CMYA5', 'ADAMTS17']",0.0228294943437372
MG_ON,"['EBF2', 'SLIT3']",0.6363917207290701
MG_OFF,"['SOX6', 'MCTP1', 'SORCS1']",0.5748017924853499
0,"['NEFL', 'NFIA', 'SCG5', 'VAT1L']",0.0926743159752868
HRGC4,['PCNT'],0.262979465323518
HRGC5,"['ENSG00000286637', 'PCA3']",0.1974706491712707
HRGC3,"['ATF3', 'SLC35F2', 'ALPK3']",0.7491664351208669
ipRGC_1,"['OPN4', 'TBX20']",0.8782201405152225
PG_ON,"['COL4A2', 'ARPP21']",0.7488905325443787
19,"['ARPP21', 'GABRA1', 'SOX6']",0.7271815446339017
9,"['LYPD6B', 'PMFBP1']",0.55
ON_DSGC,"['BNC2', 'ENSG00000226149']",0.599250936329588
ipRGC_2,"['OPRM1', 'CPA6']",0.7174666006927264
16,"['PLEKHH2', 'EBF2']",0.4929577464788732
15,"['ADAMTS12', 'ARPP21']",0.604075691411936
1,"['MSC-AS1', 'SEMA5A']",0.505443234836703
4,"['ENSG00000224141', 'MAN2A1']",0.3875
3,"['MSC-AS1', 'ENSG00000255595']",0.5808656036446469
17_21,"['ENSG00000226149', 'PCSK6']",0.6597774244833068
14,"['TMEM273', 'MCTP2']",0.5381944444444444
18,"['MIR4500HG', 'MIR137HG', 'ENSG00000228566']",0.5970149253731343
PG_OFF_2,"['TRPC5', 'COL24A1']",0.6707434514637904
H2,"['TMOD1', 'HS3ST3A1']",0.7254247572815534
H1,"['ONECUT3', 'MEGF11']",0.8615707162284678
MG,"['FAP', 'RGR']",0.77829502473087
Astrocyte,['ENSG00000243620'],0.8702472373103577
Microglia,['SLC11A1'],0.9152652005174644
PG_OFF_1,"['C8orf34', 'ENSG00000287290']",0.7802915637696168
11,"['STK32A', 'FOXP2']",0.6263048016701461
OFF-SAC*,"['CCDC39', 'SLC5A7', 'NETO1', 'SAMSN1']",0.7112676056338029
ON-SAC,"['TNFRSF11A', 'CCDC39']",0.7144854586129754
OFF-SAC,"['SH3BP4', 'CCDC39']",0.7393410141630586
