software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,author_cell_type,HAC8,5000,0.6398585615407764,0.8205499276410999,0.3402,377757,372,3299,1701,2,"['ENSG00000251488', 'ENSG00000112319']","['ENSG00000251488', 'ENSG00000164694', 'ENSG00000003989', 'ENSG00000112319', 'ENSG00000228566', 'ENSG00000138650', 'ENSG00000249207', 'ENSG00000113805', 'ENSG00000162599', 'ENSG00000162670']",0.3523458242416382
4.1,author_cell_type,HAC77,246,0.0724777734827986,0.0608766233766233,0.3048780487804878,381726,1157,171,75,4,"['ENSG00000251488', 'ENSG00000003989', 'ENSG00000112319', 'ENSG00000162670']","['ENSG00000251488', 'ENSG00000003989', 'ENSG00000228566', 'ENSG00000112319', 'ENSG00000138650', 'ENSG00000162670', 'ENSG00000155307', 'ENSG00000165588', 'ENSG00000101542', 'ENSG00000119139']",0.2111877501010894
4.1,author_cell_type,HAC72,483,0.0797549557880136,0.0656361474435196,0.5714285714285714,378717,3929,207,276,3,"['ENSG00000156510', 'ENSG00000107736', 'ENSG00000186439']","['ENSG00000156510', 'ENSG00000140522', 'ENSG00000107736', 'ENSG00000091513', 'ENSG00000186439', 'ENSG00000156076', 'ENSG00000165078', 'ENSG00000137571', 'ENSG00000136111', 'ENSG00000151136']",0.2915760576725006
4.1,author_cell_type,HAC80,165,0.0514995455922447,0.0433673469387755,0.206060606060606,382214,750,131,34,4,"['ENSG00000198914', 'ENSG00000254101', 'ENSG00000233639', 'ENSG00000164326']","['ENSG00000198914', 'ENSG00000254101', 'ENSG00000233639', 'ENSG00000285681', 'ENSG00000164326', 'ENSG00000163377', 'ENSG00000147862', 'ENSG00000196517', 'ENSG00000101463', 'ENSG00000147488']",0.2039244472980499
4.1,author_cell_type,HAC35,3872,0.8048063623789765,0.9677754677754676,0.4808884297520661,379195,62,2010,1862,3,"['ENSG00000246662', 'ENSG00000144227', 'ENSG00000237928']","['ENSG00000186340', 'ENSG00000287424', 'ENSG00000137672', 'ENSG00000246662', 'ENSG00000144227', 'ENSG00000237928', 'ENSG00000145451', 'ENSG00000072657', 'ENSG00000185053', 'ENSG00000113805']",0.0888332799077034
4.1,author_cell_type,RB,5000,0.8795650151197953,0.9921285667431944,0.605,378105,24,1975,3025,2,"['ENSG00000140563', 'ENSG00000227681']","['ENSG00000287976', 'ENSG00000264630', 'ENSG00000178538', 'ENSG00000140563', 'ENSG00000111961', 'ENSG00000227681', 'ENSG00000203727', 'ENSG00000115556', 'ENSG00000165966', 'ENSG00000154229']",0.3416222929954529
4.1,author_cell_type,DB5,5000,0.8020371396895787,0.9817642069550466,0.463,378086,43,2685,2315,2,"['ENSG00000082293', 'ENSG00000147862']","['ENSG00000082293', 'ENSG00000231424', 'ENSG00000041515', 'ENSG00000080200', 'ENSG00000197584', 'ENSG00000147862', 'ENSG00000136267', 'ENSG00000154229', 'ENSG00000184005', 'ENSG00000249853']",0.5423930287361145
4.1,author_cell_type,DB4b,4553,0.6592723621934312,0.6741627963823026,0.6057544476169558,377243,1333,1795,2758,2,"['ENSG00000196569', 'ENSG00000186314']","['ENSG00000272180', 'ENSG00000282943', 'ENSG00000258751', 'ENSG00000132204', 'ENSG00000196569', 'ENSG00000186314', 'ENSG00000166342', 'ENSG00000162599', 'ENSG00000182348', 'ENSG00000198929']",0.1395329982042312
4.1,author_cell_type,DB4a,5000,0.8410991636798089,0.9594548551959114,0.5632,378010,119,2184,2816,2,"['ENSG00000265485', 'ENSG00000182601']","['ENSG00000265485', 'ENSG00000263551', 'ENSG00000118271', 'ENSG00000132204', 'ENSG00000188916', 'ENSG00000182601', 'ENSG00000110693', 'ENSG00000182348', 'ENSG00000147862', 'ENSG00000231672']",0.5629720687866211
4.1,author_cell_type,IMB,5000,0.7747299950908199,0.8941218130311614,0.505,377830,299,2475,2525,2,"['ENSG00000182601', 'ENSG00000173157']","['ENSG00000113100', 'ENSG00000100987', 'ENSG00000182601', 'ENSG00000173157', 'ENSG00000111886', 'ENSG00000079691', 'ENSG00000060982', 'ENSG00000227681', 'ENSG00000254787', 'ENSG00000203727']",0.2135717421770095
4.1,author_cell_type,FMB,5000,0.7664155770324048,0.951058201058201,0.4314,378018,111,2843,2157,2,"['ENSG00000169836', 'ENSG00000163377']","['ENSG00000163492', 'ENSG00000286980', 'ENSG00000169836', 'ENSG00000132204', 'ENSG00000163377', 'ENSG00000136267', 'ENSG00000166342', 'ENSG00000171189', 'ENSG00000185942', 'ENSG00000176771']",0.1961927711963653
4.1,author_cell_type,OFFx,5000,0.857109719322663,0.9656974844821954,0.5912,378024,105,2044,2956,2,"['ENSG00000230316', 'ENSG00000278254']","['ENSG00000230316', 'ENSG00000259048', 'ENSG00000278254', 'ENSG00000047648', 'ENSG00000169836', 'ENSG00000122584', 'ENSG00000165966', 'ENSG00000166342', 'ENSG00000105507', 'ENSG00000131773']",0.8279461860656738
4.1,author_cell_type,DB1,5000,0.762999487704918,0.8978899773926149,0.4766,377858,271,2617,2383,2,"['ENSG00000278254', 'ENSG00000249464']","['ENSG00000157404', 'ENSG00000278254', 'ENSG00000249464', 'ENSG00000169836', 'ENSG00000065320', 'ENSG00000175344', 'ENSG00000144227', 'ENSG00000053747', 'ENSG00000134160', 'ENSG00000166342']",0.3604927659034729
4.1,author_cell_type,DB3a,5000,0.8515531660692951,0.9713798977853492,0.5702,378045,84,2149,2851,2,"['ENSG00000267109', 'ENSG00000136267']","['ENSG00000267109', 'ENSG00000232046', 'ENSG00000249464', 'ENSG00000165966', 'ENSG00000044524', 'ENSG00000136267', 'ENSG00000170381', 'ENSG00000171189', 'ENSG00000178568', 'ENSG00000169891']",0.5379068851470947
4.1,author_cell_type,DB6,5000,0.721627099015634,0.9047186932849364,0.3988,377919,210,3006,1994,2,"['ENSG00000165025', 'ENSG00000249464']","['ENSG00000197826', 'ENSG00000198075', 'ENSG00000138646', 'ENSG00000165025', 'ENSG00000286980', 'ENSG00000249464', 'ENSG00000113262', 'ENSG00000134160', 'ENSG00000275443', 'ENSG00000166342']",0.3963811099529266
4.1,author_cell_type,Rod,5000,0.8239688812052358,0.953554841014648,0.5338,377999,130,2331,2669,2,"['ENSG00000278570', 'ENSG00000257165']","['ENSG00000255553', 'ENSG00000278570', 'ENSG00000198515', 'ENSG00000257165', 'ENSG00000185527', 'ENSG00000133256', 'ENSG00000156194', 'ENSG00000254951', 'ENSG00000129221', 'ENSG00000070729']",0.2100583016872406
4.1,author_cell_type,ML_Cone,5000,0.7224,0.9632,0.3612,378060,69,3194,1806,2,"['ENSG00000102076', 'ENSG00000120500']","['ENSG00000102076', 'ENSG00000285842', 'ENSG00000114124', 'ENSG00000259221', 'ENSG00000120500', 'ENSG00000170289', 'ENSG00000101977', 'ENSG00000164318', 'ENSG00000038945', 'ENSG00000253496']",0.748731791973114
