author_cell_type,mean_silhouette,std_silhouette,median_silhouette,count
0,0.7545338086297245,0.17288054242567322,0.7964384640016122,473
1,0.7650729406236743,0.12676300120737002,0.8166676383452476,195
11,0.7773004127617664,0.18948464217023545,0.8339879470221574,470
14,0.6227942722687051,0.3278865238780782,0.7673835469597459,128
15,0.7176355987848247,0.1481181962683417,0.7643681219658824,235
16,0.35610218387079,0.35171910613368207,0.49600891147416576,50
17_21,0.49685125866932617,0.23264021211288288,0.5580841445278609,591
18,0.7080559827994135,0.1934145318931788,0.7751123717617435,159
19,0.5788645101331806,0.2466364765426133,0.6716111600338097,345
20,0.780720498094389,0.1416329825720367,0.8279902182948368,138
3,0.6043735387820632,0.3598587478946295,0.7744483152377399,187
4,-0.5818185314444184,0.14830373931593663,-0.5877928568408994,208
9,0.5068141535493104,0.23110203977962315,0.5978533024084323,96
AII,0.2183044516371702,0.2933767623270338,0.3362878302496689,50140
AII*,0.3024543100332065,0.2991727532898682,0.4343299438075168,1057
Astrocyte,0.5793035234704177,0.17132499010160523,0.6320444301284078,14085
BB,0.5836955576732877,0.2897872743885807,0.699881420752705,2931
CAI,-0.1311617660463722,0.32297163275862095,-0.03243294599246465,450
CAII,0.5170141606807347,0.25988247160300265,0.6300692040095482,3865
DB1,0.5903696725304213,0.18283371840782306,0.6403541782989716,50429
DB2,0.5310579383070739,0.16664372615293527,0.5781705638880764,68176
DB3a,0.5830464295232413,0.167254967912649,0.6193824388039594,21827
DB3b,0.6343774071613258,0.16615534069105165,0.6794201173661801,35342
DB4a,0.33870975578281093,0.23569203495259666,0.41425903545357307,44604
DB4b,0.5870180435185947,0.2633560548482139,0.6873703186098037,4553
DB5,0.5979057568060321,0.16322037964405814,0.6377034194614022,52358
DB6,0.6070911290493396,0.17512098689859715,0.6508550593906035,18587
FMB,0.49479344415744764,0.18449167149642232,0.54601243543219,144086
GB,0.3318027308123002,0.2695439345607918,0.4519110058316107,25269
H1,0.43586815704150383,0.23011811430745868,0.5243145125074422,68583
H2,0.6620292934042901,0.16912869995118832,0.7007344459622276,11965
HAC11,0.443849026287605,0.2449486440011827,0.5347968432808634,14899
HAC12,0.48740829249250306,0.2835571065847152,0.5875582868555628,12737
HAC13,0.23891247341830169,0.33222043754434727,0.38171219561545244,11910
HAC14,0.3941413994207364,0.26275789047199205,0.49788444115649644,11820
HAC15,0.008610697635584762,0.3115961691208272,0.11452329656673334,10755
HAC17,0.4954225865108941,0.2611922422997895,0.5808666943734392,9383
HAC18,0.4117811900615404,0.25060933683909176,0.49391841200677217,8542
HAC19,0.26969657836366057,0.23568357451116928,0.3543715373587242,8286
HAC2,0.29696161077723704,0.3061892674388454,0.43573409591500134,44445
HAC20,0.40926015129324467,0.2630104952548492,0.518128575789588,7927
HAC21,0.6230524480299419,0.25714691907811,0.6982531026303078,7906
HAC23,0.3260310648499395,0.25107017219321515,0.4044582396032158,6583
HAC24,0.16854476941855726,0.21736679304494613,0.23854839948056825,6337
HAC26,0.5176278796078634,0.2922153185820446,0.6244272812600041,5929
HAC27,0.28989928581510516,0.3145913478490726,0.42095952864052133,5887
HAC28,0.2945390360014107,0.32815697179673803,0.4421727661791013,5622
HAC29,0.5787627498140498,0.2880984168112894,0.6919344593537228,5021
HAC3,0.17047136344953076,0.26564700610353464,0.2773488315940271,38572
HAC30,0.26669033669376285,0.32545112299348217,0.38698018531883027,4936
HAC32,0.3192960388380739,0.32253325928597365,0.4703380052586284,4645
HAC33,0.5261134999885889,0.28989002687101256,0.6269698051743269,4613
HAC34,0.26647790021184525,0.3583500352729491,0.4231120930297694,4222
HAC35,0.626310025038385,0.1660160642385562,0.6712659005208996,3872
HAC37,0.4698835955902241,0.25360825607823373,0.5664379287366391,3831
HAC38,0.462821061767872,0.30024634720798377,0.5765440552447523,3814
HAC39,0.2088246500263294,0.35760602724846063,0.34820939437858234,3140
HAC4,-0.005253338275492991,0.186662115117937,0.05045851888410788,38497
HAC40,0.24816865550294684,0.413455034114523,0.4885425013335185,3095
HAC41,0.2292814405817955,0.33197396118402933,0.40259458279080557,3032
HAC42,0.3600936776788404,0.28101906498580437,0.47667493202146527,2695
HAC44,0.30171844729854336,0.24634737012222377,0.3827287757163643,2576
HAC45,0.36370028746722655,0.21870672173181976,0.43327220502685015,2312
HAC46,0.43920237091436765,0.25187787817765267,0.5268489768945596,2299
HAC48,0.3451250092318088,0.31688442575792225,0.47957146312311005,2215
HAC49,0.4388653813928374,0.2319807622031459,0.5169705734217181,2031
HAC5,0.14984739574230246,0.24046161202295482,0.23302225712927602,38393
HAC50,-0.13774207552873693,0.256629316302526,-0.07002593184530934,1561
HAC51,0.3403445609699912,0.2349904335065225,0.39849011705044346,1453
HAC52,-0.3002178689298487,0.150666288432221,-0.26027639671732766,1278
HAC53,0.07705894805415854,0.3007692746437776,0.20793789727649986,1238
HAC54,0.48061504171688785,0.2151190966811087,0.5596737939793346,1194
HAC55,-0.24002276327345204,0.28497473631090914,-0.2261476141601189,1157
HAC56,-0.061911485976644406,0.30195208091188497,0.025742488964640885,1133
HAC57,-0.3683167502615205,0.1484024150349,-0.35393893016830685,1119
HAC59,0.4112903179191688,0.28580724742172464,0.5275948662909155,990
HAC6,0.2566430953447741,0.23242793754557659,0.3159940169903027,26722
HAC60,-0.5849508042934849,0.18641197762567752,-0.5560820758577025,876
HAC62,-0.2807496237933038,0.14472380222503542,-0.2548226638484066,864
HAC63,0.0400671986775485,0.2080620694854469,0.07450299619485093,677
HAC64,0.15917823478761384,0.26677993752871393,0.2517714324747823,668
HAC65,0.614263663199152,0.26214307964287437,0.7091445024478518,595
HAC66,0.003253595976418175,0.27871633031169113,0.06298225395022719,588
HAC68,0.28846562452606317,0.29692514177590995,0.42945782447879716,542
HAC71,-0.24401691869022257,0.22647677755064863,-0.2027884220707511,502
HAC72,-0.7707018800081464,0.12690363265629742,-0.7769980506523125,483
HAC74,-0.8639397225101298,0.04844404759702897,-0.8583059376232991,412
HAC75,-0.06586093364227301,0.28196259925400435,0.007678480771909542,387
HAC77,-0.04094073040832664,0.31306072575216554,0.09476791515117691,246
HAC78,-0.41388912364917757,0.1961422126738572,-0.34748738341549523,241
HAC79,0.42827045531276264,0.278496621817432,0.5501029850509194,186
HAC8,0.3347233453780047,0.2100355914806684,0.39390576635895047,21175
HAC80,-0.6587050625649652,0.13983311918654623,-0.6485748862652552,165
HAC81,-0.21395134876127309,0.262179876462582,-0.16127888164966295,159
HAC82,0.2873541035969873,0.29125369759102326,0.39438496765998593,151
HAC84,-0.600659753883815,0.128209239192025,-0.6086816439497867,117
HAC86,0.08648335157251665,0.27389363119861476,0.19480136860842312,94
HAC87,-0.32540740803096396,0.22610877629438297,-0.3170283568530333,90
HAC88,-0.8155887110022322,0.07245589217067369,-0.8208651980238701,87
HAC89,0.30096713060564506,0.26317185806185267,0.4085199751256092,84
HAC9,0.08678625531853788,0.20034234206740753,0.1349444378937217,19532
HAC90,0.5006803367732999,0.21129726185368275,0.570368576202287,79
HAC91,-0.7625631272884953,0.12712962262273564,-0.8056575558738464,74
HAC92,0.3818952567136591,0.2914362249201026,0.49058979011408377,65
HAC93,0.2874155631789558,0.23086005853911595,0.35861566110032117,55
HAC95,0.5935775182705516,0.19169071306854957,0.6717593981306532,39
HRGC3,0.4305906049700917,0.32231378691179413,0.5701366749400497,8178
HRGC4,0.6670350248888779,0.20317938888530113,0.7359960426993174,8035
HRGC5,0.5246851885780015,0.1494502513685191,0.5777659323775377,6657
IMB,0.5300945711730113,0.19846660597803786,0.591235040811924,106152
MG,0.34138984564379243,0.21473561824191015,0.3775988903428022,221612
MG_OFF,-0.5767271885858058,0.19002385324361135,-0.5955168828249193,189172
MG_ON,-0.6979066667097351,0.13931029983575555,-0.7164712094940087,139364
ML_Cone,-0.004508977771944675,0.28002057839883077,0.05180808582474084,118559
Microglia,0.6606076872963269,0.1352150602258474,0.702806288263438,4894
OFF-SAC,0.28778769244445457,0.20006220215798762,0.34517569552925315,4647
OFF-SAC*,-0.3067170873137269,0.2083442562674892,-0.23898372475731905,274
OFFx,0.7341139948534707,0.20060023487656042,0.7861122229112925,15495
ON-SAC,0.016573086425399765,0.2512881863249152,0.08893466417318456,15349
ON_DSGC,0.8689162031205229,0.12486063742302961,0.9050068025577552,115
PENK,0.5254714234935235,0.29503307841409326,0.6416591815406961,6329
PG_OFF_1,0.7474803194911227,0.10033994210659516,0.770798396957774,3997
PG_OFF_2,0.5447628854028244,0.20140029660331563,0.6182606755905433,3312
PG_ON,0.5263204762764394,0.17975391912265015,0.5859781713005701,5058
RB,0.5391426742730351,0.16020721431099613,0.5787477320080058,101199
Rod,0.0765456713302876,0.3875882385727722,0.20503447285846324,1066056
SEG,0.6472593944766198,0.23215604002191847,0.7184201495961611,9405
SEG*,-0.10194950293959476,0.28010931000868955,-0.02899694650685519,234
S_Cone,0.617488556962242,0.17816018344141826,0.6606622917509044,8501
VG3,0.3427824741900264,0.29668997417975695,0.44331698900951627,25272
VG3*,-0.15577125584254595,0.31976626426891985,-0.10837992572651776,584
VIP,0.5266949986726375,0.2081240573555207,0.5831161592531002,8197
ipRGC_1,0.8907075752659348,0.07062945327362968,0.9120526952552033,115
ipRGC_2,0.6522363098213575,0.21459585109455567,0.7335298497846223,849
nNOS,-0.3339449869204893,0.1523149022181396,-0.33796380067620363,5919
