cluster,count
nNOS,5000
HAC11,5000
HAC13,5000
HAC14,5000
HAC15,5000
HAC17,5000
HAC18,5000
HAC19,5000
HAC8,5000
HAC20,5000
HAC21,5000
HAC23,5000
HAC24,5000
HAC26,5000
HAC27,5000
HAC28,5000
HAC29,5000
HAC3,5000
HAC4,5000
HAC5,5000
ML_Cone,5000
MG_ON,5000
MG_OFF,5000
MG,5000
IMB,5000
HRGC5,5000
HRGC4,5000
HRGC3,5000
HAC6,5000
HAC12,5000
HAC2,5000
H2,5000
Astrocyte,5000
VIP,5000
VG3,5000
S_Cone,5000
SEG,5000
Rod,5000
RB,5000
PG_ON,5000
PENK,5000
ON-SAC,5000
H1,5000
AII,5000
OFFx,5000
HAC9,5000
DB3b,5000
DB1,5000
DB6,5000
FMB,5000
GB,5000
DB3a,5000
DB4a,5000
DB2,5000
DB5,5000
HAC30,4936
Microglia,4894
OFF-SAC,4647
HAC32,4645
HAC33,4613
DB4b,4553
HAC34,4222
PG_OFF_1,3997
HAC35,3872
CAII,3865
HAC37,3831
HAC38,3814
PG_OFF_2,3312
HAC39,3140
HAC40,3095
HAC41,3032
BB,2931
HAC42,2695
HAC44,2576
HAC45,2312
HAC46,2299
HAC48,2215
HAC49,2031
HAC50,1561
HAC51,1453
HAC52,1278
HAC53,1238
HAC54,1194
HAC55,1157
HAC56,1133
HAC57,1119
AII*,1057
HAC59,990
HAC60,876
HAC62,864
ipRGC_2,849
HAC63,677
HAC64,668
HAC65,595
17_21,591
HAC66,588
VG3*,584
HAC68,542
HAC71,502
HAC72,483
0,473
11,470
CAI,450
HAC74,412
HAC75,387
19,345
OFF-SAC*,274
HAC77,246
HAC78,241
15,235
SEG*,234
4,208
1,195
3,187
HAC79,186
HAC80,165
HAC81,159
18,159
HAC82,151
20,138
14,128
HAC84,117
ON_DSGC,115
ipRGC_1,115
9,96
HAC86,94
HAC87,90
HAC88,87
HAC89,84
HAC90,79
HAC91,74
HAC92,65
HAC93,55
16,50
HAC95,39
