cluster,n_cells,percentage
0,473,0.12
1,195,0.05
11,470,0.12
14,128,0.03
15,235,0.06
16,50,0.01
17_21,591,0.15
18,159,0.04
19,345,0.09
20,138,0.04
3,187,0.05
4,208,0.05
9,96,0.03
AII,5000,1.31
AII*,1057,0.28
Astrocyte,5000,1.31
BB,2931,0.77
CAI,450,0.12
CAII,3865,1.01
DB1,5000,1.31
DB2,5000,1.31
DB3a,5000,1.31
DB3b,5000,1.31
DB4a,5000,1.31
DB4b,4553,1.19
DB5,5000,1.31
DB6,5000,1.31
FMB,5000,1.31
GB,5000,1.31
H1,5000,1.31
H2,5000,1.31
HAC11,5000,1.31
HAC12,5000,1.31
HAC13,5000,1.31
HAC14,5000,1.31
HAC15,5000,1.31
HAC17,5000,1.31
HAC18,5000,1.31
HAC19,5000,1.31
HAC2,5000,1.31
HAC20,5000,1.31
HAC21,5000,1.31
HAC23,5000,1.31
HAC24,5000,1.31
HAC26,5000,1.31
HAC27,5000,1.31
HAC28,5000,1.31
HAC29,5000,1.31
HAC3,5000,1.31
HAC30,4936,1.29
HAC32,4645,1.21
HAC33,4613,1.2
HAC34,4222,1.1
HAC35,3872,1.01
HAC37,3831,1.0
HAC38,3814,1.0
HAC39,3140,0.82
HAC4,5000,1.31
HAC40,3095,0.81
HAC41,3032,0.79
HAC42,2695,0.7
HAC44,2576,0.67
HAC45,2312,0.6
HAC46,2299,0.6
HAC48,2215,0.58
HAC49,2031,0.53
HAC5,5000,1.31
HAC50,1561,0.41
HAC51,1453,0.38
HAC52,1278,0.33
HAC53,1238,0.32
HAC54,1194,0.31
HAC55,1157,0.3
HAC56,1133,0.3
HAC57,1119,0.29
HAC59,990,0.26
HAC6,5000,1.31
HAC60,876,0.23
HAC62,864,0.23
HAC63,677,0.18
HAC64,668,0.17
HAC65,595,0.16
HAC66,588,0.15
HAC68,542,0.14
HAC71,502,0.13
HAC72,483,0.13
HAC74,412,0.11
HAC75,387,0.1
HAC77,246,0.06
HAC78,241,0.06
HAC79,186,0.05
HAC8,5000,1.31
HAC80,165,0.04
HAC81,159,0.04
HAC82,151,0.04
HAC84,117,0.03
HAC86,94,0.02
HAC87,90,0.02
HAC88,87,0.02
HAC89,84,0.02
HAC9,5000,1.31
HAC90,79,0.02
HAC91,74,0.02
HAC92,65,0.02
HAC93,55,0.01
HAC95,39,0.01
HRGC3,5000,1.31
HRGC4,5000,1.31
HRGC5,5000,1.31
IMB,5000,1.31
MG,5000,1.31
MG_OFF,5000,1.31
MG_ON,5000,1.31
ML_Cone,5000,1.31
Microglia,4894,1.28
OFF-SAC,4647,1.21
OFF-SAC*,274,0.07
OFFx,5000,1.31
ON-SAC,5000,1.31
ON_DSGC,115,0.03
PENK,5000,1.31
PG_OFF_1,3997,1.04
PG_OFF_2,3312,0.86
PG_ON,5000,1.31
RB,5000,1.31
Rod,5000,1.31
SEG,5000,1.31
SEG*,234,0.06
S_Cone,5000,1.31
VG3,5000,1.31
VG3*,584,0.15
VIP,5000,1.31
ipRGC_1,115,0.03
ipRGC_2,849,0.22
nNOS,5000,1.31
