clusterName,NSForest_markers,f_score
H2,"['TMOD1', 'IL12A-AS1']",0.7259409242496427
H1,"['ONECUT3', 'MEGF11']",0.8506903814650129
20,"['CMYA5', 'ADAMTS17']",0.0225893459204315
HRGC5,"['ENSG00000286637', 'PCA3']",0.1998059028372438
0,"['IL1RAPL2', 'KCND2', 'MAP4K4', 'VAT1L']",0.1057438115837539
PG_OFF_1,"['C8orf34', 'ENSG00000287290']",0.779893252608938
PG_OFF_2,"['TRPC5', 'COL24A1']",0.6734496124031008
16,"['PLEKHH2', 'HTR2C']",0.4850746268656716
15,"['ARPP21', 'OBI1-AS1']",0.7022900763358778
17_21,"['ENSG00000226149', 'PCSK6']",0.664
MG_OFF,"['IL1RAPL2', 'SOX6', 'RBPMS']",0.59597875569044
MG_ON,"['EBF2', 'SLIT3']",0.6352261790182868
HRGC4,['PCNT'],0.2703335832083958
HRGC3,"['ATF3', 'SLC35F2', 'ALPK3']",0.7490272373540856
11,"['STK32A', 'FOXP2']",0.6515151515151515
HAC15,"['PAPPA2', 'CHST9', 'NDST4']",0.5822121092204194
HAC49,"['MAF', 'CHST9', 'PLD5', 'ENSG00000271774']",0.7141591352117668
HAC81,"['LMF1', 'CPAMD8', 'IGSF21', 'NETO1']",0.6200527704485488
HAC11,"['CHEK1', 'PDGFD']",0.7013314967860422
PENK,"['PENK', 'NECAB1']",0.6168032786885246
PG_ON,"['COL4A2', 'ARPP21']",0.7488905325443787
HAC65,"['SDC2', 'CDH6', 'ADAMTS9-AS2']",0.6973400431344356
HAC48,"['CPAMD8', 'ADAMTS9-AS2']",0.6222603392414713
HAC27,"['VIPR2', 'CBLN2']",0.6399936868686869
HAC37,"['LINC02232', 'HTR2C', 'ADAMTS9-AS2']",0.7399801258694932
18,"['LINC01208', 'BNC2']",0.3829787234042553
14,"['TMEM273', 'MCTP2']",0.5072463768115942
1,"['MSC-AS1', 'SEMA5A']",0.5086071987480438
4,"['MIR548XHG', 'MAN2A1']",0.3799019607843137
3,"['SATB2', 'LINC02350']",0.5822784810126582
ipRGC_2,"['OPRM1', 'CPA6']",0.7374354156881164
ipRGC_1,"['OPN4', 'TBX20']",0.8782201405152225
ON_DSGC,"['BNC2', 'ARPP21']",0.7288629737609329
9,"['LYPD6B', 'ENSG00000271774']",0.3928571428571428
19,"['ARPP21', 'GABRA1', 'SOX6']",0.730110775427996
HAC39,"['CCBE1', 'PAPPA2', 'TAFA2', 'ZNF385D-AS2']",0.6360871768879879
HAC38,"['MAF', 'TSHZ2', 'DACH2']",0.7819347508521344
HAC6,"['ENSG00000253503', 'LINC01170']",0.6275075225677031
HAC75,"['DYNLRB2-AS1', 'PMFBP1', 'NETO1', 'SAMSN1']",0.5980271270036991
HAC5,"['DYNLRB2-AS1', 'PMFBP1']",0.6924972617743702
VG3,"['NXPH1', 'BNC2']",0.8372170439414115
VG3*,"['BNC2', 'LINC03000', 'NETO1', 'SAMSN1']",0.702683615819209
HAC64,"['COL24A1', 'INSYN2A', 'BNC2']",0.6107594936708861
HAC35,"['CIBAR1-DT', 'NXPH2', 'NFIA-AS2']",0.8042199930819786
HAC17,"['LINC02267', 'ENSG00000271774']",0.7081438317225697
HAC2,"['NXPH2', 'IGF2BP2', 'TSHZ2']",0.567625458996328
HAC74,"['NXPH2', 'NETO1', 'TSHZ2', 'GABRA5', 'TMEM132D']",0.5733471074380165
HAC14,"['NELL1', 'NFIB']",0.7976247314394843
SEG,"['PROM1', 'EBF3']",0.8160956690368455
HAC12,"['NFIX', 'LINC03000']",0.6206871765382403
HAC18,"['SLC22A3', 'LINC01933']",0.6955933821189946
HAC87,"['BICC1', 'NETO1', 'GABRA5', 'RPH3A']",0.5645161290322581
HAC63,"['ENSG00000255132', 'HDC', 'NETO1']",0.7070938215102975
HAC4,"['HDC', 'LINC03122', 'INSYN2B']",0.5455895795246801
HAC9,"['HDC', 'RNF220']",0.8221797323135756
HAC50,"['RASEF', 'NXPH2']",0.6927642090846838
HAC21,"['PKD2L1', 'GABRA1']",0.7544977511244377
HAC91,"['ENSG00000253693', 'LINC03000', 'NXPH2', 'ENSG00000271774', 'LAMP5', 'TSHZ2']",0.3631284916201117
HAC32,"['NPHS1', 'OTOGL', 'LINC03000']",0.7330930177885746
HAC42,"['LINC03000', 'PRDM8']",0.7110300820419325
HAC84,"['MCHR2', 'ENSG00000253693', 'ENSG00000254951', 'PDE6A']",0.6902356902356902
HAC40,"['SMOC1', 'COL24A1']",0.7151611717122196
HAC13,"['LINC01036', 'IL1RAPL2']",0.78761429758936
HAC57,"['TAC1', 'NMBR', 'SGCZ']",0.5856450902686041
CAII,"['SEMA3C', 'EYA1']",0.8650519031141869
HAC54,"['LINC01630', 'NOS1', 'ADAMTS3']",0.749534450651769
HAC62,"['HTR4', 'NELL1', 'RAPGEF5']",0.7262996941896025
HAC46,"['SMOC2', 'NXPH1']",0.7313531353135313
HAC44,"['DCN', 'PDGFRA']",0.7371605667060213
nNOS,"['NOS1', 'ANOS1']",0.6561850311850311
HAC34,"['GPC5-AS2', 'EOMES']",0.7019934031263445
HAC59,"['TDRD15', 'NECAB2']",0.6957060280759703
HAC41,"['GBX2-AS1', 'RNF220']",0.6912131283755713
HAC78,"['ENSG00000234710', 'ENSG00000287092', 'LINC02653']",0.6712564543889845
CAI,"['ENSG00000262801', 'TH', 'ITIH5']",0.7512733446519525
