software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,author_cell_type,H2,5000,0.7259409242496427,0.8270013568521031,0.4876,377619,510,2562,2438,2,"['TMOD1', 'IL12A-AS1']","['TMOD1', 'GJA10', 'HS3ST3A1', 'IL12A-AS1', 'ONECUT3', 'ONECUT2', 'CALB1', 'PCDH11Y', 'PCSK6', 'TNR']",0.6312606334686279
4.1,author_cell_type,H1,5000,0.8506903814650129,0.9619583195501158,0.5816,378014,115,2092,2908,2,"['ONECUT3', 'MEGF11']","['LHX1', 'CMYA5', 'ADAMTS17', 'ONECUT3', 'MEGF11', 'ONECUT2', 'SEMA5A', 'MYO10', 'PCSK6', 'TNR']",0.4109011888504028
4.1,author_cell_type,20,138,0.0225893459204315,0.0182412197114075,0.4855072463768116,379385,3606,71,67,2,"['CMYA5', 'ADAMTS17']","['CMYA5', 'ADAMTS17', 'ONECUT3', 'IL12A-AS1', 'HS3ST3A1', 'MEGF11', 'FHIP1A', 'SEPTIN4', 'SEMA5A', 'MYO10']",0.4174215793609619
4.1,author_cell_type,HRGC5,5000,0.1998059028372438,0.1721276203356488,0.56,364662,13467,2200,2800,2,"['ENSG00000286637', 'PCA3']","['ENSG00000286637', 'PCA3', 'RBPMS', 'ENSG00000231606', 'TMEM163', 'SGCZ', 'ENSG00000271945', 'MIAT', 'ZPBP', 'PCDH9-AS2']",0.0564533993601799
4.1,author_cell_type,0,473,0.1057438115837539,0.0954446854663774,0.1860465116279069,381822,834,385,88,4,"['IL1RAPL2', 'KCND2', 'MAP4K4', 'VAT1L']","['IL1RAPL2', 'NDUFA4', 'NFIA', 'KCND2', 'MAP4K4', 'VAT1L', 'CACNA2D3', 'VDAC1', 'FAIM2', 'SOX5']",0.0287825800478458
4.1,author_cell_type,PG_OFF_1,3997,0.779893252608938,0.9153810191678354,0.4898674005504128,378951,181,2039,1958,2,"['C8orf34', 'ENSG00000287290']","['C8orf34', 'HS6ST2', 'GALNT14', 'ENSG00000287092', 'TAFA2', 'ENSG00000287290', 'RELN', 'CLSTN2', 'MCC', 'L3MBTL4']",0.2138059288263321
4.1,author_cell_type,PG_OFF_2,3312,0.6734496124031008,0.79337899543379,0.4196859903381642,379455,362,1922,1390,2,"['TRPC5', 'COL24A1']","['TRPC5', 'LGI1', 'KCNMB1', 'COL24A1', 'WWC1', 'PLD5', 'TAFA2', 'USH2A', 'SORCS3', 'ITPR1']",0.6063175201416016
4.1,author_cell_type,16,50,0.4850746268656716,0.6190476190476191,0.26,383071,8,37,13,2,"['PLEKHH2', 'HTR2C']","['PLEKHH2', 'KCNG1', 'ENSG00000287249', 'SATB2', 'CHRM3-AS2', 'HTR2C', 'OTOGL', 'NECAB1', 'OBI1-AS1', 'CHRM3']",0.5478939414024353
4.1,author_cell_type,15,235,0.7022900763358778,0.8761904761904762,0.3914893617021276,382881,13,143,92,2,"['ARPP21', 'OBI1-AS1']","['LOXHD1', 'ADAMTS12', 'TGFBR2', 'ENSG00000227240', 'ARPP21', 'OBI1-AS1', 'RELN', 'FUT9', 'FRMD4B', 'RPH3A']",0.1292094886302948
4.1,author_cell_type,17_21,591,0.664,0.7757009345794392,0.4213197969543147,382466,72,342,249,2,"['ENSG00000226149', 'PCSK6']","['LINC02351', 'ENSG00000226149', 'PCSK6', 'ARHGAP18', 'OBI1-AS1', 'ABTB3', 'KCNQ5', 'GABRG3-AS1', 'CDH4', 'DCDC1']",0.1354636549949646
4.1,author_cell_type,MG_OFF,5000,0.59597875569044,0.7682151589242053,0.3142,377655,474,3429,1571,3,"['IL1RAPL2', 'SOX6', 'RBPMS']","['IL1RAPL2', 'SOX6', 'MCTP1', 'SLC4A4', 'RBPMS', 'SORCS1', 'DCDC1', 'VWC2', 'PRKG1', 'MAP4K4']",0.0466314926743507
4.1,author_cell_type,MG_ON,5000,0.6352261790182868,0.8484199250133905,0.3168,377846,283,3416,1584,2,"['EBF2', 'SLIT3']","['KANK4', 'WDR72', 'EBF2', 'ENSG00000285679', 'SLIT3', 'CRNDE', 'VWC2', 'ENSG00000271945', 'MAP4K4', 'DPP10']",0.2322522103786468
4.1,author_cell_type,HRGC4,5000,0.2703335832083958,0.4069111424541607,0.1154,377288,841,4423,577,1,['PCNT'],"['PCNT', 'TRPM2', 'SLC4A4', 'AHNAK2', 'RBPMS', 'NEFL', 'AKAP12', 'RAP1GAP2', 'SYNE2', 'DCDC1']",0.0938062593340873
4.1,author_cell_type,HRGC3,5000,0.7490272373540856,0.918228279386712,0.4312,377937,192,2844,2156,3,"['ATF3', 'SLC35F2', 'ALPK3']","['ATF3', 'SLC35F2', 'GADD45A', 'LURAP1L-AS1', 'CFAP61', 'ALPK3', 'CREB5', 'HS3ST2', 'FNIP2', 'GAP43']",1.0
