author_cell_type,mean,std,median,count,q1,q3,f_score
ipRGC_1,0.8907075752659349,0.07062945327362966,0.9120526952552034,115,0.8937311538918299,0.9247200599146287,0.8782201405152225
ON_DSGC,0.8689162031205229,0.12486063742302962,0.9050068025577552,115,0.8856645499506464,0.9154536454756066,0.7288629737609329
11,0.7773004127617664,0.18948464217023547,0.8339879470221576,470,0.7939483865754986,0.8511037955958658,0.6515151515151515
20,0.780720498094389,0.14163298257203663,0.8279902182948368,138,0.7874149874885613,0.8459644963694277,0.0225893459204315
1,0.7650729406236743,0.12676300120736994,0.8166676383452477,195,0.734016772471552,0.843041957555329,0.5086071987480438
0,0.7545338086297245,0.17288054242567333,0.7964384640016123,473,0.7518534883876338,0.8226296891570103,0.1057438115837539
OFFx,0.7272399840501036,0.20459633876547711,0.781033828316469,5000,0.7163381669679265,0.8071226945926437,0.8557106003752345
18,0.7080559827994135,0.19341453189317873,0.7751123717617433,159,0.7215711185482094,0.8010798370964417,0.3829787234042553
3,0.6043735387820633,0.3598587478946295,0.77444831523774,187,0.6204923078902462,0.7891515575581332,0.5822784810126582
PG_OFF_1,0.7474801910252981,0.10034175626919363,0.7707983969577743,3997,0.7337534773102139,0.7997947287827588,0.779893252608938
14,0.6227942722687051,0.3278865238780782,0.7673835469597459,128,0.6453225960629168,0.7862054040433789,0.5072463768115942
15,0.7176355987848245,0.1481181962683417,0.7643681219658823,235,0.7188821438777585,0.7870073841382883,0.7022900763358778
HRGC4,0.6700204100928254,0.20152217541150835,0.7386979873084076,5000,0.6385631554861605,0.7760941950050384,0.2703335832083958
ipRGC_2,0.6522363098213575,0.21459585109455606,0.7335298497846222,849,0.6618961439848854,0.7655272298723808,0.7374354156881164
SEG,0.6469872735720371,0.23288338971267689,0.7192975109666926,5000,0.6411172271519725,0.7535275077124503,0.8160956690368455
HAC65,0.6143247100768099,0.26195345164909917,0.7091445024478519,595,0.6220360822231054,0.7443008711149395,0.6973400431344356
Microglia,0.659336918875033,0.13526274863759472,0.701315446920203,4894,0.6458099438329173,0.7312563097605609,0.9169090362049944
H2,0.6618938191056433,0.17022272279916822,0.7008153907966315,5000,0.6380428502933027,0.7451654296919599,0.7259409242496427
BB,0.5839964755396757,0.2905754107435684,0.7005139829619441,2931,0.5990583939407366,0.7260572830052971,0.8588615913456678
HAC21,0.6233672114222599,0.25793752407197945,0.6982770876980657,5000,0.6414636996702472,0.7271401867076356,0.7544977511244377
HAC29,0.5788964694124954,0.28798663357402865,0.6919426662339414,5000,0.5821770568826045,0.7265220292885048,0.795195810564663
DB4b,0.5856341626637578,0.2637150492492444,0.6862543095221203,4553,0.5803131198830219,0.7240184062510823,0.6611689121158364
DB3b,0.6382653712788697,0.15186535919851651,0.6800674504262674,5000,0.5826058887638678,0.7332358630083957,0.7207676286819399
HAC95,0.5935775182705516,0.19169071306854943,0.6717593981306538,39,0.5019244810723107,0.7214194060273662,0.0646298472385428
19,0.5788645101331806,0.24663647654261336,0.6716111600338093,345,0.585370403497637,0.7065126107608848,0.730110775427996
HAC35,0.6263691136549064,0.16607940366097673,0.6712659005209003,3872,0.6042004425956081,0.7128160520027536,0.8042199930819786
S_Cone,0.6148863188268092,0.1812505047535625,0.6591378321529375,5000,0.586025208364563,0.7088577508652607,0.924828446662508
DB6,0.6100340123825124,0.1755590344021212,0.6551966763595635,5000,0.5600205864748944,0.7153851847169141,0.7114183764495986
PENK,0.5313759746685675,0.2908871750899072,0.6441806111163957,5000,0.5398328777572202,0.6811891324872128,0.6168032786885246
DB5,0.6010284931606278,0.16681548029458057,0.6418042501773569,5000,0.5440104931318499,0.7105029276487675,0.8148566117896973
DB1,0.5860360167879376,0.18977574746154813,0.6376788912202591,5000,0.540764950198645,0.6931792962302457,0.7930533544638141
Astrocyte,0.5815004780264154,0.17218652685559513,0.6351257053824207,5000,0.5441503105397093,0.6840278748021132,0.8722566122678672
CAII,0.5170141001904135,0.2598819051171032,0.6300692040095494,3865,0.4848736220187374,0.6643284538497093,0.8650519031141869
HAC33,0.5281026333722642,0.28756737755746076,0.627519928919859,4613,0.5424919624771103,0.6674854333974578,0.8015850551938862
HAC26,0.5187598367955407,0.2905139433380071,0.6244266464614958,5000,0.5187731678484526,0.670226135027851,0.7569661301945713
PG_OFF_2,0.5446760409497335,0.20142894245883225,0.6180964152961796,3312,0.49250399621816676,0.676188796097158,0.6734496124031008
DB3a,0.5781141749907913,0.17524625074671346,0.6160676184047731,5000,0.535448044129605,0.6751195442071235,0.8461585816301403
9,0.5068141535493104,0.23110203977962315,0.5978533024084324,96,0.4909689378357994,0.6347583565135093,0.3928571428571428
IMB,0.5290235713087433,0.20151535087349876,0.5880079673405795,5000,0.4688090227645087,0.6573477196400692,0.7491594284113197
HAC12,0.48545399632614106,0.2860970524460152,0.5874371469075148,5000,0.4702365507838029,0.6468495128563727,0.6206871765382403
PG_ON,0.527279422570837,0.17862737411441681,0.5869749796940975,5000,0.4606045083047686,0.6502627299689364,0.7488905325443787
HAC17,0.5015706081554177,0.2578598051184423,0.586448221472964,5000,0.47866021843300044,0.6480235485371565,0.7081438317225697
DB2,0.5345809788179381,0.16461409201178961,0.583696419310914,5000,0.4405437259564835,0.6600246018132834,0.8425177565515553
RB,0.5417368969893064,0.1610906311088718,0.5826660025463106,5000,0.4639664706718517,0.6610411685728528,0.9066349686622002
HAC38,0.4638334706450396,0.29970211410713604,0.5776400454426888,3814,0.4205489172461399,0.6452497932794509,0.7819347508521344
