gene,0,1,11,14,15,16,17_21,18,19,20,3,4,9,AII,AII*,Astrocyte,BB,CAI,CAII,DB1,DB2,DB3a,DB3b,DB4a,DB4b,DB5,DB6,FMB,GB,H1,H2,HAC11,HAC12,HAC13,HAC14,HAC15,HAC17,HAC18,HAC19,HAC2,HAC20,HAC21,HAC23,HAC24,HAC26,HAC27,HAC28,HAC29,HAC3,HAC30,HAC32,HAC33,HAC34,HAC35,HAC37,HAC38,HAC39,HAC4,HAC40,HAC41,HAC42,HAC44,HAC45,HAC46,HAC48,HAC49,HAC5,HAC50,HAC51,HAC52,HAC53,HAC54,HAC55,HAC56,HAC57,HAC59,HAC6,HAC60,HAC62,HAC63,HAC64,HAC65,HAC66,HAC68,HAC71,HAC72,HAC74,HAC75,HAC77,HAC78,HAC79,HAC8,HAC80,HAC81,HAC82,HAC84,HAC86,HAC87,HAC88,HAC89,HAC9,HAC90,HAC91,HAC92,HAC93,HAC95,HRGC3,HRGC4,HRGC5,IMB,MG,MG_OFF,MG_ON,ML_Cone,Microglia,OFF-SAC,OFF-SAC*,OFFx,ON-SAC,ON_DSGC,PENK,PG_OFF_1,PG_OFF_2,PG_ON,RB,Rod,SEG,SEG*,S_Cone,VG3,VG3*,VIP,ipRGC_1,ipRGC_2,nNOS
HES4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701492537313433,0.0,0.0,0.0,0.0,0.0,0.9741705807287302,0.0,0.0,0.9736731234771102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9715153815141365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9802934024760972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8638036153209743,0.0,0.8495290666373808,0.0,0.0,0.0,0.0,0.8590497276676234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8890381304185782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8481653479497824,0.0,0.0,0.8478086670832847,0.0,0.850731619703236,0.0,0.860994501790004,0.0,0.0,0.0,0.8516516876754476,0.0,0.8724486436416854,0.0,0.8450556597602901,0.8459100594271475,0.8432835820895522,0.8466967112982451,0.0,0.8561630595975848,0.0,0.0,0.8855955649667712,0.8552286473672781,0.0,0.8781999242839529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8520428186921931,0.0,0.0,0.9033306418959774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8717221804519197,0.8785691630484452,0.0,0.0,0.0,0.0
CCNL2,0.8875231529349712,0.0,0.8955952062535641,0.8869785866630611,0.8795217462440035,0.0,0.8985984881422413,0.9124938098352346,0.0,0.9065747465660323,0.0,0.908816644060078,0.0,0.0,0.0,0.0,0.0,0.8731343283582089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8744333008332039,0.0,0.0,0.0,0.0,0.0,0.0,0.8742316427515514,0.0,0.8814955700689288,0.0,0.0,0.0,0.0,0.8786257941331437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.898692535820292,0.0,0.0,0.0,0.0,0.0,0.0,0.9078219128188803,0.0,0.8960445354233927,0.8957165839956768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8801338761600096,0.0
SSU72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNB1,0.4597837102057329,0.49184286238542246,0.4517670211507313,0.4885106687225513,0.4703303922468157,0.46506491881697926,0.44568026644080433,0.48765484210270554,0.46175488918574886,0.4605544454126216,0.4703428767510314,0.5019702315330505,0.4747792082046395,0.2200562446864683,0.380112227664065,0.0,0.0,0.25108489927960864,0.2782806162513904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19201029014231555,0.20163037839220532,0.20807391760954216,0.0,0.20383341187861428,0.0,0.20467660142414607,0.0,0.21947107964487217,0.202338726218067,0.0,0.1966104609752769,0.19057883700328088,0.2616833968838649,0.2008920738946146,0.22429707379483466,0.20993413364709312,0.19844136487192182,0.19277426733899472,0.2102193756779628,0.24754103617881662,0.18711853739041,0.22854190753467046,0.2377498990564204,0.19467653801192097,0.2434694989403682,0.24900785800236375,0.2505034790999854,0.23529939509149808,0.2045660250222505,0.2043927454236728,0.0,0.1886995737232379,0.20521317933922384,0.19591034526255593,0.20228621897412769,0.2291317261866669,0.19780933367672252,0.19441321269789738,0.30229373965690387,0.23380821365029064,0.2206675699397699,0.21357929039357312,0.23141937069038845,0.23398786027040056,0.19542597523376123,0.21428041004422885,0.20211129402046774,0.2567397992112743,0.20297366247248294,0.23976823687553406,0.19303316856498148,0.22905954940995174,0.3818956035286633,0.4025545587290579,0.18892174025080097,0.19629830655766956,0.188256735232339,0.27365197085622534,0.25793577708415133,0.2659139535320339,0.5092239704594683,0.19649704089805262,0.21524162034490216,0.18949376024417022,0.4958258231184376,0.47248889617065887,0.5022967622351291,0.22181790488869396,0.19401972062552153,0.49671675020189426,0.22496589884829166,0.550242898179524,0.1865671641791045,0.5363256063923907,0.5330175494969781,0.5573358584695788,0.2661199253886493,0.26085360414946257,0.0,0.0,0.0,0.442742101292112,0.45023113978442864,0.0,0.29253342436320745,0.20584201456895515,0.26272288098264096,0.0,0.2114805819383308,0.4542491653961922,0.19463871085821693,0.4319955995723383,0.4468088812792479,0.4709325908724941,0.0,0.6922623083662631,0.0,0.5341520482924447,0.0,0.1909452636740101,0.2681662444748096,0.22785199578128643,0.5099257786772144,0.45867226862195715,0.20897360168286225
GABRD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9856081791778109,0.0,0.9891593607503977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRKCZ,0.8261039835303577,0.0,0.8571784945566263,0.8359672654030929,0.8688194644984915,0.876165168498879,0.0,0.8577456621091757,0.8488209265381542,0.8855510967880932,0.0,0.857720840333113,0.0,0.0,0.0,0.0,0.0,0.7959822287310415,0.815501273123186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8090005699378341,0.0,0.0,0.0,0.8028059477236733,0.0,0.0,0.0,0.0,0.7910447761194029,0.8067216219297096,0.0,0.8216521802233226,0.0,0.7990163328932293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8361107813778208,0.0,0.0,0.0,0.0,0.0,0.0,0.791354210519079,0.0,0.0,0.0,0.0,0.0,0.0,0.8083210961142583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7939491276420764,0.0,0.7968421725194845,0.7939648405829473,0.0,0.8093326959147382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8206816248929323,0.0,0.866414844100155,0.8669106239703164,0.8708859521951249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8600506021905301,0.0,0.0
PLCH2,0.9803606898926976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983671111402227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9776119402985075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9823462883038308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEP104,0.0,0.8342830400858352,0.0,0.0,0.8782638671682842,0.0,0.0,0.8373536574306772,0.8365735407195874,0.0,0.0,0.8208955223880597,0.8742706299717746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8336187165174911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8901545863542983,0.0,0.0,0.834505313367986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8233745342759944,0.0,0.0,0.8304397067916927,0.848565705676577,0.8670227767816231,0.0,0.0,0.0,0.837482785111043,0.0,0.888333842380723,0.0,0.0,0.0,0.8356355108431915,0.0,0.8275209945529255,0.0,0.0,0.8255137756689271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9383779568458671,0.0,0.0,0.8910638925744526,0.0,0.9115953850212382,0.859486860570623,0.0,0.8263592635517689,0.8367398403473755,0.0,0.0,0.0,0.0,0.0,0.9419813809999779,0.0,0.0,0.0,0.0,0.0,0.0
