cluster,n_cells,percentage
0,473,0.02
1,195,0.01
11,470,0.01
14,128,0.0
15,235,0.01
16,50,0.0
17_21,591,0.02
18,159,0.01
19,345,0.01
20,138,0.0
3,187,0.01
4,208,0.01
9,96,0.0
AII,50140,1.59
AII*,1057,0.03
Astrocyte,14085,0.45
BB,2931,0.09
CAI,450,0.01
CAII,3865,0.12
DB1,50429,1.6
DB2,68176,2.17
DB3a,21827,0.69
DB3b,35342,1.12
DB4a,44604,1.42
DB4b,4553,0.14
DB5,52358,1.66
DB6,18587,0.59
FMB,144086,4.58
GB,25269,0.8
H1,68583,2.18
H2,11965,0.38
HAC11,14899,0.47
HAC12,12737,0.4
HAC13,11910,0.38
HAC14,11820,0.38
HAC15,10755,0.34
HAC17,9383,0.3
HAC18,8542,0.27
HAC19,8286,0.26
HAC2,44445,1.41
HAC20,7927,0.25
HAC21,7906,0.25
HAC23,6583,0.21
HAC24,6337,0.2
HAC26,5929,0.19
HAC27,5887,0.19
HAC28,5622,0.18
HAC29,5021,0.16
HAC3,38572,1.23
HAC30,4936,0.16
HAC32,4645,0.15
HAC33,4613,0.15
HAC34,4222,0.13
HAC35,3872,0.12
HAC37,3831,0.12
HAC38,3814,0.12
HAC39,3140,0.1
HAC4,38497,1.22
HAC40,3095,0.1
HAC41,3032,0.1
HAC42,2695,0.09
HAC44,2576,0.08
HAC45,2312,0.07
HAC46,2299,0.07
HAC48,2215,0.07
HAC49,2031,0.06
HAC5,38393,1.22
HAC50,1561,0.05
HAC51,1453,0.05
HAC52,1278,0.04
HAC53,1238,0.04
HAC54,1194,0.04
HAC55,1157,0.04
HAC56,1133,0.04
HAC57,1119,0.04
HAC59,990,0.03
HAC6,26722,0.85
HAC60,876,0.03
HAC62,864,0.03
HAC63,677,0.02
HAC64,668,0.02
HAC65,595,0.02
HAC66,588,0.02
HAC68,542,0.02
HAC71,502,0.02
HAC72,483,0.02
HAC74,412,0.01
HAC75,387,0.01
HAC77,246,0.01
HAC78,241,0.01
HAC79,186,0.01
HAC8,21175,0.67
HAC80,165,0.01
HAC81,159,0.01
HAC82,151,0.0
HAC84,117,0.0
HAC86,94,0.0
HAC87,90,0.0
HAC88,87,0.0
HAC89,84,0.0
HAC9,19532,0.62
HAC90,79,0.0
HAC91,74,0.0
HAC92,65,0.0
HAC93,55,0.0
HAC95,39,0.0
HRGC3,8178,0.26
HRGC4,8035,0.26
HRGC5,6657,0.21
IMB,106152,3.38
MG,221612,7.05
MG_OFF,189172,6.02
MG_ON,139364,4.43
ML_Cone,118559,3.77
Microglia,4894,0.16
OFF-SAC,4647,0.15
OFF-SAC*,274,0.01
OFFx,15495,0.49
ON-SAC,15349,0.49
ON_DSGC,115,0.0
PENK,6329,0.2
PG_OFF_1,3997,0.13
PG_OFF_2,3312,0.11
PG_ON,5058,0.16
RB,101199,3.22
Rod,1066056,33.9
SEG,9405,0.3
SEG*,234,0.01
S_Cone,8501,0.27
VG3,25272,0.8
VG3*,584,0.02
VIP,8197,0.26
ipRGC_1,115,0.0
ipRGC_2,849,0.03
nNOS,5919,0.19
